Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
16.09.2023 14:00,Albacete,Burgos CF,2,1
16.09.2023 11:30,Alcorcón,Levante,0,2
16.09.2023 11:30,Real Valladolid,Cartagena,1,0
16.09.2023 09:15,Huesca,Villarreal B,2,2
15.09.2023 14:30,Real Zaragoza,Racing,1,1
11.09.2023 14:00,Eldense,Alcorcón,2,2
10.09.2023 14:00,Real Valladolid,Elche,1,1
10.09.2023 11:30,Cartagena,Real Zaragoza,1,3
10.09.2023 11:30,Mirandés,Andorra,4,3
10.09.2023 09:15,Racing,Amorebieta,1,0
10.09.2023 09:15,Racing de Ferrol,Villarreal B,2,2
09.09.2023 14:00,Leganés,Huesca,2,0
09.09.2023 14:00,Tenerife,Albacete,2,0
09.09.2023 11:30,Real Oviedo,Real Sporting,0,0
09.09.2023 09:15,Burgos CF,Eibar,1,0
08.09.2023 14:00,Levante,Espanyol,1,4
03.09.2023 14:00,Huesca,Mirandés,1,1
03.09.2023 11:30,Espanyol,Amorebieta,3,2
03.09.2023 11:30,Real Zaragoza,Eldense,2,0
03.09.2023 09:15,Eibar,Leganés,0,1
03.09.2023 07:00,Andorra,Tenerife,0,1
02.09.2023 14:00,Elche,Racing,1,1
02.09.2023 14:00,Villarreal B,Cartagena,1,2
02.09.2023 11:30,Levante,Real Oviedo,1,1
02.09.2023 09:15,Real Sporting,Burgos CF,2,1
01.09.2023 14:30,Albacete,Real Valladolid,2,0
01.09.2023 12:30,Alcorcón,Racing de Ferrol,1,1
28.08.2023 14:30,Racing,Huesca,0,0
28.08.2023 12:00,Eldense,Eibar,2,1
27.08.2023 14:30,Leganés,Albacete,2,0
27.08.2023 12:30,Amorebieta,Andorra,3,0
27.08.2023 12:30,Mirandés,Espanyol,0,1
27.08.2023 10:00,Racing de Ferrol,Real Sporting,2,0
26.08.2023 14:30,Elche,Villarreal B,1,0
26.08.2023 14:30,Real Valladolid,Alcorcón,0,2
26.08.2023 12:00,Tenerife,Real Zaragoza,0,1
26.08.2023 10:00,Burgos CF,Real Oviedo,1,0
25.08.2023 14:30,Cartagena,Levante,0,1
21.08.2023 14:30,Huesca,Tenerife,0,2
21.08.2023 12:00,Villarreal B,Eldense,3,1
20.08.2023 15:00,Albacete,Amorebieta,2,2
20.08.2023 12:30,Real Sporting,Mirandés,3,0
20.08.2023 10:00,Real Oviedo,Racing de Ferrol,1,1
19.08.2023 15:00,Alcorcón,Leganés,0,2
19.08.2023 12:30,Levante,Burgos CF,3,2
19.08.2023 12:00,Espanyol,Racing,2,0
19.08.2023 10:00,Eibar,Elche,2,1
18.08.2023 14:30,Real Zaragoza,Real Valladolid,1,0
18.08.2023 12:00,Andorra,Cartagena,3,2
14.08.2023 14:30,Tenerife,Real Oviedo,1,0
14.08.2023 12:00,Mirandés,Alcorcón,4,0
13.08.2023 15:00,Leganés,Andorra,0,1
13.08.2023 12:30,Albacete,Espanyol,1,1
13.08.2023 12:30,Cartagena,Eldense,0,1
13.08.2023 10:00,Burgos CF,Huesca,1,1
12.08.2023 15:00,Elche,Racing de Ferrol,0,1
12.08.2023 14:00,Real Zaragoza,Villarreal B,2,0
12.08.2023 12:00,Racing,Eibar,4,0
11.08.2023 14:30,Real Valladolid,Real Sporting,2,0
11.08.2023 12:00,Amorebieta,Levante,1,1
