Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
03.09.2023 11:00,Chrobry Glogow,Tychy,2,1
03.09.2023 11:00,Motor Lublin,S. Rzeszow,3,2
03.09.2023 08:00,Podbeskidzie,Katowice,1,1
03.09.2023 05:40,Sosnowiec,Lechia,5,2
02.09.2023 13:00,Pruszkow,Leczna,0,1
02.09.2023 10:30,Plock,Polonia W.,3,0
02.09.2023 08:00,Odra Opole,Arka,1,0
01.09.2023 13:30,Legnica,Wisla,1,1
01.09.2023 11:00,R. Rzeszow,Termalica B-B.,0,4
28.08.2023 11:00,Odra Opole,Sosnowiec,0,0
27.08.2023 11:00,Termalica B-B.,Pruszkow,1,0
27.08.2023 08:00,S. Rzeszow,Chrobry Glogow,2,1
27.08.2023 05:40,Wisla,Arka,5,1
26.08.2023 13:00,Leczna,Plock,1,0
26.08.2023 10:30,Polonia W.,Motor Lublin,0,1
26.08.2023 08:00,Katowice,R. Rzeszow,3,0
25.08.2023 13:30,Lechia,Podbeskidzie,3,0
25.08.2023 11:00,Tychy,Legnica,0,0
21.08.2023 11:00,Pruszkow,Katowice,0,2
20.08.2023 11:00,R. Rzeszow,Lechia,2,0
20.08.2023 08:00,Legnica,S. Rzeszow,2,1
20.08.2023 05:40,Arka,Tychy,2,0
19.08.2023 13:00,Chrobry Glogow,Polonia W.,0,3
19.08.2023 10:30,Motor Lublin,Leczna,0,1
19.08.2023 08:00,Plock,Termalica B-B.,3,1
18.08.2023 13:30,Wisla,Odra Opole,1,3
18.08.2023 11:00,Podbeskidzie,Sosnowiec,2,1
14.08.2023 11:00,Polonia W.,Legnica,3,4
13.08.2023 11:00,Termalica B-B.,Motor Lublin,0,2
13.08.2023 08:00,S. Rzeszow,Arka,2,3
13.08.2023 05:40,Lechia,Pruszkow,1,0
12.08.2023 13:00,Sosnowiec,R. Rzeszow,0,1
12.08.2023 10:30,Tychy,Wisla,1,0
12.08.2023 08:00,Odra Opole,Podbeskidzie,1,0
11.08.2023 13:30,Katowice,Plock,4,1
11.08.2023 11:00,Leczna,Chrobry Glogow,3,1
07.08.2023 13:00,R. Rzeszow,Podbeskidzie,1,1
07.08.2023 11:00,Arka,Polonia W.,2,3
06.08.2023 11:00,Odra Opole,Tychy,0,2
06.08.2023 08:00,Motor Lublin,Katowice,1,1
05.08.2023 13:00,Chrobry Glogow,Termalica B-B.,0,5
05.08.2023 10:30,Wisla,S. Rzeszow,0,0
05.08.2023 08:00,Legnica,Leczna,0,0
04.08.2023 13:30,Plock,Lechia,1,1
04.08.2023 11:00,Pruszkow,Sosnowiec,1,0
31.07.2023 11:00,Katowice,Chrobry Glogow,3,1
30.07.2023 11:00,S. Rzeszow,Tychy,1,2
30.07.2023 08:00,Odra Opole,R. Rzeszow,3,0
30.07.2023 05:40,Polonia W.,Wisla,2,3
29.07.2023 13:00,Termalica B-B.,Legnica,1,4
29.07.2023 10:30,Sosnowiec,Plock,1,1
29.07.2023 08:00,Podbeskidzie,Pruszkow,1,1
28.07.2023 13:30,Lechia,Motor Lublin,0,1
28.07.2023 11:00,Leczna,Arka,0,0
24.07.2023 11:00,S. Rzeszow,Odra Opole,2,5
23.07.2023 11:00,Legnica,Katowice,1,0
23.07.2023 08:00,Pruszkow,R. Rzeszow,2,0
23.07.2023 05:40,Podbeskidzie,Plock,1,1
22.07.2023 13:00,Polonia W.,Tychy,2,3
22.07.2023 10:30,Leczna,Wisla,2,2
22.07.2023 08:00,Chrobry Glogow,Lechia,2,4
21.07.2023 13:30,Motor Lublin,Sosnowiec,3,2
21.07.2023 11:00,Arka,Termalica B-B.,2,2
