Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
16.09.2023 13:00,Piast,Legia,1,1
16.09.2023 10:30,Rakow,LKS Lodz,1,0
16.09.2023 08:00,Pogon Szczecin,Korona,3,1
15.09.2023 13:30,Gornik Zabrze,Ruch,1,0
15.09.2023 11:00,Puszcza,Slask,1,3
03.09.2023 13:00,Rakow,Puszcza,2,0
03.09.2023 10:30,Legia,Widzew Lodz,3,1
03.09.2023 08:00,Zaglebie,Pogon Szczecin,1,0
03.09.2023 05:30,Slask,Jagiellonia,2,1
02.09.2023 13:00,Lech Poznan,Gornik Zabrze,1,1
02.09.2023 10:30,Cracovia,Korona,0,0
02.09.2023 08:00,Radomiak Radom,Piast,1,1
01.09.2023 13:30,Ruch,Stal Mielec,1,1
01.09.2023 11:00,LKS Lodz,Warta,0,2
30.08.2023 11:30,Pogon Szczecin,Slask,0,2
27.08.2023 10:30,Jagiellonia,Gornik Zabrze,4,1
27.08.2023 08:00,Korona,Zaglebie,2,0
26.08.2023 13:00,Piast,Ruch,0,0
26.08.2023 10:30,Puszcza,LKS Lodz,2,1
26.08.2023 08:00,Warta,Cracovia,0,0
25.08.2023 13:30,Widzew Lodz,Slask,0,2
25.08.2023 11:00,Stal Mielec,Radomiak Radom,2,0
21.08.2023 12:00,Cracovia,Piast,1,1
20.08.2023 13:00,Legia,Korona,1,0
20.08.2023 10:30,Slask,Lech Poznan,3,1
20.08.2023 08:00,LKS Lodz,Pogon Szczecin,1,0
19.08.2023 13:00,Ruch,Jagiellonia,0,1
19.08.2023 10:30,Rakow,Stal Mielec,2,0
19.08.2023 08:00,Radomiak Radom,Warta,3,2
18.08.2023 13:30,Gornik Zabrze,Widzew Lodz,1,1
18.08.2023 11:00,Zaglebie,Puszcza,1,0
14.08.2023 12:00,Warta,Ruch,2,2
13.08.2023 10:30,Puszcza,Legia,1,1
13.08.2023 08:00,Pogon Szczecin,Radomiak Radom,0,2
12.08.2023 13:00,Widzew Lodz,LKS Lodz,1,0
12.08.2023 10:30,Korona,Gornik Zabrze,0,1
12.08.2023 08:00,Stal Mielec,Slask,3,1
11.08.2023 13:30,Piast,Rakow,2,1
11.08.2023 11:00,Cracovia,Zaglebie,2,1
07.08.2023 12:00,Puszcza,Stal Mielec,1,0
06.08.2023 13:00,Legia,Ruch,3,0
06.08.2023 10:30,Zaglebie,Lech Poznan,1,1
05.08.2023 13:00,Radomiak Radom,Cracovia,0,1
05.08.2023 10:30,Gornik Zabrze,Piast,0,0
05.08.2023 08:00,Rakow,Warta,2,2
04.08.2023 13:30,LKS Lodz,Korona,2,1
04.08.2023 11:00,Jagiellonia,Widzew Lodz,2,1
30.07.2023 13:00,Pogon Szczecin,Widzew Lodz,2,1
30.07.2023 10:30,Lech Poznan,Radomiak Radom,2,0
30.07.2023 08:00,Stal Mielec,Piast,0,0
29.07.2023 13:00,Slask,Zaglebie,1,2
29.07.2023 10:30,Jagiellonia,Puszcza,4,1
29.07.2023 08:00,Warta,Gornik Zabrze,2,0
28.07.2023 13:30,Ruch,LKS Lodz,2,0
24.07.2023 12:00,Korona,Slask,1,1
23.07.2023 13:00,Widzew Lodz,Puszcza,3,2
23.07.2023 10:30,Zaglebie,Ruch,2,1
23.07.2023 08:00,Gornik Zabrze,Radomiak Radom,0,2
22.07.2023 13:00,Piast,Lech Poznan,1,2
22.07.2023 10:30,Rakow,Jagiellonia,3,0
22.07.2023 08:00,Stal Mielec,Cracovia,2,2
21.07.2023 13:30,Legia,LKS Lodz,3,0
21.07.2023 11:00,Warta,Pogon Szczecin,0,1
