Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
04.09.2023 13:30,Sepsi Sf. Gheorghe,UTA Arad,1,0
04.09.2023 10:30,Botosani,FC Hermannstadt,2,2
04.09.2023 05:00,U. Cluj,Poli Iasi,0,2
03.09.2023 13:30,U Craiova 1948,Farul Constanta,4,0
02.09.2023 13:45,FCSB,Univ. Craiova,3,0
02.09.2023 11:00,FC Voluntari,CFR Cluj,1,4
01.09.2023 13:30,Rapid Bucarest,Dinamo Bucarest,4,0
01.09.2023 10:30,Petrolul,Otelul,2,2
28.08.2023 13:30,UTA Arad,FCSB,2,1
28.08.2023 10:30,FC Hermannstadt,U. Cluj,2,2
27.08.2023 13:30,Farul Constanta,Univ. Craiova,2,0
26.08.2023 13:45,Dinamo Bucarest,Petrolul,1,1
26.08.2023 11:00,CFR Cluj,Botosani,3,1
25.08.2023 13:30,U Craiova 1948,Rapid Bucarest,3,5
25.08.2023 10:30,Otelul,FC Voluntari,2,2
21.08.2023 13:30,U. Cluj,CFR Cluj,3,4
21.08.2023 10:30,Sepsi Sf. Gheorghe,FC Hermannstadt,1,1
20.08.2023 13:30,FCSB,Poli Iasi,2,1
20.08.2023 10:15,Rapid Bucarest,Farul Constanta,3,1
19.08.2023 13:45,FC Voluntari,Dinamo Bucarest,2,3
19.08.2023 09:00,Botosani,Otelul,0,0
18.08.2023 13:30,Univ. Craiova,UTA Arad,3,0
18.08.2023 10:30,Petrolul,U Craiova 1948,4,3
14.08.2023 12:30,Dinamo Bucarest,Botosani,1,0
13.08.2023 13:30,Rapid Bucarest,Petrolul,0,2
12.08.2023 13:30,Poli Iasi,Univ. Craiova,1,4
12.08.2023 10:30,Otelul,U. Cluj,1,1
11.08.2023 12:30,U Craiova 1948,FC Voluntari,3,1
07.08.2023 13:30,FC Voluntari,Rapid Bucarest,2,1
07.08.2023 10:30,Sepsi Sf. Gheorghe,Otelul,1,1
06.08.2023 13:30,FCSB,CFR Cluj,1,0
06.08.2023 10:15,Petrolul,Farul Constanta,3,2
05.08.2023 13:30,U. Cluj,Dinamo Bucarest,1,1
05.08.2023 10:30,Botosani,U Craiova 1948,0,1
04.08.2023 13:30,Univ. Craiova,FC Hermannstadt,1,0
04.08.2023 10:30,UTA Arad,Poli Iasi,1,0
31.07.2023 13:30,Dinamo Bucarest,Sepsi Sf. Gheorghe,0,3
31.07.2023 10:30,Petrolul,FC Voluntari,0,2
30.07.2023 13:30,CFR Cluj,Univ. Craiova,1,1
30.07.2023 10:30,Farul Constanta,Poli Iasi,1,3
29.07.2023 13:30,Otelul,FCSB,0,2
29.07.2023 10:30,FC Hermannstadt,UTA Arad,2,1
28.07.2023 13:30,Rapid Bucarest,Botosani,2,2
28.07.2023 10:30,U Craiova 1948,U. Cluj,3,4
24.07.2023 13:30,Univ. Craiova,Otelul,0,0
24.07.2023 10:30,Botosani,Petrolul,1,1
23.07.2023 13:30,U. Cluj,Rapid Bucarest,0,3
23.07.2023 10:30,Poli Iasi,FC Hermannstadt,1,3
22.07.2023 13:30,FCSB,Dinamo Bucarest,2,1
22.07.2023 10:15,Farul Constanta,FC Voluntari,4,1
21.07.2023 13:30,UTA Arad,CFR Cluj,1,3
21.07.2023 10:30,Sepsi Sf. Gheorghe,U Craiova 1948,1,0
17.07.2023 13:30,Dinamo Bucarest,Univ. Craiova,0,2
17.07.2023 10:30,FC Voluntari,Botosani,2,1
16.07.2023 13:30,U Craiova 1948,FCSB,1,3
16.07.2023 10:30,Petrolul,U. Cluj,1,1
15.07.2023 13:30,CFR Cluj,Poli Iasi,2,0
15.07.2023 10:30,FC Hermannstadt,Farul Constanta,0,1
14.07.2023 13:30,Rapid Bucarest,Sepsi Sf. Gheorghe,0,0
14.07.2023 10:30,Otelul,UTA Arad,1,1
