Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
03.09.2023 09:00,Nyva Ternopil,Ahrobiznes Volochysk,0,0
03.09.2023 08:30,SC Poltava,Viktoria,2,2
03.09.2023 08:00,Inhulets,MFC Metalurh,3,2
03.09.2023 07:00,Prykarpattya,Nyva Buzova,2,2
03.09.2023 06:30,Khust,Podillya Khmelnytskyi,2,1
03.09.2023 06:00,Dinaz Vyshgorod,Hirnyk-Sport,3,1
02.09.2023 06:30,Bukovyna,Metalist Kharkiv,1,0
02.09.2023 05:00,Karpaty Lviv,Epitsentr,2,0
02.09.2023 04:00,FC Chernihiv,Kremin,2,3
01.09.2023 05:00,Livyi Bereg,FSC Mariupol,1,1
28.08.2023 08:30,Ahrobiznes Volochysk,Podillya Khmelnytskyi,0,0
28.08.2023 08:15,Kremin,SC Poltava,0,6
28.08.2023 08:00,Epitsentr,Nyva Ternopil,2,3
28.08.2023 07:30,Prykarpattya,Khust,7,0
28.08.2023 07:00,Viktoria,Hirnyk-Sport,1,0
28.08.2023 06:15,FSC Mariupol,Inhulets,1,1
27.08.2023 09:00,Livyi Bereg,Dinaz Vyshgorod,3,0
27.08.2023 07:30,MFC Metalurh,FC Chernihiv,4,2
26.08.2023 07:00,Nyva Buzova,Bukovyna,1,0
25.08.2023 09:00,Metalist Kharkiv,Karpaty Lviv,0,3
20.08.2023 09:00,Nyva Ternopil,Metalist Kharkiv,0,1
20.08.2023 08:00,Bukovyna,Prykarpattya,1,0
19.08.2023 09:00,Inhulets,Livyi Bereg,2,1
19.08.2023 08:30,Podillya Khmelnytskyi,Epitsentr,0,0
19.08.2023 08:00,SC Poltava,MFC Metalurh,1,2
19.08.2023 07:30,Hirnyk-Sport,Kremin,0,1
19.08.2023 07:30,Khust,Ahrobiznes Volochysk,0,1
19.08.2023 07:00,Dinaz Vyshgorod,Viktoria,0,1
18.08.2023 09:00,Karpaty Lviv,Nyva Buzova,1,1
12.08.2023 08:30,Metalist Kharkiv,Podillya Khmelnytskyi,1,1
12.08.2023 08:00,MFC Metalurh,Hirnyk-Sport,0,1
12.08.2023 07:30,Bukovyna,Khust,0,0
12.08.2023 07:00,Inhulets,Dinaz Vyshgorod,3,0
11.08.2023 09:00,Livyi Bereg,FC Chernihiv,5,1
11.08.2023 08:30,Epitsentr,Ahrobiznes Volochysk,1,1
11.08.2023 08:00,Prykarpattya,Karpaty Lviv,0,1
11.08.2023 07:30,Nyva Buzova,Nyva Ternopil,2,1
11.08.2023 07:00,FSC Mariupol,SC Poltava,1,1
11.08.2023 04:00,Kremin,Viktoria,0,1
07.08.2023 10:00,Livyi Bereg,SC Poltava,1,3
07.08.2023 08:00,Dinaz Vyshgorod,Kremin,2,1
07.08.2023 06:00,Hirnyk-Sport,FSC Mariupol,1,0
07.08.2023 04:00,FC Chernihiv,Inhulets,0,2
06.08.2023 09:00,Karpaty Lviv,Bukovyna,2,1
06.08.2023 08:30,Khust,Epitsentr,0,1
06.08.2023 08:30,Podillya Khmelnytskyi,Nyva Buzova,0,2
06.08.2023 08:00,Viktoria,MFC Metalurh,1,1
06.08.2023 07:30,Ahrobiznes Volochysk,Metalist Kharkiv,3,1
06.08.2023 06:00,Nyva Ternopil,Prykarpattya,1,0
29.07.2023 09:00,Metalist Kharkiv,Epitsentr,0,1
29.07.2023 08:00,Inhulets,SC Poltava,5,0
29.07.2023 07:00,Prykarpattya,Podillya Khmelnytskyi,1,1
29.07.2023 04:00,FC Chernihiv,Dinaz Vyshgorod,3,2
28.07.2023 09:00,Karpaty Lviv,Khust,1,0
28.07.2023 09:00,Livyi Bereg,Hirnyk-Sport,5,0
28.07.2023 07:00,Nyva Buzova,Ahrobiznes Volochysk,2,1
28.07.2023 06:00,MFC Metalurh,Kremin,0,0
27.07.2023 09:00,Bukovyna,Nyva Ternopil,0,1
27.07.2023 07:00,FSC Mariupol,Viktoria,0,0
