Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
27.12.2023 12:30,St. Lieja,St. Truiden,1,1,0.27,1.02,48,52,11,18,2,8,9,10,,,,,4,4,1,2,15,11,7,1,14,14,0,0,1,3,466,509,,,,,115,100,44,38,,,,,,,0
26.12.2023 14:45,Club Brujas,Royale Union SG,1,1,1.71,0.83,60,40,9,7,2,3,7,4,,,,,6,0,2,3,20,19,2,1,15,14,0,1,1,5,489,323,,,,,121,108,54,39,,,,,,,0
26.12.2023 12:30,Westerlo,RWDM,3,0,1.97,0.98,49,51,13,11,3,4,10,7,,,,,6,0,2,0,15,17,4,1,7,12,0,1,0,0,432,450,,,,,99,68,52,26,,,,,,,3
26.12.2023 10:00,Kortrijk,Gent,0,2,0.54,2.1,30,70,7,20,3,9,4,11,,,,,4,5,0,1,19,22,7,3,9,10,0,0,1,1,308,735,,,,,70,148,31,65,,,,,,,-2
26.12.2023 10:00,Leuven,Eupen,3,0,1.83,0.98,47,53,18,14,7,6,11,8,,,,,7,3,0,4,18,21,6,4,6,15,0,0,2,2,364,411,,,,,98,76,55,41,,,,,,,3
26.12.2023 07:30,Genk,Antwerp,3,0,1.55,0.09,51,49,16,3,8,1,8,2,,,,,3,3,1,0,23,18,1,5,8,9,0,0,1,3,462,441,,,,,116,90,64,31,,,,,,,3
23.12.2023 14:45,Anderlecht,Genk,2,1,0.96,2.11,44,56,9,20,3,7,6,13,,,,,1,8,1,0,16,27,6,1,7,15,0,1,1,4,388,468,,,,,87,116,31,72,,,,,,,1
23.12.2023 12:15,Antwerp,Westerlo,2,2,1.03,1.18,64,36,15,12,6,6,9,6,,,,,8,2,4,5,24,10,4,4,5,7,0,0,2,1,641,354,,,,,133,83,55,38,,,,,,,0
23.12.2023 12:15,St. Truiden,Charleroi,1,0,1.85,0.22,65,35,16,4,7,0,9,4,,,,,6,3,0,3,21,12,0,6,5,17,0,0,0,0,690,362,,,,,123,88,44,39,,,,,,,1
23.12.2023 10:00,Eupen,Royale Union SG,1,2,,,35,65,1,21,1,8,0,13,,,,,3,14,4,1,21,33,6,0,15,8,0,0,5,1,319,571,,,,,54,131,20,77,,,,,,,-1
22.12.2023 14:45,RWDM,Club Brujas,1,6,1.11,5.61,37,63,10,15,3,10,7,5,,,,,2,8,1,2,11,16,4,2,9,8,0,0,1,2,332,572,,,,,80,106,32,45,,,,,,,-5
21.12.2023 14:45,Gent,Leuven,4,0,1.85,0.36,67,33,21,9,6,2,15,7,,,,,8,3,2,0,23,12,2,2,6,12,0,0,0,1,605,290,,,,,123,68,67,33,,,,,,,4
20.12.2023 14:45,KV Mechelen,St. Lieja,3,0,1.1,0.3,64,36,28,14,8,3,20,11,,,,,5,3,1,0,6,14,3,5,8,8,0,1,2,0,595,326,,,,,126,69,86,57,,,,,,,3
20.12.2023 12:30,Círculo Brujas,Kortrijk,3,0,3.11,0.2,61,39,24,6,13,1,11,5,,,,,7,5,6,1,29,13,1,10,8,14,0,0,2,3,442,296,,,,,132,98,81,35,,,,,,,3
17.12.2023 13:15,Genk,Kortrijk,4,0,3.88,0.16,69,31,27,5,9,1,18,4,,,,,7,2,5,3,19,13,1,5,7,12,0,0,0,2,704,309,,,,,135,80,102,28,,,,,,,4
17.12.2023 12:30,Antwerp,Anderlecht,1,1,1.65,1.14,59,41,19,10,5,4,14,6,,,,,7,2,2,2,21,12,3,4,9,13,0,0,2,4,610,420,,,,,149,85,84,29,,,,,,,0
17.12.2023 10:00,Royale Union SG,KV Mechelen,1,0,1.49,0.87,51,49,24,15,8,8,16,7,,,,,8,5,0,0,15,14,8,7,14,10,0,0,2,1,473,473,,,,,132,99,71,39,,,,,,,1
17.12.2023 07:30,Club Brujas,Gent,2,0,2.28,0.28,53,47,13,8,4,2,9,6,,,,,4,5,1,0,20,11,2,2,10,11,0,1,0,0,488,439,,,,,139,88,70,28,,,,,,,2
16.12.2023 14:45,St. Lieja,Charleroi,0,0,0.34,0.82,55,45,6,7,1,2,5,5,,,,,4,2,4,1,17,19,2,1,11,21,0,0,1,1,478,402,,,,,135,114,52,44,,,,,,,0
16.12.2023 12:15,RWDM,St. Truiden,3,0,1.42,0.5,44,56,7,12,6,1,1,11,,,,,4,4,1,3,8,15,1,3,14,8,0,0,3,2,389,492,,,,,94,109,21,41,,,,,,,3
16.12.2023 10:00,Leuven,Círculo Brujas,1,2,0.72,1.88,46,54,9,12,3,5,6,7,,,,,4,6,6,5,21,27,3,2,12,14,0,0,4,3,314,347,,,,,74,121,36,62,,,,,,,-1
15.12.2023 14:45,Westerlo,Eupen,2,0,2.17,1.1,51,49,20,15,4,7,16,8,,,,,4,4,1,2,13,30,7,2,15,8,0,0,3,1,461,440,,,,,72,127,46,54,,,,,,,2
10.12.2023 13:15,Charleroi,Royale Union SG,1,3,0.68,1.47,53,47,9,17,3,9,6,8,,,,,6,7,2,2,24,10,6,2,7,12,0,0,3,2,479,438,,,,,124,97,63,51,,,,,,,-2
10.12.2023 12:30,Anderlecht,St. Lieja,2,2,2.52,0.82,57,43,12,13,4,4,8,9,,,,,1,1,0,1,13,11,2,2,8,14,0,0,2,3,545,419,,,,,119,106,41,40,,,,,,,0
10.12.2023 10:00,Eupen,Genk,1,3,0.61,3.06,46,54,11,18,4,10,7,8,,,,,8,8,0,3,21,28,7,3,12,8,0,0,0,2,384,468,,,,,84,113,51,66,,,,,,,-2
10.12.2023 07:30,KV Mechelen,Club Brujas,0,0,0.25,1.15,44,56,9,13,4,2,5,11,,,,,2,9,1,1,21,14,2,4,11,9,0,0,3,5,346,432,,,,,89,117,40,71,,,,,,,0
09.12.2023 14:45,Gent,RWDM,4,0,2.99,0.1,62,38,22,3,10,1,12,2,,,,,9,1,3,0,24,14,1,6,11,14,0,0,0,5,560,346,,,,,129,87,70,32,,,,,,,4
09.12.2023 12:15,St. Truiden,Leuven,1,1,2.2,0.15,71,29,26,4,13,3,13,1,,,,,15,2,4,0,28,16,2,12,5,10,0,1,0,2,640,271,,,,,144,83,82,19,,,,,,,0
09.12.2023 10:00,Círculo Brujas,Antwerp,1,3,1.34,1.4,38,62,15,14,2,8,13,6,,,,,6,2,2,2,17,23,5,1,13,6,0,0,4,1,316,511,,,,,118,107,70,42,,,,,,,-2
08.12.2023 14:45,Kortrijk,Westerlo,1,2,0.65,1.4,49,51,16,8,6,3,10,5,,,,,5,1,3,5,33,20,1,5,8,13,0,0,1,3,485,507,,,,,135,84,67,23,,,,,,,-1
03.12.2023 13:15,Royale Union SG,Círculo Brujas,2,1,1.44,0.98,60,40,12,13,6,6,6,7,,,,,5,4,6,5,22,18,5,4,13,15,0,0,1,3,458,308,,,,,131,114,84,73,,,,,,,1
03.12.2023 12:30,Club Brujas,St. Lieja,2,0,0.95,0.44,53,47,13,7,5,2,8,5,,,,,4,3,0,2,18,18,2,3,13,10,0,0,2,2,572,513,,,,,98,93,62,37,,,,,,,2
03.12.2023 10:00,KV Mechelen,St. Truiden,0,2,0.27,1.69,52,48,6,13,5,5,1,8,,,,,1,5,1,2,20,17,3,5,10,8,0,0,1,2,542,490,,,,,110,84,55,43,,,,,,,-2
03.12.2023 07:30,Genk,Gent,2,2,1.72,1.78,45,55,13,17,6,6,7,11,,,,,1,9,1,3,25,19,4,4,15,12,0,0,2,2,352,432,,,,,99,106,71,95,,,,,,,0
02.12.2023 14:45,Antwerp,Leuven,1,0,1.73,0.95,64,36,18,10,5,4,13,6,,,,,7,6,3,4,26,14,4,4,6,9,0,0,0,3,548,295,,,,,118,85,87,40,,,,,,,1
02.12.2023 12:15,Eupen,Kortrijk,1,1,1.19,0.63,51,49,14,14,3,3,11,11,,,,,7,11,5,0,33,15,2,2,14,10,0,0,1,1,466,432,,,,,114,108,51,68,,,,,,,0
02.12.2023 10:00,RWDM,Charleroi,0,0,0.72,1.26,42,58,10,18,4,8,6,10,,,,,3,10,0,4,19,14,8,4,4,8,0,0,0,2,414,575,,,,,87,159,35,79,,,,,,,0
01.12.2023 14:45,Westerlo,Anderlecht,1,3,1.06,2.56,48,52,23,26,7,10,16,16,,,,,7,2,0,2,18,13,7,6,3,11,0,0,0,0,434,500,,,,,94,130,69,78,,,,,,,-2
26.11.2023 13:15,Kortrijk,KV Mechelen,0,3,0.65,1.24,64,36,15,10,3,5,12,5,,,,,4,3,0,3,23,14,2,3,12,12,0,0,2,2,574,327,,,,,149,86,65,39,,,,,,,-3
26.11.2023 12:30,Anderlecht,RWDM,2,1,4.56,0.45,74,26,25,7,8,2,17,5,,,,,10,1,0,3,23,12,1,6,6,12,0,1,1,4,693,252,,,,,152,47,117,12,,,,,,,1
26.11.2023 10:00,Leuven,Club Brujas,0,1,0.37,1.62,43,57,10,14,3,6,7,8,,,,,7,6,1,2,13,29,5,3,19,13,0,0,4,2,362,498,,,,,100,100,30,61,,,,,,,-1
