Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
23.12.2023 10:15,Atlético de Madrid,Sevilla,1,0,0.81,0.31,50,50,12,8,4,2,3,3,5,3,12,9,6,5,2,0,18,12,2,3,12,19,1,0,7,3,,,,,,,80,74,59,50,,,,,,,1
21.12.2023 15:30,Alavés,Real Madrid,0,1,0.47,0.66,40,60,8,9,2,4,1,3,5,2,13,18,3,3,1,0,16,20,3,2,18,13,0,1,3,1,,,,,,,78,104,43,52,,,,,,,-1
21.12.2023 15:30,Mallorca,Osasuna,3,2,1.1,1.54,42,58,15,12,8,7,4,2,3,3,13,14,7,0,3,0,19,29,5,5,11,12,0,0,3,1,,,,,,,102,140,52,48,,,,,,,1
21.12.2023 13:00,Cádiz,Real Sociedad,0,0,0.54,0.6,40,60,10,8,2,1,7,3,1,4,15,17,7,5,1,2,18,24,1,2,16,15,0,0,3,1,,,,,,,97,105,43,53,,,,,,,0
21.12.2023 13:00,Real Betis,Girona,1,1,1.55,1.69,47,53,21,12,4,4,7,4,10,4,12,6,7,6,1,3,16,15,3,3,6,9,0,0,2,2,,,,,,,98,125,59,52,,,,,,,0
20.12.2023 15:30,Athletic Club,Las Palmas,1,0,2.3,0.33,51,49,19,5,10,1,7,2,2,2,12,15,5,2,3,4,18,20,1,9,12,11,0,0,1,3,,,,,,,144,109,58,76,,,,,,,1
20.12.2023 15:30,Villarreal,Celta de Vigo,3,2,2.67,1.63,48,52,12,15,8,5,3,5,1,5,14,16,4,7,0,0,35,20,3,5,16,14,0,0,2,4,,,,,,,114,116,53,59,,,,,,,1
20.12.2023 13:00,Barcelona,Almería,3,2,4.12,1.24,65,35,30,10,11,5,14,4,5,1,12,19,12,0,3,3,15,11,3,8,16,9,0,0,3,3,,,,,,,142,58,60,25,,,,,,,1
19.12.2023 15:30,Atlético de Madrid,Getafe,3,3,2.28,2.2,41,59,8,29,4,9,2,14,2,6,12,14,1,12,10,0,14,16,6,1,7,14,1,0,3,3,,,,,,,62,128,25,68,,,,,,,0
19.12.2023 15:30,Granada,Sevilla,0,3,0.89,0.47,51,49,12,12,3,5,5,5,4,2,19,12,6,4,2,2,32,16,2,3,10,18,0,0,2,1,,,,,,,101,94,61,39,,,,,,,-3
