Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
20.12.2023 15:00,Brest,Lorient,4,0,1.93,0.22,60,40,12,7,7,3,3,3,2,1,21,8,1,0,1,4,15,16,3,3,8,17,0,0,1,2,614,418,515,342,17,13,115,99,40,30,11,15,2,1,,,4
20.12.2023 15:00,Clermont,Stade Rennais,1,3,0.57,1.97,44,56,14,25,6,11,2,10,6,4,12,9,4,5,1,1,16,19,8,5,8,11,1,0,0,3,369,470,279,378,13,13,107,106,40,64,20,13,6,15,,,-2
20.12.2023 15:00,Estrasburgo,Lille,2,1,0.7,0.72,31,69,9,9,2,2,3,3,4,4,13,22,6,5,3,2,15,19,1,0,19,10,0,0,1,2,262,585,199,511,26,28,73,98,25,38,11,23,3,4,,,1
20.12.2023 15:00,Lyon,Nantes,1,0,1.79,0.52,39,61,8,7,7,0,1,4,0,3,19,12,7,7,3,1,16,16,0,6,8,14,1,0,1,2,352,551,269,477,14,17,69,134,41,61,22,14,3,6,,,1
20.12.2023 15:00,Montpellier,Marsella,1,1,1.17,1.22,32,68,12,17,6,4,5,8,1,5,12,24,5,10,0,1,11,18,3,5,21,13,0,0,2,1,266,563,193,491,14,14,68,128,30,55,26,20,4,10,,,0
20.12.2023 15:00,Niza,Lens,2,0,2.69,0.49,41,59,14,10,5,3,5,4,4,3,12,16,5,6,1,3,17,16,3,3,14,11,0,0,2,2,359,535,303,463,6,16,92,98,38,35,16,17,4,3,,,2
20.12.2023 15:00,PSG,Metz,3,1,2.04,0.12,75,25,13,3,5,1,4,2,4,0,8,10,5,5,5,0,14,11,0,2,6,9,0,0,0,1,829,271,769,203,7,17,145,60,93,24,17,13,3,2,,,2
20.12.2023 15:00,Reims,Le Havre,1,0,0.92,0.23,65,35,22,4,7,1,8,3,7,0,9,11,6,2,4,1,15,11,1,6,7,6,0,1,1,1,689,365,615,280,18,15,164,76,104,30,13,26,5,1,,,1
20.12.2023 15:00,Toulouse,Mónaco,1,2,1.49,2.11,55,45,20,12,5,4,9,4,6,4,11,18,4,5,1,1,15,13,2,4,17,10,0,1,2,3,543,451,452,342,12,16,117,122,77,47,23,31,12,2,,,-1
17.12.2023 14:45,Lille,PSG,1,1,1.29,1.53,41,59,15,10,3,2,3,2,9,6,23,12,8,8,4,3,13,15,1,2,9,19,0,0,1,1,364,523,293,463,25,13,63,127,40,62,27,14,2,5,,,0
17.12.2023 11:05,Marsella,Clermont,2,1,2.31,0.18,55,45,15,5,6,2,8,2,1,1,14,12,4,1,0,0,13,12,1,4,12,14,0,0,0,2,551,461,475,390,20,17,107,85,48,31,8,15,6,1,,,1
17.12.2023 09:00,Lorient,Estrasburgo,1,2,0.82,0.89,52,48,7,12,1,9,3,0,3,3,13,14,6,1,0,1,19,14,7,0,14,12,0,0,3,2,462,454,380,373,13,17,119,81,62,31,9,32,5,1,,,-1
17.12.2023 09:00,Metz,Montpellier,0,1,0.71,0.6,51,49,19,6,4,3,4,0,11,3,14,17,12,5,2,0,27,17,2,4,15,14,0,0,2,2,399,412,316,315,18,21,148,85,70,32,14,40,9,1,,,-1
17.12.2023 09:00,Toulouse,Stade Rennais,0,0,0.74,0.74,49,51,15,11,6,4,3,1,6,6,15,19,4,4,1,0,15,15,4,6,17,14,0,0,3,2,432,455,348,368,13,16,103,120,62,52,16,19,3,6,,,0
17.12.2023 07:00,Nantes,Brest,0,2,0.94,1.69,51,49,12,14,4,8,6,3,2,3,7,15,4,3,1,0,25,27,6,4,15,8,0,0,1,3,502,494,427,404,25,25,104,107,58,35,16,24,9,3,,,-2
16.12.2023 15:00,Lens,Reims,2,0,0.95,1.01,46,54,7,14,2,3,3,8,2,3,11,11,4,7,1,1,22,14,3,0,9,10,0,0,0,1,422,505,332,404,17,15,98,136,33,48,21,21,7,6,,,2
