Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
23.12.2023 14:45,Roma,Nápoles,2,0,1.8,0.74,41,59,17,7,4,2,10,2,3,3,8,18,4,0,2,1,18,21,2,2,19,12,0,2,7,4,333,493,266,429,,,80,112,47,41,,,4,3,107,101,2
23.12.2023 12:00,Inter,Lecce,2,0,2.8,1.16,68,32,20,11,8,5,9,5,3,1,13,8,16,2,0,0,16,13,5,6,8,14,0,1,1,3,583,273,525,218,,,103,75,61,30,,,7,6,110,104,2
23.12.2023 12:00,Verona,Cagliari,2,0,1.02,1.11,59,41,13,12,5,3,7,8,1,1,20,12,11,7,1,1,9,24,3,3,9,19,0,1,3,4,469,330,389,254,,,104,100,44,37,,,10,3,113,109,2
23.12.2023 09:00,Bolonia,Atalanta,1,0,0.67,1.35,60,40,9,12,1,2,7,8,1,2,17,9,2,3,0,1,27,19,2,0,10,14,0,0,2,4,617,394,506,307,,,102,73,27,43,,,0,4,116,116,1
23.12.2023 09:00,Torino,Udinese,1,1,0.84,1.03,62,38,14,10,4,4,6,5,4,1,11,13,8,2,3,1,23,10,3,3,10,11,0,0,2,2,480,313,413,225,,,129,68,68,26,,,6,5,104,107,0
23.12.2023 06:30,Frosinone,Juventus,1,2,0.45,0.95,57,43,10,13,3,3,4,7,3,3,17,8,8,8,1,5,24,23,1,2,6,12,0,0,0,2,462,343,388,271,,,108,85,34,48,,,4,3,110,112,-1
22.12.2023 14:45,Monza,Fiorentina,0,1,0.67,1.87,53,47,7,14,2,5,3,5,2,4,13,11,1,4,0,0,19,25,4,2,12,16,0,0,3,4,481,435,390,352,,,80,122,30,53,,,3,2,112,110,-1
22.12.2023 14:45,Salernitana,AC Milan,2,2,1.43,2.6,34,66,19,21,7,9,6,6,6,6,13,17,6,6,2,2,14,16,7,5,16,11,1,0,3,1,268,503,206,448,,,59,112,27,57,,,4,7,108,103,0
22.12.2023 12:30,Empoli,Lazio,0,2,0.74,2.36,54,46,21,14,7,7,6,1,8,6,20,7,8,9,1,3,23,21,5,7,6,17,0,0,3,2,423,360,338,288,,,99,80,46,41,,,3,4,109,110,-2
22.12.2023 12:30,Sassuolo,Genoa,1,2,2.02,1.46,43,57,12,14,3,5,7,8,2,1,10,12,3,6,2,1,16,19,3,2,11,9,0,0,2,1,371,479,304,412,,,83,97,46,50,,,3,4,107,111,-1
18.12.2023 14:45,Atalanta,Salernitana,4,1,1.7,1.15,52,48,20,10,11,3,6,3,3,4,14,10,10,7,1,3,22,25,2,7,9,11,0,0,1,2,480,461,394,355,,,124,86,53,25,,,4,3,117,117,3
17.12.2023 14:45,Lazio,Inter,0,2,1.35,1.45,48,52,13,12,4,4,5,5,4,3,15,13,8,7,1,0,16,13,2,4,13,15,1,0,1,2,484,542,416,477,,,125,69,55,35,,,5,1,120,116,-2
17.12.2023 12:00,Bolonia,Roma,2,0,0.55,0.67,56,44,8,8,2,3,2,3,4,2,20,18,0,4,4,3,9,20,3,0,16,16,0,0,4,4,555,427,488,359,,,97,105,31,45,,,0,4,113,112,2
