Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
17.12.2023 14:00,AZ Alkmaar,PSV,0,4,0.06,2.75,35,65,1,23,0,8,1,7,0,8,12,8,1,5,0,1,16,24,4,0,11,12,0,0,2,0,350,621,270,547,18,17,108,119,23,70,17,8,,,,,-4
17.12.2023 10:45,Ajax,Zwolle,2,2,2.56,1.74,64,36,16,11,5,4,5,7,6,0,8,9,5,0,4,2,13,8,2,3,5,10,0,0,1,3,695,379,612,305,13,13,152,71,76,23,3,23,,,,,0
17.12.2023 08:30,Heracles,Feyenoord,0,4,0.09,3.11,33,67,2,26,0,12,0,11,2,3,7,12,3,10,2,0,16,14,8,0,12,10,0,0,3,0,312,646,240,597,23,20,61,148,29,60,24,11,,,,,-4
17.12.2023 08:30,Sparta Rotterdam,Twente,2,2,2.78,2.88,37,63,12,39,8,9,3,14,1,16,6,11,3,14,1,1,16,15,7,6,7,11,1,0,2,1,324,510,239,442,9,9,62,137,26,100,38,10,,,,,0
17.12.2023 06:15,Almere City,Vitesse,5,0,1.15,0.38,44,56,11,7,7,4,2,3,2,0,19,15,6,2,1,3,24,40,4,2,16,16,0,0,0,0,307,396,185,260,20,20,122,98,63,39,25,30,,,,,5
16.12.2023 15:00,Heerenveen,FC Volendam,1,2,1.24,0.75,77,23,20,3,7,2,4,1,9,0,10,9,19,2,2,0,26,9,0,6,7,10,0,0,1,2,715,227,635,137,6,18,174,48,108,20,6,55,,,,,-1
16.12.2023 12:45,Excelsior,G.A. Eagles,1,1,0.98,0.88,47,53,11,11,3,5,5,6,3,0,12,5,1,4,0,6,18,21,4,2,6,7,0,0,0,2,460,532,340,410,25,10,99,143,31,55,20,17,,,,,0
16.12.2023 10:30,Utrecht,Waalwijk,1,1,1.82,1.9,56,44,17,12,6,4,9,6,2,2,9,15,10,4,4,1,11,10,3,5,13,13,0,0,0,4,432,343,363,266,11,10,77,112,45,32,17,35,,,,,0
15.12.2023 14:00,Nijmegen,Sittard,4,1,1.93,0.4,57,43,16,11,7,4,2,5,7,2,8,9,5,7,0,1,13,15,3,3,11,12,1,1,3,2,482,349,408,266,24,24,103,82,66,51,23,17,,,,,3
10.12.2023 10:45,Vitesse,Heracles,2,0,1.61,1.61,49,51,12,12,2,3,7,5,3,4,5,6,3,5,1,2,22,29,3,0,12,7,0,0,2,1,374,377,288,286,20,13,107,109,35,44,24,15,,,,,2
10.12.2023 08:30,Sittard,Waalwijk,1,0,1.6,0.84,46,54,11,13,3,2,7,7,1,4,14,11,9,6,1,1,20,21,2,2,9,10,0,0,2,2,323,379,245,288,17,18,78,109,49,61,22,24,,,,,1
10.12.2023 06:15,G.A. Eagles,Utrecht,0,2,1.13,0.79,60,40,22,12,7,3,7,4,8,5,8,6,11,1,0,2,23,14,1,7,8,7,0,0,0,0,513,348,427,261,18,25,126,54,110,34,12,51,,,,,-2
09.12.2023 15:00,AZ Alkmaar,Almere City,4,1,1.34,0.59,62,38,13,13,7,6,3,4,3,3,15,9,6,5,0,1,22,23,5,3,9,17,0,0,2,5,440,269,350,163,19,24,86,90,58,39,20,16,,,,,3
09.12.2023 14:00,Zwolle,Nijmegen,1,3,1.65,1.16,54,46,16,17,3,9,8,4,5,4,7,8,1,6,0,2,25,19,6,2,12,3,0,0,1,0,471,395,394,325,20,17,102,104,48,57,20,22,,,,,-2
09.12.2023 12:45,Ajax,Sparta Rotterdam,2,1,3.25,1.05,56,44,23,10,6,2,7,6,10,2,7,6,7,7,0,1,10,30,1,4,6,7,0,0,0,1,554,425,489,334,15,12,99,98,59,43,22,19,,,,,1
08.12.2023 14:00,Twente,Excelsior,4,2,3.8,0.48,81,19,31,5,9,4,11,1,11,0,6,6,10,2,1,0,24,13,2,5,5,7,0,1,2,4,692,165,598,74,13,12,172,66,109,15,5,47,,,,,2
07.12.2023 15:00,Feyenoord,FC Volendam,3,1,,,84,16,30,2,10,2,13,0,7,0,5,5,12,3,2,0,37,13,1,7,4,5,0,0,1,1,726,146,639,58,13,25,186,46,122,12,6,59,,,,,2
07.12.2023 12:45,PSV,Heerenveen,2,0,3.86,0.62,61,39,30,12,8,1,16,5,6,6,10,5,11,2,0,1,18,5,1,6,4,10,0,0,2,1,582,378,500,298,20,17,122,97,77,46,15,19,,,,,2
06.12.2023 14:00,Waalwijk,Ajax,2,3,0.68,1.29,39,61,10,16,2,6,5,3,3,7,9,12,8,10,0,0,19,24,3,0,12,9,0,0,2,0,329,532,249,454,30,19,75,105,50,48,,,,,,,-1
06.12.2023 13:00,AZ Alkmaar,Nijmegen,1,2,2.65,0.55,74,26,26,4,4,2,13,1,9,1,4,6,13,1,0,0,29,14,0,3,6,6,0,0,0,1,704,254,612,163,12,25,156,77,113,19,,,,,,,-1
03.12.2023 10:45,Utrecht,AZ Alkmaar,1,1,1.98,1.22,46,54,15,20,4,9,7,9,4,2,14,8,7,5,0,1,12,17,8,3,10,13,0,0,0,1,436,501,349,422,17,7,111,115,39,49,20,12,,,,,0
03.12.2023 08:30,G.A. Eagles,Twente,1,3,1.08,1.81,60,40,15,13,9,5,4,4,2,4,18,8,4,4,0,1,21,15,2,8,7,17,0,0,1,0,553,368,451,265,14,12,156,80,70,35,15,32,,,,,-2
03.12.2023 08:30,Nijmegen,Ajax,1,2,0.63,2.73,43,57,7,22,3,10,2,8,2,4,8,5,2,6,1,0,24,26,8,2,4,7,0,0,0,0,434,565,348,481,18,23,103,133,49,57,20,26,,,,,-1
03.12.2023 06:15,Feyenoord,PSV,1,2,1.39,1.6,59,41,14,14,3,7,8,4,3,3,13,12,10,5,3,1,26,16,5,2,10,13,0,0,1,3,541,366,448,267,22,34,128,80,50,33,10,24,,,,,-1
02.12.2023 15:00,Heracles,Sparta Rotterdam,0,1,0.89,0.88,53,47,13,10,3,4,5,1,5,5,5,12,6,3,0,1,18,25,3,3,11,7,0,0,1,0,470,432,378,329,15,16,110,125,62,50,17,26,,,,,-1
02.12.2023 14:00,Sittard,Vitesse,3,1,2.14,1,47,53,15,8,11,4,3,2,1,2,15,16,5,4,0,1,8,22,3,8,16,14,0,1,1,3,432,472,342,381,21,10,93,105,59,48,24,13,,,,,2
02.12.2023 14:00,Waalwijk,Excelsior,2,2,1.84,1.01,51,49,17,13,8,6,2,4,7,3,5,5,2,2,0,1,20,22,5,6,4,4,0,0,0,0,496,472,404,381,14,16,133,80,52,38,14,12,,,,,0
