Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
23.12.2023 10:30,V. Guimaraes,Rio Ave,1,0,0.87,0.52,46,54,5,9,3,4,1,2,1,3,18,14,4,8,2,1,29,26,4,2,13,18,0,0,4,3,,,,,,,98,111,26,38,,,,,,,1
23.12.2023 10:30,Vizela,Moreirense,0,0,0.37,0.34,61,39,10,11,3,5,4,3,3,3,8,16,3,9,0,0,17,19,5,3,16,8,0,0,3,1,,,,,,,121,84,31,50,,,,,,,0
18.12.2023 15:15,Sporting CP,Oporto,2,0,1.49,0.58,45,55,11,5,6,3,4,2,1,0,16,23,2,2,2,2,15,8,3,4,21,15,0,1,4,4,,,,,,,72,92,45,35,,,,,,,2
17.12.2023 15:30,SC Braga,Benfica,0,1,1.92,1.56,63,37,17,11,6,6,8,5,3,0,11,14,5,2,3,2,19,8,5,6,11,9,0,0,3,3,,,,,,,187,80,94,26,,,,,,,-1
17.12.2023 13:00,Famalicao,Estoril,1,1,1.3,1.3,55,45,10,14,3,5,6,3,1,6,21,12,1,7,3,2,29,19,4,2,9,21,0,0,4,1,,,,,,,115,80,50,37,,,,,,,0
17.12.2023 10:30,Chaves,Casa Pia,1,3,0.73,0.99,54,46,15,9,5,6,6,1,4,2,17,18,4,2,2,3,28,9,3,4,16,14,0,0,1,1,,,,,,,102,103,42,33,,,,,,,-2
17.12.2023 10:30,Moreirense,Portimonense,5,2,1.71,1.34,47,53,16,9,5,3,6,3,5,3,13,15,7,7,3,1,25,22,1,0,12,12,0,0,2,2,,,,,,,108,86,40,40,,,,,,,3
16.12.2023 15:30,Boavista,V. Guimaraes,1,1,0.77,0.78,57,43,10,14,4,3,5,7,1,4,12,18,7,8,1,3,18,27,2,3,17,9,0,0,6,2,,,,,,,91,94,39,21,,,,,,,0
16.12.2023 13:00,Arouca,Gil Vicente,3,0,1.44,1.32,45,55,10,9,7,5,3,3,0,1,15,12,4,6,2,7,19,22,5,4,11,8,0,0,2,0,,,,,,,104,132,33,57,,,,,,,3
16.12.2023 10:30,Rio Ave,Vizela,1,1,0.88,0.34,60,40,13,6,4,4,5,0,4,2,21,16,7,2,0,6,23,26,3,3,16,15,0,1,3,3,,,,,,,131,76,47,24,,,,,,,0
15.12.2023 15:15,Farense,Estrela,0,0,0.71,1.17,53,47,12,9,1,2,5,7,6,0,8,13,6,9,1,0,35,26,2,1,11,8,0,0,2,1,,,,,,,125,105,43,47,,,,,,,0
