AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
Anderlecht,1.2,1.7,1,1.6,51.5,48.5,13.7,12.3,4.6,4.9,9.1,7.4,,,13,17,5.3,4.2,1.1,2,19.6,15.2,3.2,3.5,10.9,12.5,0.2,0.2,2.7,2.7,473.8,456,,,,,117.8,97.2,60.1,52.7,,,,,,
Antwerp,1.4,1.3,1.3,0.7,42,58,12.9,11.1,4.1,3.7,8.8,7.4,,,,,4.8,5.2,2.1,1.8,14.2,19.7,2.4,2.7,9.6,10.2,0.1,0,2.2,1.5,390.9,546.9,,,,,95.5,113.9,43.6,56,,,,,,
Charleroi,1.5,0.4,1.4,0.7,49,51,15.8,10.3,5.9,4,9.9,6.3,,,15,12,5.7,5.3,1.5,1.9,18.2,16.8,3.6,4.4,9.6,13,0,0.1,0.9,1.6,460.2,476.3,,,,,109.9,115.5,50.1,50,,,,,,
Club Brujas,0.9,1.7,0.7,1.9,38.3,61.7,10.3,13.7,3.2,5.6,7.1,8.1,,,,,3.8,6.2,1.3,1.7,15,20.6,3.9,2.3,11.9,10.4,0.1,0,2.3,1.9,341.8,550.2,,,,,81.8,118.2,38,56.8,,,,,,
Círculo Brujas,0.9,1.1,1.2,1.3,56.3,43.7,12,15.7,4.8,4.1,7.2,11.6,,,,,5.8,4.9,2.6,2.8,23.7,17.8,3,3.9,12.6,14.3,0,0,1.9,2.6,426.6,325.1,,,,,103.2,137.2,52.6,70.8,,,,,,
Eupen,2,0.8,2.9,0.7,55.1,44.9,20.7,9.4,6.7,3.5,14,5.9,,,13,13,5.3,3.6,1.6,2.4,18,17.7,2.7,4.7,11,12.8,0.2,0.1,1.7,2.3,524.8,414.9,,,,,122.8,77.3,63.6,34.4,,,,,,
Genk,0.9,1.8,0.8,1.8,46.9,53.1,14.3,16.3,4.1,6.2,10.1,10,1,1,12,8.5,5.5,5.5,0.9,2.4,17.3,20.9,4.4,3.2,12.1,13,0,0.1,1.8,2.7,396.6,452.3,,,,,99.2,109.5,50.2,60.7,,,,,,
Gent,1,1.3,1.1,1.5,45.7,54.3,12.2,14.8,3.7,5.6,8.5,9.2,,,,,3.9,6.5,1.6,1.3,18.7,20.8,4.4,2.7,10.6,10.5,0,0.2,2.2,1.4,411.9,493.6,,,,,119.8,111,57.4,57.2,,,,,,
KV Mechelen,1.7,1,1.5,1.1,51,49,17,11.9,6,4.6,11,7.3,,,10,10,5.7,3.4,1.1,1.7,16.8,16.8,3.6,4.3,10.2,11.3,0.1,0,1.6,2.1,505.7,493.2,,,,,116.8,98.4,54.9,47,,,,,,
Kortrijk,2.6,0.4,2,0.5,56.7,43.3,18,9.4,6.8,2.5,11.2,6.9,,,,,5.3,5,3.7,1.6,21.1,16.4,2.1,4.2,10.7,10.9,0,0,1.4,2.2,527,390.2,,,,,125.9,93.3,63.6,40.1,,,,,,
Leuven,2.7,1,2,0.9,57.7,42.3,17.2,11.5,6.5,4.3,10.7,7.2,,,13.5,10,5.5,4,3.1,1.7,19.2,16.8,3.3,3.8,9.7,11.5,0.1,0.1,1.5,2.4,513.7,348.7,,,,,117.4,86.7,67.7,41.6,,,,,,
RWDM,2.3,1,2.3,1,59.4,40.6,16.9,9.4,5.8,3.4,11.1,6,,,20,19,8.8,1.9,2.1,1.5,20.1,15.1,2.4,3.6,9.1,13.1,0,0.3,0.8,2.2,541.4,372.6,,,,,128.2,80.1,67.3,27.4,,,,,,
Royale Union SG,1.1,2,1.1,1.6,50.2,49.8,8.3,15.9,3.2,6.2,5.1,9.7,,,12,10,4,7.1,3.2,2.5,19.9,17.6,4.2,2.1,9.3,12.6,0.2,0.1,2.2,2.4,455,439.6,,,,,106.8,120.3,42.2,60.4,,,,,,
St. Lieja,2.1,1,1.8,0.8,51.9,48.1,15.9,11.4,5.5,3.6,10.4,7.8,,,12,16,5.5,3.6,1.5,2.1,13.7,17,2.6,3.4,10.4,11.5,0.1,0.3,1.8,1.9,477.8,445.2,,,,,106.1,102.8,55.3,42.4,,,,,,
St. Truiden,1.8,1.4,1.1,1,47.1,52.9,13.7,13.5,4.6,4.5,9.1,9,,,,,4.7,4.9,2.3,2.4,18.2,15,3.1,2.8,12,10.1,0,0.1,2,2.1,451.5,507.7,,,,,108.9,103.1,47.5,41.9,,,,,,
Westerlo,1.6,1.6,0.9,1.3,50.6,49.4,15.6,10.9,5.5,4.2,10.1,6.7,,,11,19,6.3,3.4,2.5,2,21,20.1,2.6,3.9,9.9,12.3,0.1,0,1.5,2.5,460.8,448,,,,,122.4,98.7,59.6,43.4,,,,,,
