HomeTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
Anderlecht,2.2,1,2.4,1,52.2,47.8,15.6,12.8,5.8,4.1,9.8,8.7,,,,,4.6,3.4,1.6,1.1,14.3,15.3,3.1,3.6,9.8,13.7,0,0.2,1.1,2.4,497.6,457.1,,,,,106.2,106.8,55.9,45.8,,,,,,
Antwerp,2.4,0.6,2.5,0.8,60.6,39.4,17.6,7.9,6.2,2.9,11.4,5,,,,,6.7,2.8,2.3,2.1,20.4,14.1,2.3,3.8,9.1,10.2,0,0,1.3,2.2,577.8,369.6,,,,,130.8,85.9,68.8,32.1,,,,,,
Charleroi,1.6,1.6,1.4,1.5,49.3,50.7,13.3,12.1,4.1,5,9.2,7.1,,,15,4,6.1,4.6,2.4,1,17.4,18.8,3.4,2.6,9.8,9.9,0.2,0.3,2.4,1.4,438.9,467.1,,,,,112,107.3,56.7,47,,,,,,
Club Brujas,2.1,0.8,1.6,0.7,54.6,45.4,16.7,10.9,5.7,3.3,11,7.6,,,10,10,6.5,3.2,1.5,2.5,19.6,15.3,2.5,3.6,11.4,9.8,0.1,0.2,2,2.1,506.2,431.8,,,,,124.3,92.4,63.2,36.6,,,,,,
Círculo Brujas,1.5,1.2,1.9,0.8,46.1,53.9,17.7,9.5,5.1,4.1,12.6,5.4,,,15,12,6.3,3.5,2.8,2.8,19.8,22.7,2.9,3.6,11.5,13.6,0.1,0.1,2.2,2.4,351.4,419,,,,,143,92.1,67.1,36.6,,,,,,
Eupen,1.3,2.3,0.9,1.9,42.6,57.4,10.6,18.3,3.4,6.5,7.2,11.8,,,11.5,17.5,4.6,7.1,2.2,1.5,19,22.8,4.2,2.1,11.8,10.9,0,0.1,1.4,1.9,409.2,542.4,,,,,81.2,122.8,38.9,65.1,,,,,,
Genk,2.3,1.1,2.4,0.7,53.4,46.6,19.3,8.7,6.5,3.6,12.8,5.1,,,13,13,5.2,4,2.2,1.5,22.3,14.6,2.5,4.2,10.2,12.4,0.2,0,1.6,2.7,484.2,418,,,,,119.5,92.1,72.9,47.8,,,,,,
Gent,2.3,1,1.6,1.1,56.3,43.7,16.4,11.5,6.2,3.8,10.2,7.7,,,,,6,4.8,2.5,1.2,19,16.3,2.8,3.9,10.1,12.5,0.2,0,1.2,2.6,513.6,399.2,,,,,122.6,94.9,64.6,42.9,,,,,,
KV Mechelen,1,0.7,1,1.1,53.1,46.9,14.9,13.9,5.3,3.3,9.6,10.6,,,,,5.2,5.4,2.2,0.9,17.5,16.7,2.7,4.3,10.1,9.9,0,0.2,1.6,2.1,492.8,435.4,,,,,110.2,100.9,56,53.6,,,,,,
Kortrijk,0.8,1.8,0.5,1.4,44,56,11.5,15.2,3.5,5.6,8,9.6,,,,,4,7.4,1.1,3.4,17.9,19.8,3.8,2.7,11.1,12.4,0.2,0.1,2.5,2,399.9,510.5,,,,,106.2,117.5,41.3,59.3,,,,,,
Leuven,1.5,1.1,1.1,1.3,44.8,55.2,12.6,14.4,4.1,4.8,8.5,9.6,,,20,19,6.2,6.2,1.9,3.6,18.5,20,3.7,2.6,11.4,13.1,0.1,0,2.9,2.7,361.1,447.6,,,,,93.5,108.2,40.4,58.8,,,,,,
RWDM,1.2,1.7,0.8,1.8,46.8,53.2,10.5,14.6,5.1,6.1,5.4,8.5,,,12,12,4.2,5.4,1.5,2.6,17.4,17.1,4.4,3.9,10.9,9.7,0,0,2.1,1.7,429.1,489.1,,,,,101.9,118.8,39.6,57.1,,,,,,
Royale Union SG,2.4,0.9,2,0.6,51,49,18.6,7.8,6.9,3.1,11.6,4.6,1,1,12.5,11,5.7,4,2.2,1.9,15.9,21.2,2.2,4.6,12.5,12.2,0,0.1,1.7,2.9,435.6,433.4,,,,,111.5,96.1,62.6,41,,,,,,
St. Lieja,0.9,0.8,0.7,1.1,48.6,51.4,10.1,12.8,3.9,4.7,6.2,8.1,,,12,10,4.1,4.2,1.8,1.7,18.9,17,3.9,3,11.4,16.2,0.1,0,1.8,2.3,426.5,454.1,,,,,111.7,109.5,50.9,54.6,,,,,,
St. Truiden,0.9,1.1,1.2,0.8,60,40,14.8,10.1,5.1,3.6,9.7,6.5,,,12,16,5.5,3.6,2.2,1.8,17.7,13.9,2.5,4.2,8.2,12.9,0,0.2,1.1,1.8,603.2,401.9,,,,,118.3,99.5,46.7,44.6,,,,,,
Westerlo,1.4,1.9,1.3,1.5,45.4,54.6,14.3,16.7,4,6.4,10.3,10.3,,,,,4.9,5.1,1.8,1.9,18.1,18.6,4.5,2.7,10,10.5,0,0.1,1.5,1.1,418.5,511.9,,,,,89.4,116.3,48.6,57.4,,,,,,
