HomeTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
Alavés,1.1,1.2,1.4,0.9,42.1,57.9,14,9.6,4,3,6.1,4.1,3.9,2.4,13.1,16.4,5.6,3.2,2.7,0.9,23.7,22.3,1.9,3,13.9,11.8,0.1,0.2,2.3,2.6,,,,,,,86.2,103.1,49.2,43.3,,,,,,
Almería,1.1,2,1.6,1.6,53,47,14.8,14.3,5.3,4.8,6.6,6.1,2.9,3.4,15.7,15.6,4.8,4.2,2.4,2.3,19.8,21.9,2.8,4.2,13.3,14,0,0.1,1.9,1.6,,,,,,,104.6,95,44,41,,,,,,
Athletic Club,2.5,1.1,2.2,0.8,52,48,15,9.2,6.9,3.9,5.7,3.1,2.4,2.2,13.5,15.2,6,3.5,2.5,2.6,22.6,19,2.8,4.4,13.1,11.8,0.1,0,2.2,2.2,,,,,,,120.6,93.4,55.7,36.4,,,,,,
Atlético de Madrid,2.3,1.1,2.1,1,51.8,48.2,14.5,13.1,5.6,4.2,5.8,5.2,3.1,3.7,11.3,12.2,4.2,6.3,3.6,0.8,17.8,15,3.1,3.3,10,12.3,0.2,0,2.2,2,,,,,,,103.1,104.8,53.9,47.6,,,,,,
Barcelona,2.1,1.1,2.4,1.3,63.6,36.4,18.6,11,7,3.7,7.1,5.4,4.5,1.9,15,13.2,7.3,2.9,2,2.2,17.8,13.6,2.6,4.9,11.6,13.2,0,0,2.5,2.3,,,,,,,123.2,76,62.4,36.7,,,,,,
Celta de Vigo,0.7,1.3,1.5,1.1,50,50,15.8,9.6,4.1,4.4,7.2,3.4,4.4,1.7,15.6,15,7.2,3.3,1.9,1.8,20.8,18.9,3.1,3.6,13.3,14.6,0.4,0.2,2.4,3.7,,,,,,,108.2,105.2,55.6,39.4,,,,,,
Cádiz,0.9,1,0.8,0.6,41.6,58.4,11.4,11.8,3.3,4.1,5.1,4.2,3,3.4,17.4,17.6,4.1,3.8,2,2.1,19.4,20.3,3.1,2.4,16.4,15.4,0.3,0.3,3,3.3,,,,,,,91.7,108.2,42.4,50.7,,,,,,
Getafe,1.1,0.5,1.1,0.9,49.2,50.8,13.2,9.5,4.9,2.2,5.2,5.1,3.1,2.1,14.5,17,4.9,4.1,1.6,3,22.6,23.8,1.8,3.8,16.1,11.8,0.4,0.5,4.1,2.6,,,,,,,116.8,99.1,50.6,37.4,,,,,,
Girona,2.3,1.1,1.6,1.2,61.6,38.4,12.9,10.6,5.1,4.1,5.2,3.6,2.6,2.9,13.4,13.7,4.4,3.7,2.7,1.2,16.2,16.4,3,2.8,10.9,12.4,0,0.1,1.7,2.7,,,,,,,114.6,79.3,54.6,36.3,,,,,,
Granada,1.3,2.1,1.3,1.6,44.8,55.2,12.2,13.6,5,6,5,5.1,2.2,2.4,16.7,13.6,3.8,5.6,2,3.2,21.3,19.6,3.9,3.7,12.3,14.3,0.1,0,2.2,2.4,,,,,,,81.3,103.8,39.6,48.6,,,,,,
