AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
Brest,0.9,1.1,1.4,1,48.1,51.9,12.2,12.4,4.8,4.3,4.7,4.9,2.8,3.2,13.1,13.7,5.2,4.4,1.7,1.3,22.4,21.6,3.2,3.9,12.1,12.2,0,0.1,1.4,2.7,406.9,446.2,322.2,355.1,20.2,23.9,105.3,118.1,51.1,50.6,22,26.3,6,4,,
Clermont,1.6,0.9,1.5,0.6,49,51,16.1,9.9,5.9,2.8,5.5,3.8,4.8,3.4,13.6,16,4.2,4.1,1.2,1.5,16.8,15.6,1.9,4.2,14.5,12.8,0.2,0.2,2,2.6,463.2,482.2,375.4,396.4,17.9,17.6,103.1,106.4,54.1,41.8,11,25,7.3,2,,
Estrasburgo,1.6,0.8,1.3,0.8,59.1,40.9,12.4,7.6,3.2,2.9,5.5,2.9,3.6,1.9,14,14.8,4.2,2.9,2.6,1.1,18.6,19,2.1,1.6,12.4,13.2,0,0,1.9,0.9,563,381,480.2,309.8,19.4,18,120.1,83.5,55,40.5,14.3,23,6.3,2,,
Le Havre,1.2,0.8,1.7,0.7,56,44,17,9.4,5.2,2.2,6.7,4.9,5.1,2.3,14.1,12.8,5.4,3.3,2.7,1.6,20.6,17.6,1.4,4,9.4,12.4,0,0.4,1.6,1.9,537.8,412.9,459.9,328.7,18.6,17.8,120.7,95.3,61.7,35.1,14,24.3,6.3,3.7,,
Lens,1.2,0.8,1.3,0.8,46.7,53.3,13.1,11.9,4.8,4.6,4.8,4.3,3.6,3,14.2,15.3,3.7,4.3,1.1,2.7,18.2,17.3,3.8,3.6,14.4,13.6,0.1,0.2,2.1,3.1,445.8,499.3,368.9,419,13.6,18.1,101.8,108.4,41.6,43.8,19,17,4.3,3,,
Lille,1.1,1.1,1.1,1,41.7,58.3,9.7,12.2,3.7,4.6,4.2,3.3,1.8,4.3,11.1,17.8,4.6,5.2,3.2,0.9,17.2,16.3,3.6,2.6,15.8,10.6,0,0,1.7,2.6,404.6,564.4,335.8,484.5,15.8,19.9,86.3,106.2,35.1,44.7,11,15.3,4,2.3,,
Lorient,2.2,0.9,1.3,0.6,54.9,45.1,14.5,8.2,6.1,3.2,5,3.1,3.4,1.9,10.6,13.5,4.5,2.8,0.8,0.9,15.5,15,2.4,3.9,12.9,10.5,0,0,1,1.8,567.5,455.4,491.4,384.6,19.1,12.9,120.2,87,58.2,37.5,18,18,2.5,2,,
Lyon,1.4,0.6,1.5,0.9,50.1,49.9,14.1,10.1,4.8,4,6.2,3.4,3.1,2.8,14.2,13.6,5.5,4.1,2.1,1.2,15.8,16,3.4,3.4,11.9,13.8,0.2,0,1.9,1.8,459.5,462.5,377.5,384.2,22.2,15.1,111.6,99.8,50.9,46,14.3,21,3.7,2.7,,
Marsella,1.8,1.2,1.2,1.5,46.9,53.1,12.3,14.4,5.1,4,4.3,7,2.9,3.4,13.8,15.1,4.4,6.6,0.4,1.9,16.3,16.7,2.8,3.3,14.9,13.1,0.2,0.2,2.3,2.4,424.6,472.3,351.8,395.6,16.4,15.4,100.1,99.7,46.7,52.4,23.3,19.3,3,7.3,,
Metz,2,1,2,0.7,70.4,29.6,19.2,8,7.9,3.6,6.2,3,5.1,1.4,12.3,11.7,6.4,4,2.2,1.1,16.9,17.1,2.6,5.9,9.9,11.2,0,0,1,1.2,680.9,277.8,606.7,208.4,16.8,16.9,142.4,75.3,64.2,30.2,12.7,16.3,4,5,,
