HomeTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
Brest,1.9,0.9,1.8,0.7,53.8,46.2,15.8,9,5.6,3.8,6.1,2.4,4,2.9,16,12.2,5.8,3.2,0.5,1.9,18.1,16.1,2.9,3.8,13,15.4,0,0.1,2,1.9,473.2,413.2,385,330.1,16.1,18.5,117,101,55.9,35.2,13,21,5.3,2,,
Clermont,0.4,1.4,0.8,1.3,50,50,14,14.2,4.6,6.7,5.9,4.7,3.6,2.9,13,14.1,4.9,4,1.4,0.8,16.3,18.6,5.2,4.1,12.6,13,0.2,0.1,1.3,2.4,464.2,461.6,382.8,383.4,17.8,15.7,107.6,102.6,39.9,45.1,15.3,12.3,5,6.3,,
Estrasburgo,1.3,1,1.2,1.2,40.4,59.6,11.8,12.8,3.8,3.4,4.9,5.6,3.1,3.8,15.1,15,3.6,5.8,1.1,2.8,15,20.9,2.4,2.4,14.4,13,0.1,0,2.2,2.2,365.4,542.9,293.8,464.7,21.2,18.1,89.9,112.4,40.8,50.2,18.7,22.3,4.7,5.7,,
Le Havre,1.1,1,1.5,1.1,43,57,12.9,11.4,4.8,4.9,4.8,3.4,3.4,3.1,11.9,15.4,4.1,4.2,1.8,1.6,19.9,18.2,4,3.6,13.9,11.2,0.1,0.2,1.4,1.8,409.1,549.8,330.6,472.6,15.4,16.8,92.4,114,44.6,44.1,17.5,19,5,4.5,,
Lens,1.8,0.8,1.7,1.2,53.6,46.4,16.1,9,5.6,3.1,6,3.8,4.5,2.1,12.9,14.1,6.5,3.6,1.8,0.5,20.5,14.1,2.4,3.9,13.5,13.6,0.1,0,1.5,1.6,492.8,431.6,415.4,347.5,11.6,17,122.1,84.8,65.9,35.9,21.5,16.5,5,6.5,,
Lille,1.4,0.5,1.7,0.9,55.8,44.2,13.1,8.6,5.1,3.2,4,3.1,4,2.2,18.4,12.1,5.8,4.4,1.4,3.6,18.5,20.4,2.8,3.8,10.6,15,0.1,0,1.2,1.9,499.9,387.1,419.8,312.6,17.4,19.2,107,93.1,50.6,41.8,17.5,14.5,3.5,3.5,,
Lorient,1.6,1.9,0.9,1.5,45.6,54.4,9.7,16.8,3.9,7.2,3.1,4.9,2.7,4.7,13.9,13.9,4.8,6.7,1.6,0.9,13.9,16.1,5.3,2.4,12.4,12.9,0,0.1,2,2.1,427.3,520.8,357.4,448.4,18.6,17.6,93.3,109.6,44,57.9,13,23.3,3.7,5.3,,
Lyon,1.2,1.8,1.4,1.4,52,48,14.8,12.2,6,5,5,3.8,3.8,3.4,12,15.3,5.3,3.6,1.7,1.6,15.4,12.8,3.2,4.8,15.1,10.8,0.2,0,2.1,2.1,496.9,474,417.3,401.8,17.9,19.3,107.8,101.4,52.4,36.1,16.7,13.3,4.3,3.7,,
Marsella,1.8,0.2,1.8,0.6,50.4,49.6,13.4,9.6,4.8,2.4,5.5,4.1,3.1,3.1,13.6,10.4,5,5.2,1.9,1.6,17.4,14,2.1,3,8.9,12.9,0.1,0.2,0.9,2.8,479,462.6,406.4,390.5,19,15.4,103.8,91.8,51.6,41.1,14.7,17.7,3.3,2,,
Metz,0.9,1.1,0.6,0.8,40,60,11,10.5,3.4,2.8,3.6,4.5,4,3.2,14.2,15.4,4,4.1,1.9,1.1,20.9,20.6,1.6,2.5,12.4,13.1,0.1,0,1.5,1.6,352.1,547.1,273,463.9,16.4,19.1,101.5,114.5,39.2,53,24.5,28.5,5.5,3,,
