HomeTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
Arsenal,2.4,0.9,2,0.7,59.6,40.4,16.7,7,6.7,2.4,10,4.6,,,10.7,11.7,8.6,2.4,2.2,1.1,15.3,12.2,1.6,4.2,9.3,10.1,0.5,0.5,1.2,2.9,579,399,,,15.9,18.8,122.1,66.3,81.1,25.7,8.7,24.3,,,,
Aston Villa,2.9,0.7,2,0.9,56.4,43.6,15,8.3,6,3,9,5.3,,,17.9,12.6,5.1,3.1,0.9,4,15.9,11.7,2.3,3.1,11.4,13.8,,,2.9,2.9,498.8,381.2,,,16.8,19.2,97.4,86.9,50.1,41.4,12,24.8,,,,
Bournemouth,1.2,1.3,1,1.2,44.9,55.1,12.9,11.9,4.8,4.5,8.1,7.4,,,11.7,13.3,6.1,5.4,1.5,1.2,19.2,17.7,3.2,3.6,12,10.6,1,0,1.4,2.9,370.5,475.7,,,18.6,20.3,101.5,94.8,49.2,49.4,13,17.3,,,,
Brentford,1.8,1.6,1.6,1.2,50.7,49.3,15,13.1,4.7,3.9,10.3,9.2,,,11.6,13.4,4.6,5.6,2.2,1.2,17,17.9,2.3,2.9,11.1,11.1,0.5,1,2.2,2.9,452.6,435.2,,,17.7,14.6,100.2,99.1,49.6,53.8,24,27.3,,,,
Brighton,2,1.3,1.9,1.4,64.2,35.8,19,9.9,7.3,3.4,11.7,6.4,,,13.6,11.9,7.7,3.2,1.8,1.2,14.4,13.4,2.1,5.3,11,12.8,1,0,1.9,2.7,632.3,346.3,,,15.1,22.8,116.9,79.1,67.6,36.6,10.3,23.7,,,,
Burnley,1,2.4,0.9,1.5,51.2,48.8,12.3,12.3,3.3,5.9,9,6.4,,,11.3,11.8,6.7,4,2,1.8,15.9,16.4,3.5,2.3,10.1,9.8,0.5,0.5,1.6,2.9,495.4,488.7,,,17.1,15.7,101.2,93.2,45.1,35.4,17.7,23.7,,,,
Chelsea,1.7,1.4,2,1.3,58.7,41.3,14.2,11.7,5,4.4,9,6.7,2,5,13.1,13.4,5.4,4.8,2.6,1.6,18,13.6,3,3.3,10.6,11.9,1,0,2.8,3.4,582.8,400.7,,,15.6,20.4,109.8,90.8,62,46.9,19.7,15.3,,,,
Crystal Palace,0.9,1.4,1.1,1.3,44.4,55.6,11.8,12.6,3.9,3.8,7.9,8.8,,,15.4,13,4.8,4.2,1.1,2,15.8,17,2.4,3,12.2,13.7,0.5,0.5,2.4,2.3,423.8,529.9,,,20.7,19.9,93.8,113.9,49.4,53.8,21,21,,,,
Everton,1.1,1,1.8,1.1,40.8,59.2,17.1,10.9,5.7,3,11.4,7.9,,,11.8,13.4,5.2,5.1,1.8,2.1,20,20.2,2,4.6,12.3,9.8,,,1.9,1.6,354.7,550.4,,,20.4,15.4,96.4,96.8,52.6,49.2,17.7,31,,,,
Fulham,1.9,1.2,1.6,1.3,60.8,39.2,14.4,9.1,4.6,3.9,9.9,5.2,,,13.4,9.1,6.7,3.4,1.2,2.1,20.4,14.9,2.7,2.7,9,12.6,1,0,2.1,1.9,614.1,388.1,,,16.8,16.1,121.8,82.6,59.1,38.4,13.5,20.2,,,,
Liverpool,2.4,0.7,2.3,0.9,64.8,35.2,22.4,10.2,7.6,2.8,14.9,7.4,,,10.9,12.3,7.7,3.7,2.7,1.7,21.8,14.6,2.1,5.1,11.2,10.7,0.3,0.7,1.1,3.1,620.7,334.4,,,17.1,18.4,129.1,77.9,68,33,13.2,32.5,,,,
Luton,1.2,1.6,1.1,1.7,38.2,61.8,12,15.2,3.2,5,8.8,10.2,,,12.6,13.8,5.8,5.4,1.3,2.7,19.1,21.7,3.4,2,12.6,9.6,0,1,2.2,1.6,320,542.3,,,18.3,18.1,96.1,109.3,54.1,62.1,27.5,15.8,,,,
Manchester City,2.8,1.1,1.6,0.8,61.8,38.2,14,6.8,5.6,2.6,8.4,4.1,,,13.8,11.6,6.5,3.6,1.4,2.2,14.2,12.8,1.5,2.9,10.1,11.8,1,0,2,3.4,665.8,409.2,,,12.1,11.9,128.2,62.1,66.9,31.1,13,27,,,,
Manchester Utd,1.3,1.6,1.7,1.6,56.7,43.3,17,12.5,5.4,4.8,11.6,7.7,,,11.3,13.4,8.7,4.9,3.2,1.1,19.2,15.5,3.2,4.1,10.3,10.3,0,1,2.3,2.3,531.4,415.9,,,17.5,17.6,119.9,83.2,71.1,42.1,11.8,21,,,,
Newcastle,2.3,0.7,2.4,1,56.8,43.2,17,11.1,6.6,3.3,10.4,7.8,,,13.9,10.4,5.6,4.7,0.7,1,16.8,16.4,2.6,4.3,10,13.1,0,1,2.4,3.1,519.3,393.6,,,15.4,18.3,113.2,86.3,62.4,36,6.7,23,,,,
Nottingham Forest,1.3,1.6,1.1,1.2,43.7,56.3,13,12.7,3.7,4.3,9.3,8.3,,,10.9,13.2,4.2,5.7,2.7,0.9,17.3,18.6,2.8,2.3,10.9,10.1,0.4,0.6,2,2.3,393.4,499.7,,,19.9,13.8,89.4,118.6,50,64.1,24.2,27.8,,,,
Sheffield Utd,1,2.4,1,2,37.6,62.4,10.5,17.6,3.3,7.3,7.2,10.3,,,11.2,12.9,3.9,6.2,1.7,2,19.3,23.5,5,2.3,12.2,9.6,,,3.3,1.1,321.4,537.5,,,18.6,17.2,93.2,116.9,38.4,52.2,29.3,16.7,,,,
Tottenham,1.9,1.3,1.9,1.7,60,40,18.8,13.4,7.4,5.2,11.3,8.2,,,18,12.8,6.4,5,2.6,3.9,19,15,3.9,5.6,10.3,14.3,0.7,1,2.4,3.9,581.1,377.9,,,21.2,20.7,116.2,79.8,72.6,43.6,13.8,18.2,,,,
West Ham,1.9,1.1,1.2,1.4,43.9,56.1,11.7,14,4.6,4.6,7.1,9.4,,,13.2,12.1,4.8,5,1.6,1.3,18.1,18.2,3.4,2.7,10.4,11.9,1,0,2.7,1.8,425.9,543.3,,,15.9,18,93.6,112.1,45.8,52.1,24,22.5,,,,
Wolves,1.4,1.6,1.2,1.6,43.6,56.4,10.8,14.2,3.9,4.8,6.9,9.4,,,11.6,16.4,5.4,5.6,2.7,1.1,18,21.1,3.2,2.6,13.7,11.2,1,0,2.9,3.8,408.4,528.8,,,18.4,18,89.7,111.4,42,55.3,17.5,20,,,,
