AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
AC Milan,1.8,1.9,1.4,1.5,42.1,57.9,15.1,13.6,4.9,5.1,5.6,4.4,4.7,4,12,13.4,4.2,3.7,0.9,1.3,14.4,14.6,3.2,3.2,12.9,11,0.3,0.4,2.7,3.2,386.6,524.1,317.6,459.7,,,84.1,101.9,38.6,42.9,,,5.5,5,113.5,110
Atalanta,1.4,1.3,1,1.1,48,52,11.3,12.6,3.8,4,4.7,5.9,2.9,2.7,15.4,11,4.1,4.9,1.3,1.7,22.6,21.6,2.7,2.3,9.9,14,0,0,1.7,1.9,448.6,477.7,356.8,387.7,,,107.3,98.6,37.3,46.4,,,2.5,3,114,114
Bolonia,1,1,0.9,1.3,45.8,54.2,12.6,9.5,3.5,4.2,4.8,3.1,4.4,2.1,13.9,15.2,5,3.4,1.9,1.4,16.8,15.6,3.2,2.5,14.2,12.9,0,0.1,3.2,2.4,418.8,512.2,347.1,438.1,,,109.1,96.5,48,34.6,,,7,1.5,114,113
Cagliari,1.8,0.6,1.7,0.8,58.8,41.2,14,9.6,4.2,2.7,6.8,5.2,3,1.7,12.8,12.8,7.1,4,2.4,1.4,19.6,20,2.1,2.6,9.7,11.9,0,0.2,2,2.2,516.2,348.4,435.4,265.9,,,115.2,81.4,55.2,38.2,,,7,3.7,113.3,108.7
Empoli,2,0.6,1.5,0.8,58.8,41.2,17.5,9.9,5.8,2.9,7.8,4.1,4,2.9,14.4,14.6,6.4,4,2,2.1,25.6,18.5,2.2,3.8,12.6,12,0,0,2.1,2.1,516,363.4,437.4,284,,,110.2,87.5,65,40.1,,,9,3,108.5,108.5
Fiorentina,1.1,1.3,1.5,1.1,44.8,55.2,11.4,12.1,4.6,4.4,3.9,4.2,3,3.4,13.1,11.8,3.7,5.2,1.6,1.3,18.2,20.2,3.1,3.4,10.8,13.1,0.2,0.1,2.2,2.7,402,502.4,320.1,421.1,,,80.2,120.9,33.9,52.6,,,2,6.7,111,109.7
Frosinone,2,0.9,1.6,1.1,47.9,52.1,15.9,11.1,5.5,3.4,6.8,5.1,3.6,2.6,11.8,11.2,5.9,5.1,1.8,1.4,19,19.1,2.5,3.5,10.2,11.1,0,0.1,1.2,2.2,406,448.5,325.8,368,,,97.2,96.5,48.6,43.9,,,4,2,109.5,111.5
Genoa,1.3,0.8,0.9,0.8,55.2,44.8,11.9,10.4,3.7,2.8,5.1,5.9,3.1,1.8,12.2,13.3,5.1,2.2,2,0.9,21,20.7,2,2.3,11.6,11.2,0.1,0.1,2.4,2.4,483.8,388.6,403.7,302.8,,,114.2,92.3,49.4,34.2,,,1,4.7,110.7,110
Inter,0.2,2.2,0.7,1.8,43.5,56.5,10.5,13.9,2.8,4.4,4,6,3.8,3.5,12.6,11.6,4.1,4,1.2,1.2,17,17,2.1,2.5,11.1,11.1,0.2,0,1.9,1.5,413.8,549.5,343.8,475.5,,,111.4,101.6,43,40.8,,,4,4.3,114.3,112.7
Juventus,0.8,1.6,0.7,1.5,53.7,46.3,14.1,11.9,2.9,3.9,6.6,4.7,4.7,3.3,14.9,13.1,6.3,4.3,0.8,2.7,21.1,17.3,2.4,2.1,12,11.9,0.1,0,1.6,2.7,465.6,413.6,396,342.3,,,108.3,88.2,57.3,41.9,,,4.7,4.3,111.3,111.7
Lazio,1.3,1.1,1.2,1.3,46.3,53.7,14.4,12.8,4.8,4,5.2,4.7,4.4,4.1,13,12.7,5.1,5.8,1.6,1.7,18.9,17.8,2.9,3.4,11,11.2,0.1,0,2.7,2.9,434.9,502.8,358,430,,,97.1,99,44.6,40.9,,,4,3,110.3,110.7
Lecce,1.5,1,1.9,0.8,55.9,44.1,16.5,9.8,6.4,3.1,6.4,3.9,3.8,2.8,15.2,15.1,6.6,2.6,1,1.1,24.2,17.4,2.1,4.9,13.8,14.1,0.1,0.4,2.4,3.2,438.1,346.1,357.8,273.6,,,109.2,95.9,58,32.4,,,7.3,3.3,107.3,104
Monza,1.5,0.8,1.5,0.9,45.2,54.8,17.2,13.1,5.4,3.8,6.4,5.9,5.5,3.5,12,11.4,5.9,5,2,1.5,15.1,13.9,3,3.9,9.4,10.6,0,0.1,1,2,434.5,520.8,362.1,454.8,,,94.5,97.9,51.2,43.4,,,4.5,4,106,109
Nápoles,0.9,1.8,0.9,1.4,41.7,58.3,10.4,14.7,3.7,5.2,4.3,4.9,2.4,4.6,12,14.8,4.4,5.1,2.2,2.4,18.2,20,3.4,2.8,14.1,11.1,0,0.2,3.1,2.8,364.3,522.6,294.3,450.1,,,89.2,110.7,40.3,51.6,,,6,4,110.7,108.3
Roma,1.5,1.1,1,1.1,44.9,55.1,10.5,11.5,2.8,3.8,4.6,4.8,3.1,3,13.2,12.2,3.2,4.9,0.9,1.8,14.1,19.6,2.6,1.2,11.9,11.4,0.2,0,2.6,3,407.2,497.8,336.5,421.4,,,92.5,95,38.2,42.4,,,1,3,110.5,111.5
Salernitana,2.2,0.6,2.2,0.7,53.6,46.4,17.6,9.1,6.9,2.6,5.9,3.6,4.9,2.9,14.4,14.1,7.9,3,1.4,2.2,23,21.6,2,4.6,12.5,13.6,0,0,1.6,2.1,448.8,389.9,363.2,301.1,,,111.2,96.6,51.6,31.4,,,3,3,112.5,113.5
Sassuolo,2.1,1.6,1.8,1.3,52.8,47.2,15.8,12.8,6.1,4.6,6.6,4.4,3,3.8,11.1,13.6,7,5.4,3,1,21.8,19.4,3,4,11.9,10.5,0.1,0.2,1.9,2.2,430,378.6,354.8,300,,,95.4,90.8,50.2,44.8,,,6,6,107,104
Torino,1.4,0.8,1.3,0.8,51.1,48.9,12.6,10.4,4.8,2.5,4.6,5.1,3.2,2.8,15.5,14.2,3.2,2.4,0.9,1.4,18.4,15.2,1.8,3.4,13,14.4,0,0,2.1,3,452.5,434.8,368.8,354.8,,,93.9,107.5,37.6,42,,,1.5,3,112,108.5
Udinese,1.6,0.7,1.4,0.9,61.9,38.1,14.1,10.9,4.9,2.6,5.9,5.4,3.3,2.9,13,13.6,7.3,3.8,1.9,1,22.1,12.8,1.9,3.3,11.2,12.4,0.1,0,1.6,1.9,526.2,316.6,455.1,251.6,,,115.7,76.4,58.1,35.4,,,4.7,2.3,106.3,106
Verona,1.3,0.7,1.1,0.8,51.7,48.3,13,10.9,4.4,3.1,5.9,5.4,2.7,2.3,14.1,12.9,4.8,3.3,1.6,2,23.4,20.4,2.4,3.1,11.3,12.7,0,0,2,2.7,399.7,371.2,306.9,278,,,104.7,99.6,44.9,35.8,,,4,3,107.5,108.5
