HomeTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
AC Milan,1.8,0.5,1.5,1,52.8,47.2,12.1,14.1,5.2,3,3.9,6.5,3,4.6,12.2,13.8,5.1,4.5,1.2,1.5,18.1,16.2,2.5,3.5,11.6,10.8,0.1,0,1.8,2.2,450.6,411,382.9,343.6,,,99.2,97.4,40.1,48.8,,,2.3,5.3,110.3,110.7
Atalanta,2,0.9,1.4,0.8,49.8,50.2,15.6,10.5,6.4,3.1,4.6,4.5,4.6,2.9,11.5,14,6.8,4,2.2,1.6,18.8,21.5,2.2,4.4,11.9,9.5,0.1,0.1,1.8,2.4,481.2,494.2,400.9,405.4,,,109.6,105.9,57,32.4,,,7,2.3,116.7,116
Bolonia,1.4,0.4,1.3,0.8,55.8,44.2,11.8,10.3,4,3.2,5.1,4.6,2.7,2.6,13.9,13,2.9,4.3,1.4,1.4,21.6,19.2,2.8,2.6,12.2,12.4,0,0.1,2.4,3.6,534,414.9,457.1,343.8,,,101.1,93.2,38.4,45.4,,,0,3.3,114,111.3
Cagliari,1.4,1.9,1.5,1.3,44.2,55.8,15.6,11.8,4.1,3.9,7.1,4.8,4.4,3.1,12.2,13.4,5.1,5.5,1.8,1.8,21.6,15.1,2,2.8,12,11,0.1,0.1,1.9,2.6,362.1,488.5,285.9,408.4,,,96,98.1,47.5,40.1,,,10,3,107.5,105.5
Empoli,0.6,1.6,0.9,1.5,48.6,51.4,12.7,15.4,4.2,5,5.1,5.7,3.3,4.8,15.9,17,5.3,5.4,2.4,1.3,26.4,21.8,3.4,3.7,13.9,14.8,0,0,2.6,1.8,384.7,416.1,298.4,327.9,,,93.7,91.8,43.6,46.6,,,5.3,3.7,107.3,105.3
Fiorentina,1.8,1,1.2,1.2,59.8,40.2,15.1,9.4,5.1,3.5,4.8,3,5.2,2.9,16.9,12.2,4.5,3.1,1.4,3,21.8,18.5,2.5,3.5,12.5,14.1,0,0,1.4,1.9,486.2,329.5,408.4,246.1,,,129.5,76,68.8,31.1,,,3.5,3,106.5,108.5
Frosinone,1.7,1.3,1,1.1,52.9,47.1,11.3,15.8,3.9,4.7,4.4,6.8,3,4.3,14.6,10.8,5.1,5.9,1.7,2.3,20.4,18.9,3.3,2.2,8.9,12.3,0,0,2.2,2.7,462.9,411.1,377,326.1,,,97.1,102.3,44.8,49.8,,,2.3,4.3,112,111.3
Genoa,1.4,1.2,0.9,1,41.9,58.1,10.4,10,3,2.9,4.9,3.8,2.5,3.4,16,13.4,4.2,4,1.2,2.1,17.8,23.5,1.6,1.6,11.8,14,0.1,0.1,2.6,3.1,340,504.4,259.2,423.2,,,85.5,112,39.1,48.6,,,8.5,3.5,106.5,104.5
Inter,2.6,0.6,2.4,0.7,56.1,43.9,17.9,9.4,6,2.8,7.3,3.9,4.6,2.8,11.9,11.4,7.6,2.7,1.1,1.2,18.3,14.3,2.2,3.6,10.7,11.1,0,0.1,1.1,1.9,553,400,464.7,349.3,,,108.7,91.8,57.7,33.3,,,6.5,3.5,109.5,105
Juventus,1.5,0.5,1.6,0.6,46.1,53.9,15.6,9.5,4.2,2.2,7.8,5.4,3.6,1.9,11.6,13.6,5.8,3.2,1.5,0.6,17.9,19.8,1.8,2.8,12.6,11.2,0,0.1,2.5,2,411.6,501.5,339.6,431.4,,,97.8,102.9,46,38.8,,,2.5,5,112.5,110
