AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
AZ Alkmaar,0.7,1.7,0.9,1.1,49,51,9.1,13.7,3.6,5.3,3,5.1,2.6,3.3,12,11.6,3,5.9,0.4,1.7,18,19.7,3.6,2.9,10.1,11,0,0,2,1.3,473.5,468.5,392.8,390,18.3,15.3,99,102,36.6,48.4,20,12,,,,
Ajax,2.4,1.9,2,1.7,40.5,59.5,14.6,15.5,5.1,7,4.8,4.8,4.8,3.8,9.9,12.1,4.6,7.2,1.4,1.1,19.3,20.1,5.1,2.8,10.8,8.5,0,0,1.6,1.2,374.3,518,286,431,20.1,15.7,94.5,114.6,51.8,52,20,26,,,,
Almere City,2.1,1,1.7,1.2,55.2,44.8,17.6,12.1,6.8,3.5,6.9,5.2,4,3.4,15.5,9,6.2,5,1.1,1.1,25.5,24,2.5,4.6,8.6,14.6,0.2,0,1.8,2.4,445,355.2,324.5,237.2,17.8,19.3,113.2,110.4,56.2,54.2,23,17,,,,
Excelsior,2.1,1.9,1.7,0.9,56.5,43.5,16.9,9.1,6.9,4.5,5.9,2.4,4.1,2.2,8.5,7,7.1,3.4,1.1,0.9,22.5,17.5,2.8,4.8,7,8.6,0,0.2,1.5,1.9,490.1,362.6,406,273.3,14.3,19,128.1,93.1,61.4,38.8,9.5,29.5,,,,
FC Volendam,2.7,1.1,2.2,0.8,61,39,21.7,8.1,8.9,2.9,8.1,3.3,4.7,1.9,7.6,8.9,9.1,4,2.1,1.1,25.2,16.1,1.8,6.2,6.7,7.8,0.2,0.1,1.3,1.4,540.1,306.2,455,220.5,15,18.6,126.6,83.2,79.3,37.6,8,47.7,,,,
Feyenoord,1,3,0.7,3,38.9,61.1,7.5,19.5,2.2,8.8,2.9,7,2.4,3.8,11.2,11.9,3,6.8,1.2,2.2,17.1,17.1,5.8,1.2,10.8,9.2,0.1,0,2,0.8,378,549.7,290.3,468.7,20.4,16.9,71.4,137.1,24.4,72.4,17,12,,,,
G.A. Eagles,1.8,0.8,2,0.7,57.6,42.4,18.6,9.5,6.6,3.1,6.8,3.6,5.2,2.8,9.8,11.6,6.8,3.6,2,1.8,18.9,19.5,2.4,4.9,9.9,8.4,0,0.1,0.8,2,524.7,371.9,433.4,276.3,16.3,13,113.6,94,56.1,42.2,21,19,,,,
Heerenveen,2.5,1.1,1.9,0.8,56,44,16.1,11.1,6.1,3.1,6.2,4.6,3.8,3.4,9.1,8.4,7.2,4.2,1,1.2,17.4,15.1,2,3.6,8.2,8.9,0.1,0.1,1.6,0.9,529.3,401.9,450.9,325.1,18.9,16.6,119.9,88,64.9,39.1,15,19,,,,
Heracles,2.5,1.2,1.7,1.4,52.4,47.6,19,11,7.6,4,6.5,4.2,4.9,2.8,11.1,11.2,8.9,4.5,1.6,1.5,19.5,22,2.8,5.1,10.4,11,0,0,1,2.6,411.3,406.6,320,318.3,17,17.1,108.5,87.5,56.2,36.9,20,22.5,,,,
Nijmegen,1.9,1.6,2.6,0.8,58.3,41.7,22,11,6.4,4.6,8.3,3.9,7.3,2.6,9.3,8.9,8.1,3.4,0.6,1.3,21,18.1,3,4.6,8.6,9.3,0,0,1,1.9,541,355.7,455.2,270.2,15.2,22.5,130.9,88.4,75.9,34.6,20,22,,,,
PSV,0.2,3.8,0.7,2.6,38.6,61.4,9.1,22.4,1.9,8.6,3.8,9.2,3.5,4.5,10.4,8.6,3.6,6.5,0.9,1.5,19.1,20.5,4.9,1.6,9.1,9.5,0.2,0,1.1,1,350.3,531.1,261.6,449,18.6,17,85.4,123.6,34,62.4,13.7,16.3,,,,
Sittard,2.6,0.5,1.9,0.7,56.5,43.5,16,10.9,6.5,3,4.4,5.6,5.1,2.2,10.6,8.1,3.9,4.2,1.1,1.2,23.6,16.1,2.5,3.9,8.9,10,0.2,0.1,1.1,2.6,531,371,442.3,279.3,14.8,19.5,121.6,98.5,56.8,45,25,15,,,,
Sparta Rotterdam,1.1,1.5,1.5,1,53.4,46.6,17.6,11.9,5.4,4.8,7.6,3.6,4.6,3.5,9.1,7,5.4,5,0.6,0.9,18.2,20.8,3.4,4.2,6.6,9.2,0.1,0,0.9,1.2,486.8,423.3,405.8,331,12.8,14.8,114.4,104.8,65.4,41.1,19.5,22.5,,,,
Twente,1,2.1,1,1.7,43,57,11,16.6,4.5,5,4.5,6.2,2,5.4,12,12,3.1,6.9,1,1.2,18.5,23.8,2.9,3.5,10.8,12.4,0.4,0.1,2.1,1.9,385.1,473.1,296.4,381.6,15.7,13.4,96.4,109.2,43.6,60.1,26.5,21,,,,
Utrecht,1.1,0.9,1.4,0.8,56.4,43.6,15,10.4,5,2.9,6.5,5,3.5,2.5,10.6,12.4,5.1,3.5,1.5,1,22.5,19.6,2,3.9,10.9,9.8,0,0.1,1.5,1.9,474.8,374.7,388.2,286,15,19.2,121.9,85.2,62.4,36.8,11.5,44.5,,,,
Vitesse,2.9,0.8,1.8,0.6,50.8,49.2,15.3,8.9,7.9,3.7,4.2,3.9,3.6,1.5,12.8,11.4,5.6,3.8,2,1.6,18.9,27.4,2.9,5,10.6,13.1,0.1,0.1,1,2.4,411.4,366.8,327.8,279.2,17.3,15.6,102.1,91.2,56,36.1,21.3,20.7,,,,
Waalwijk,1.5,0.8,1.4,1.1,49.1,50.9,15.8,12.9,5.8,4,7.1,5.6,2.9,3.2,10,10.9,6.6,4.6,1,0.8,16.5,19.6,3.2,4.2,9.6,9.2,0.2,0,1,2.2,411.5,388.3,326.5,296.8,15.3,15.7,99.4,107.9,47.9,50.6,25.7,28.3,,,,
Zwolle,1.9,2,1.7,1.2,55.2,44.8,16.9,10.6,5.5,4.9,7.8,4,3.6,1.8,12.2,8.8,7.5,2.5,1.9,2.5,21.8,17.1,2.9,3.8,7.9,9.5,0,0.1,1.1,2.5,478,406.3,387.4,319.7,12.7,16.3,120,94.1,62.4,35.5,10.5,17.5,,,,
