HomeTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
AZ Alkmaar,2.6,1,2,0.8,56.8,43.2,14.9,9.7,5.7,3.3,5.4,3.6,3.8,2.8,9.6,8.7,6.9,3.2,1.1,0.6,21.2,20,2.3,3.1,8.4,9.9,0,0,1,2.1,539.9,400,460.2,321,15.9,19.6,110.7,90.8,63.4,36.6,16.3,17.7,,,,
Ajax,2.5,1.4,2,1.3,61.8,38.2,18.5,10.2,7.1,3.6,6.1,4.5,5.2,2.1,9,9,7,3.9,1.4,0.9,18.1,17.4,2.2,4.6,8.1,10,0,0,1.2,2.1,598.3,384.7,519.9,304.4,16,16.7,114.9,81.7,68,34.9,13.3,20.3,,,,
Almere City,1.2,2.1,1.1,1.6,44.1,55.9,12.8,15.1,3.9,6.6,5.2,5.9,3.6,2.6,12.6,14.6,5,5.4,1.6,2.1,23,25.2,4.5,2.6,12.6,10.5,0.1,0.1,1.9,1.4,351.6,426.4,232.4,304.7,15.7,19.6,113.9,104.4,58.4,46,20.5,30,,,,
Excelsior,1.5,1.9,1.4,1.7,45.9,54.1,13.4,13.1,4.2,5.6,5.5,5.1,3.6,2.4,12.4,8.3,2.2,6,0.4,2.8,22.3,22.4,3.8,2.8,7.8,9,0,0,1.2,1.8,437.3,461.7,334.3,355.8,15.7,14.8,98.9,126.5,44.9,58.9,15,15,,,,
FC Volendam,1.1,2.3,1.6,1.4,47.3,52.7,12.6,13.3,4.7,5.7,5.9,5,2.3,3,11,12.3,4.6,5,2,1.4,22,25.6,3.4,3.6,11,8.7,0.1,0.1,1.7,1.3,366.4,385.9,290.6,300.9,14.3,15.7,99.1,96.4,54.3,44.1,18,12,,,,
Feyenoord,3,0.8,2,0.7,62.4,37.6,22.5,7.6,8.5,2.6,8.6,3.2,5.4,1.8,11.1,9,8.2,2.2,2.1,1.1,23,13.8,1.9,5.5,7.6,11.6,0.1,0,0.8,1.9,590.3,349,513.8,264.2,17.2,22.3,142.1,70.4,69.5,21.9,8,41.5,,,,
G.A. Eagles,2.5,1.1,1.5,1.1,47.6,52.4,18.2,15.4,8.9,4.4,5.4,5.6,4,5.4,11.8,6.4,5.8,5.9,0.8,1.2,18.4,19,3.2,6.4,7.6,9.6,0.1,0.1,0.6,1.6,425.6,448.3,338.9,361,14,15.3,105.8,94.8,63.9,44.5,13.5,41.5,,,,
Heerenveen,1.9,1.2,1.9,0.8,55,45,16.8,10,6.6,3.8,6.4,4.1,3.8,2.1,8.8,9,7.8,4.1,1.5,0.5,22.9,21.4,2.5,4.8,7.1,9.8,0.1,0,1.2,1.4,504.5,378.3,414.8,284,15.3,21.8,121.6,96.8,57.2,39.4,19.7,28.7,,,,
Heracles,1.2,2.4,1,1.5,46.9,53.1,11.6,17.1,3.2,6.4,4.8,6.6,3.6,4.1,10.4,12.9,4.4,5.2,1.9,1.1,20.1,20.5,4,2,10.4,11.2,0.1,0.1,1.8,2.1,399.3,454.6,316,376.3,16.3,16.1,91.6,115.2,46.1,52,20.5,18.5,,,,
Nijmegen,2.2,1.7,1.4,1.2,49.6,50.4,11.3,13.1,5.8,4.7,2.7,4.8,2.9,3.7,11.3,9.8,4.3,5.8,1.7,0.9,19.1,19,3,3.6,8,12,0.3,0.1,1.6,2.2,440.9,422,351.3,338.3,19.9,18.3,105.8,113.1,49.7,55,21.7,21.3,,,,
PSV,3.2,0.5,3.1,0.7,65.1,34.9,25.9,6.8,9.5,1.9,9.9,2.8,6.5,2.1,8.6,9.9,8.2,1.9,1.6,1,21.4,14.4,1.4,6.2,9,8.8,0,0.1,0.9,1.8,580.4,314.9,494.6,227.1,15.6,18.7,147.9,76.5,81.1,32.9,15,19,,,,
Sittard,1.6,0.9,1.4,0.8,45.6,54.4,14.4,10.2,6.2,3.6,6,4.5,2.1,2.1,11,12.5,6.8,5.6,1.2,0.9,23.4,23,2.8,4.6,11.5,10.1,0.1,0.1,1.6,2,367.6,441.1,281,347.9,18.3,14.7,90.8,103.4,47.2,49.1,23,18.5,,,,
Sparta Rotterdam,1.2,1.6,1.6,1.7,47.2,52.8,15,17.6,5.4,5.4,5.6,7,4,5.2,10.9,9.5,5.6,6.1,1.4,0.6,18.1,18.9,3.8,4.1,8.5,10.4,0.2,0,1.4,1.5,418.9,411.6,331.1,324.3,13.4,14.4,104.4,109,49.9,59.2,24.5,24,,,,
Twente,2.1,1.4,1.9,1.2,58.4,41.6,20.1,10.1,5.2,4.4,7.1,4.5,7.8,1.2,13.4,8.8,6.8,3.5,0.9,2.1,19.6,17.4,3,3.2,9.1,12.1,0.1,0.1,2,2.8,510.7,387.6,416.3,298,15.4,16.1,123,100.9,65,39.8,9.5,32,,,,
Utrecht,1.2,2.1,1.2,1.7,50.1,49.9,12.8,14.4,4.9,6,4.8,5.2,3.1,3.1,13.4,10.5,7.4,4.2,1.1,1.4,17.4,18.4,3.9,3.6,11.2,11.5,0.1,0.1,1.2,2.1,415.3,436.7,327.3,351.1,17.4,13.1,107.8,106.9,50.6,48.6,18.5,23.5,,,,
Vitesse,0.7,1.6,1.2,1.4,47.7,52.3,14.9,14.3,4.6,5.7,6.9,5,3.4,3.6,7.7,8.7,6.9,5.9,0.6,2.7,18.4,21.9,4.1,3.9,10.1,6.9,0.3,0,1.4,1.3,415.8,410.2,330.8,327.5,16.8,17.5,97.3,101.6,41.3,42,24,15,,,,
Waalwijk,1.1,2,1,1.5,44.8,55.2,10.9,15,3.9,5.9,4,5.5,3,3.6,8.2,8.5,3.5,6.2,0.9,1,17.8,19.6,4,2.8,7.2,8.8,0.1,0,1.1,0.8,398.3,490.4,309.6,407.3,20.3,15.6,88.5,107,39.1,60.2,14,12,,,,
Zwolle,0.9,1.6,1.2,1.1,51.4,48.6,14.4,11.8,4.9,4,5.6,4.5,3.9,3.2,10.5,11.4,4.1,4.9,0.9,2.6,18.4,18.6,2.5,4,10.2,8.5,0,0.1,1.8,2,455.8,415.8,369.8,329.2,19.5,14.2,105.8,108.1,47.6,52.2,29,24,,,,
