AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
Arouca,1.3,1.3,1.4,1.3,54.2,45.8,10.2,11.8,4.2,4.3,3.8,4,2.2,3.5,15.7,16.2,6,3.7,2.3,1.5,26.5,22.7,3.2,2.8,14,14.8,0.7,0.7,4.3,3.7,,,,,,,114.8,87.5,60,38.7,,,,,,
Benfica,0.9,1.8,1.1,1.9,41.9,58.1,11.8,14.4,3.5,5.8,5.6,5.5,2.6,3.1,12.8,15,2.9,4.9,1.8,2.2,16.9,21.1,4,2.6,14.1,11,0.1,0.1,3.4,2,,,,,,,94,121.1,38.5,59.5,,,,,,
Boavista,2,1.5,1.5,1,52.3,47.7,11.8,9.7,4.8,4.2,5.2,3.7,1.8,1.8,14.3,17.2,6.3,2.8,1.8,2.2,20.8,24.3,2.7,3,16.2,12.5,0,0.2,2.5,2.2,,,,,,,104.7,87.7,49.2,31,,,,,,
Casa Pia,1.5,1.2,1.4,0.9,56.8,43.2,14.1,10.5,5.8,4,5.1,4.5,3.2,2,14.6,15.5,5.6,4.2,2,1.6,21.8,21.4,2.8,4.2,13.5,13.9,0,0.1,2,2.2,,,,,,,114.5,86.1,54.2,36.8,,,,,,
Chaves,3.1,0.6,2,0.9,52.9,47.1,14,12.1,7.1,5.1,5.3,4.6,1.6,2.4,13.7,16.7,5.6,5.6,1.1,1.6,21.4,23,4.6,4,16.3,13,0.1,0.3,2.4,3,,,,,,,104.6,93.3,46,37.1,,,,,,
Estoril,2.4,1.5,1.9,1,53.9,46.1,14.5,11.4,5.1,4.4,6.9,4.5,2.5,2.5,14.1,14.5,5.9,5.4,2.8,1.9,20.9,20.4,2.9,2.9,12.2,13.5,0.1,0.1,3.6,2.5,,,,,,,103.5,88.4,52.8,41.1,,,,,,
Estrela,1.3,1,1.5,1.1,58.1,41.9,16.6,8.4,5.1,2.4,7.3,4.1,4.1,1.9,12.3,13.1,6.1,4.6,1.6,1.3,26.7,21.9,1.6,3.9,11.9,10.9,0,0.1,2.6,2.4,,,,,,,127.9,83.6,55.7,33.6,,,,,,
Famalicao,1,0.9,1.2,0.7,55.1,44.9,9.6,10.9,3.7,3.3,3.3,5,2.6,2.6,17.6,17.4,3.7,3.7,1.3,1.9,25.9,19,2.4,2.9,17.3,16.6,0.3,0.4,3,2.9,,,,,,,110.7,87.4,47.7,40.7,,,,,,
Farense,1.5,1.5,1.9,0.8,57,43,20.8,9.8,5.7,3.8,10.2,4.7,5,1.3,10.5,12.5,11.5,3.5,1.3,0.7,17.8,17.7,2.3,4.2,14,12.3,0,0.2,2,2.5,,,,,,,125,85.7,64.8,31.5,,,,,,
Gil Vicente,2.6,0.9,1.5,0.9,50,50,13.7,8.4,5.7,3.3,6,3.3,2,1.9,13.7,15.8,6,2.7,2,2,20.8,21.5,2.4,3.4,14.9,12.1,0.1,0,2.3,2.3,,,,,,,115.1,95.7,48.4,35.9,,,,,,
Moreirense,0.6,1.1,1,0.9,56.2,43.8,11,10.6,3.9,3.5,4.8,4.8,2.4,2.4,16.4,14.2,4.5,4.9,0.8,1.1,21.9,19.2,2.4,3.2,14.9,16.5,0.1,0.4,3.2,3.4,,,,,,,115.4,90.6,45.4,36.6,,,,,,
Oporto,0.8,1.5,1.1,0.7,43.9,56.1,10.1,9.1,2.5,4.1,5.2,3,2.4,2,17.1,20.8,6,5.2,2.6,1.6,19.8,22.9,2.6,1.8,18.2,17,0.1,0.4,3.6,4.5,,,,,,,91.5,96.6,48.8,44.1,,,,,,
Portimonense,2.8,1.1,1.2,0.7,57.4,42.6,14.8,8.4,5.2,3,6.1,3.9,3.4,1.5,15.1,14,8.4,3.8,1.8,1.2,23.2,20.9,2,2.6,13,14.9,0.1,0.2,2,2.8,,,,,,,114.6,82.4,60.9,34.1,,,,,,
Rio Ave,1.6,0.7,1.4,1.2,57.4,42.6,12.7,10.4,5,4.3,4.9,4.4,2.9,1.7,16.7,15.9,7,3.4,3.6,2.3,25.4,18.6,3.6,3.4,12.6,14.6,0,0,1.9,2.9,,,,,,,108.1,91.7,49,32.6,,,,,,
SC Braga,1.9,2.7,1.6,1.5,45.6,54.4,13.6,15.3,5.4,6.1,5.4,5.7,2.7,3.4,13,15.7,5.4,6.1,2.4,0.7,24.9,23,3.4,3.6,13.7,12.9,0.1,0.1,2.4,2.7,,,,,,,89.3,117.4,47.4,61.4,,,,,,
Sporting CP,1.5,1.8,1,1.5,48.5,51.5,9.2,13,3.3,5,4.2,5.7,1.7,2.3,11.7,15.3,3.5,5.5,1.8,1.5,19.8,26.2,3.2,1.8,14,10.7,0.2,0.2,3.3,3.5,,,,,,,95.5,108,43.3,57.2,,,,,,
V. Guimaraes,1.1,1,1.2,1,55.3,44.7,10.6,11.9,3.7,2.9,4,5.7,2.9,3.3,14.6,15.9,6.4,7.3,3,1.6,23.3,21.9,1.9,2.6,13,13.9,0.3,0.1,3.1,2.7,,,,,,,99.4,98.1,45.4,43.6,,,,,,
Vizela,1.4,1,1.1,0.6,51.9,48.1,14.3,11,4.9,4.4,6.1,4,3.3,2.6,14.7,15.3,6.4,3.6,0.9,2.4,18.4,21.3,3.4,3.4,15.7,14,0.1,0.1,2.6,2.1,,,,,,,109.7,98.4,50.3,43.4,,,,,,
