HomeTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC
Arouca,1.2,1.4,0.9,1,53.6,46.4,12.6,10.6,4.6,4.8,4.9,3.9,3.1,2,15.9,14.2,5.5,5,2.1,3.6,26.6,21.2,3.4,3.4,12.5,13,0.2,0.1,2.1,2.9,,,,,,,107.8,92.4,47.1,40,,,,,,
Benfica,1.8,0.5,2.2,0.8,65.7,34.3,20.3,7,7.5,2.5,8.2,2.8,4.7,1.7,13.5,13,10,3.3,2.3,1,21.2,22.2,2,5.7,11.2,13.5,0,0.5,2.3,3.8,,,,,,,138,75.7,96.3,32.8,,,,,,
Boavista,1.5,2,1.2,1.6,52.4,47.6,10,13.1,3.6,6.2,3.6,4.9,2.8,2,14.4,18.2,5.9,5.2,1.6,1.8,21,22.2,4.4,2.1,17,13.5,0.4,0.5,3.9,2.5,,,,,,,97.5,96.6,39.5,40.4,,,,,,
Casa Pia,0.5,0.8,0.6,1,53,47,10.5,13.8,3,4,4.7,7.3,2.8,2.5,13.7,17.3,6.3,5.2,1.7,1.7,24.5,20.3,3.2,2.5,16.3,12.8,0,0.2,2.5,2,,,,,,,86.7,105.7,36.8,41.5,,,,,,
Chaves,1.7,2.3,1.2,1.1,49.3,50.7,13.9,10.3,4.9,4.1,6.9,3.4,2.1,2.7,14.1,13.7,4.6,3.9,1.1,1.1,21.1,20.6,1.9,3.1,14.1,14.6,0.3,0.1,3.3,2.7,,,,,,,98.9,99.1,43.6,36.9,,,,,,
Estoril,2.2,0.8,1.4,1,48.5,51.5,14.2,12.3,5.7,4.7,5.7,5,2.8,2.7,14.2,16.7,5,5.2,1.3,1.2,18.2,21.3,3.8,3.5,16.2,12.8,0,0,3,2.3,,,,,,,91.7,99.2,41.3,50.2,,,,,,
Estrela,1.1,1.3,1,1.1,53.3,46.7,9.9,11,3.1,4.1,4.1,4.6,2.6,2.3,15.3,16.9,5.1,5.9,2.7,1.1,26.4,24.9,2.9,2.1,14.3,14.1,0.1,0.3,2.6,3.3,,,,,,,106,95.7,48.4,39.7,,,,,,
Famalicao,1,1.1,1,1.3,46.9,53.1,11.3,10.7,3.4,4,5.1,4.3,2.7,2.4,17.4,16.6,6.7,4.6,3,1.3,20,22.4,2.9,2.4,13.9,17.1,0.4,0.3,3.6,2.9,,,,,,,92.7,100.9,41.1,43.1,,,,,,
Farense,1.6,1.1,1.6,1.5,44.2,55.8,12.5,16.6,4,6.1,5.4,7.4,3.1,3.1,12.8,17,6,6.1,1.4,1.4,23.5,29.8,5,2.4,15.8,12.1,0.2,0,2.5,2.8,,,,,,,95,110.4,40.2,58,,,,,,
Gil Vicente,2.7,1.6,1.2,1.5,51.7,48.3,10.9,13.7,5.4,4.7,3.4,5.7,2,3.3,17.9,12.9,3.7,5.9,1.4,1.9,18.9,18.7,3.1,2.9,12.9,16.9,0,0.3,2.6,2,,,,,,,100.4,97,41.3,44.9,,,,,,
Moreirense,1.6,1.1,0.9,0.9,45.4,54.6,12.1,10.7,3.6,3,5.7,4.6,2.9,3.1,13,14.1,5.6,6.4,2.3,1.3,20,22.4,1.9,2,13,13.1,0,0.1,2,2.7,,,,,,,90.9,113.7,42.7,56.7,,,,,,
Oporto,1.5,0.8,2.1,0.6,65,35,17.8,8,5.8,2.5,8.5,2.5,3.5,3,14.2,15,8.5,3.3,2.8,1.3,26.2,17.8,1.7,4.3,12.5,13.7,0.2,0,3,3.7,,,,,,,143.7,69.5,80.3,25.2,,,,,,
Portimonense,1.2,1.7,1.2,1.3,45.3,54.7,11.3,13.5,5,5.7,5.3,6,1,1.8,13.8,15.3,4.7,5,2.5,1.5,19.8,26,4,3.8,14.3,13.2,0.2,0,3.5,2,,,,,,,92.7,108.7,36.8,53.3,,,,,,
Rio Ave,1.4,1.6,1.3,0.6,53,47,10.8,9.4,3.6,3.6,4.6,3.9,2.5,1.9,19.2,15.6,5.5,3.2,0.9,3.4,23,24,2.1,2.4,16.1,17.2,0,0.2,3,3,,,,,,,113,79.8,44,33.9,,,,,,
SC Braga,2.4,1.1,2.2,0.9,62.7,37.3,18.9,8.3,6.4,3,8.3,3.9,4.1,1.4,12.1,13.4,6.3,2.6,1.9,2,20.7,18.4,2,4,12.1,11,0,0.1,2.1,3,,,,,,,134.9,82.1,71.9,31.3,,,,,,
Sporting CP,2.4,0.8,1.7,0.6,59.1,40.9,15,7.1,6.8,2.6,6.2,3,2,1.5,13,15.6,6.2,1.6,2.8,1.2,24,13.8,1.9,4.4,13.5,12.2,0.1,0.4,3,2.9,,,,,,,126.6,74.1,64.2,27.4,,,,,,
V. Guimaraes,2.2,1.1,1.7,0.9,50.1,49.9,12.1,9.1,4.9,3.6,5.1,3.5,2.1,2,11.4,16.9,6.1,4.5,2.1,1.1,19.9,23,2.5,2.9,15.2,12.2,0.1,0.2,2.6,3,,,,,,,116,100.1,48.2,36.9,,,,,,
Vizela,0.9,1.5,1.2,1.2,50.8,49.2,11.2,11.4,3.9,4,4.8,4.5,2.6,2.9,13.4,17.9,5.5,4.6,1.2,1,19.9,16.8,2.5,3.1,17.2,13,0.1,0.2,2.8,2.8,,,,,,,104.1,99.5,49.8,48.5,,,,,,
