Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
19.01.2024 14:45,Gent,KV Mechelen,2.3,1,1.6,1.1,56.3,49,16.4,11.9,6.2,4.6,10.2,7.3,,,,10,6,3.4,2.5,1.7,19,16.8,2.8,4.3,10.1,11.3,0.2,0,1.2,2.1,513.6,493.2,,,,,122.6,98.4,64.6,47,,,,,,,
20.01.2024 10:00,Genk,Círculo Brujas,2.3,1.1,2.4,1.3,53.4,43.7,19.3,15.7,6.5,4.1,12.8,11.6,,,13,,5.2,4.9,2.2,2.8,22.3,17.8,2.5,3.9,10.2,14.3,0.2,0,1.6,2.6,484.2,325.1,,,,,119.5,137.2,72.9,70.8,,,,,,,
20.01.2024 12:15,St. Lieja,Kortrijk,0.9,0.4,0.7,0.5,48.6,43.3,10.1,9.4,3.9,2.5,6.2,6.9,,,12,,4.1,5,1.8,1.6,18.9,16.4,3.9,4.2,11.4,10.9,0.1,0,1.8,2.2,426.5,390.2,,,,,111.7,93.3,50.9,40.1,,,,,,,
20.01.2024 14:45,Club Brujas,Westerlo,2.1,1.6,1.6,1.3,54.6,49.4,16.7,10.9,5.7,4.2,11,6.7,,,10,19,6.5,3.4,1.5,2,19.6,20.1,2.5,3.9,11.4,12.3,0.1,0,2,2.5,506.2,448,,,,,124.3,98.7,63.2,43.4,,,,,,,
21.01.2024 07:30,Antwerp,Charleroi,2.4,0.4,2.5,0.7,60.6,51,17.6,10.3,6.2,4,11.4,6.3,,,,12,6.7,5.3,2.3,1.9,20.4,16.8,2.3,4.4,9.1,13,0,0.1,1.3,1.6,577.8,476.3,,,,,130.8,115.5,68.8,50,,,,,,,
21.01.2024 10:00,Royale Union SG,St. Truiden,2.4,1.4,2,1,51,52.9,18.6,13.5,6.9,4.5,11.6,9,1,,12.5,,5.7,4.9,2.2,2.4,15.9,15,2.2,2.8,12.5,10.1,0,0.1,1.7,2.1,435.6,507.7,,,,,111.5,103.1,62.6,41.9,,,,,,,
21.01.2024 12:30,Leuven,Anderlecht,1.5,1.7,1.1,1.6,44.8,48.5,12.6,12.3,4.1,4.9,8.5,7.4,,,20,17,6.2,4.2,1.9,2,18.5,15.2,3.7,3.5,11.4,12.5,0.1,0.2,2.9,2.7,361.1,456,,,,,93.5,97.2,40.4,52.7,,,,,,,
21.01.2024 13:15,RWDM,Eupen,1.2,0.8,0.8,0.7,46.8,44.9,10.5,9.4,5.1,3.5,5.4,5.9,,,12,13,4.2,3.6,1.5,2.4,17.4,17.7,4.4,4.7,10.9,12.8,0,0.1,2.1,2.3,429.1,414.9,,,,,101.9,77.3,39.6,34.4,,,,,,,
26.01.2024 14:45,Círculo Brujas,St. Lieja,1.5,1,1.9,0.8,46.1,48.1,17.7,11.4,5.1,3.6,12.6,7.8,,,15,16,6.3,3.6,2.8,2.1,19.8,17,2.9,3.4,11.5,11.5,0.1,0.3,2.2,1.9,351.4,445.2,,,,,143,102.8,67.1,42.4,,,,,,,
27.01.2024 10:00,Kortrijk,Leuven,0.8,1,0.5,0.9,44,42.3,11.5,11.5,3.5,4.3,8,7.2,,,,10,4,4,1.1,1.7,17.9,16.8,3.8,3.8,11.1,11.5,0.2,0.1,2.5,2.4,399.9,348.7,,,,,106.2,86.7,41.3,41.6,,,,,,,
