Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
02.01.2024 11:00,Getafe,Rayo Vallecano,1.1,0.8,1.1,0.9,49.2,42.7,13.2,10.4,4.9,4.1,5.2,4.3,3.1,2,14.5,16.9,4.9,2.8,1.6,2.7,22.6,19.2,1.8,4,16.1,15.3,0.4,0.2,4.1,3.3,,,,,,,116.8,88.6,50.6,30.7,,,,,,,
02.01.2024 13:15,Real Sociedad,Alavés,1.9,0.4,1.1,1,54.1,41.8,12.1,11.9,5,3.4,5,5.6,2.1,2.9,15.4,14.2,4.3,3.8,2.3,1.4,21.9,18.9,3.2,3.2,16.2,12,0,0,2.3,2.1,,,,,,,106.2,92.4,45.4,39.8,,,,,,,
02.01.2024 15:30,Valencia,Villarreal,1.1,1.1,1.1,1,47.6,50.1,11,7.9,3.5,3.6,4.8,2.8,2.8,1.5,12.8,17.5,3.8,3.5,2,1.4,22.4,15.2,2.1,4.6,13.8,13.2,0.1,0.4,1.9,3.4,,,,,,,110,80.9,43.8,31.1,,,,,,,
03.01.2024 11:00,Granada,Cádiz,1.3,0.7,1.3,0.6,44.8,35.4,12.2,6.7,5,2.8,5,3,2.2,0.9,16.7,13.2,3.8,3.7,2,2.6,21.3,17.3,3.9,4.3,12.3,15.8,0.1,0.2,2.2,3.2,,,,,,,81.3,82.8,39.6,31,,,,,,,
03.01.2024 13:15,Celta de Vigo,Real Betis,0.7,0.9,1.5,0.9,50,46.9,15.8,10.7,4.1,3.3,7.2,4.6,4.4,2.8,15.6,16.8,7.2,5.3,1.9,1.4,20.8,17,3.1,4.2,13.3,11.3,0.4,0.2,2.4,2.3,,,,,,,108.2,90.4,55.6,40.9,,,,,,,
03.01.2024 13:15,Real Madrid,Mallorca,2.6,1,2.2,1.3,61.5,40.9,19.2,11.9,7.9,3.4,6.4,5.8,5,2.7,13.9,12.1,7.8,3.1,3.8,2.3,16.2,21.3,1.4,2.6,10.2,17.2,0,0.1,1.9,3.3,,,,,,,120.9,86.3,66.2,31.2,,,,,,,
03.01.2024 15:30,Girona,Atlético de Madrid,2.3,1.6,1.6,1.3,61.6,51.8,12.9,9.8,5.1,4.5,5.2,2.5,2.6,2.8,13.4,13.8,4.4,4.8,2.7,3.1,16.2,17.2,3,2.5,10.9,10.9,0,0.1,1.7,2.8,,,,,,,114.6,97.8,54.6,37.8,,,,,,,
04.01.2024 11:00,Osasuna,Almería,0.9,1,1.1,1.1,47.8,42.1,12.8,10.7,3.7,3.7,5.2,4.6,3.9,2.4,14.3,13.6,5.3,5.3,1.4,1.9,24.3,19.4,1.8,3.6,14.4,11.9,0.3,0.1,2.3,2.4,,,,,,,122.8,82,61.7,32.8,,,,,,,
04.01.2024 13:15,Sevilla,Athletic Club,1.4,1.1,1.2,1.3,53.8,47.9,17.3,13.4,5.6,3.9,7.9,6.1,3.9,3.4,15.8,14.1,7.4,5.4,3,2.2,20.8,20.2,2.4,3.6,13.9,14,0.1,0.1,3.1,2.5,,,,,,,99.8,102.1,63.2,46.2,,,,,,,
04.01.2024 15:30,Las Palmas,Barcelona,1.1,1.6,1.1,2,62.9,67.1,10.1,14.9,4,6.1,3.4,5.1,2.8,3.6,18.2,18.2,4.9,5.1,2.5,2.2,17.9,19,2.5,2.8,11.1,10.9,0.1,0.1,2.1,2.4,,,,,,,118.4,125.1,41.6,54.9,,,,,,,
12.01.2024 15:00,Sevilla,Alavés,1.4,0.4,1.2,1,53.8,41.8,17.3,11.9,5.6,3.4,7.9,5.6,3.9,2.9,15.8,14.2,7.4,3.8,3,1.4,20.8,18.9,2.4,3.2,13.9,12,0.1,0,3.1,2.1,,,,,,,99.8,92.4,63.2,39.8,,,,,,,
13.01.2024 08:00,Las Palmas,Villarreal,1.1,1.1,1.1,1,62.9,50.1,10.1,7.9,4,3.6,3.4,2.8,2.8,1.5,18.2,17.5,4.9,3.5,2.5,1.4,17.9,15.2,2.5,4.6,11.1,13.2,0.1,0.4,2.1,3.4,,,,,,,118.4,80.9,41.6,31.1,,,,,,,
13.01.2024 10:15,Mallorca,Celta de Vigo,0.9,1.3,0.7,1.2,46.3,38.7,10.4,11.6,3.8,4.3,3.4,3.9,3.2,3.3,14.4,13,5.6,4.2,4.3,1.3,20.8,15.3,2.8,3.1,14,11.3,0.1,0,2.1,1.6,,,,,,,99.7,87.3,46.7,39.7,,,,,,,
13.01.2024 12:30,Athletic Club,Real Sociedad,2.5,1.3,2.2,1.3,52,55.8,15,12.4,6.9,3.4,5.7,5.2,2.4,3.8,13.5,15.7,6,4.7,2.5,2.9,22.6,19.8,2.8,3.3,13.1,17.1,0.1,0,2.2,2.8,,,,,,,120.6,107.3,55.7,43.8,,,,,,,
13.01.2024 15:00,Real Betis,Granada,1.3,0.9,1.4,0.8,50.8,47.2,15.8,8.2,4.4,2.7,7.2,2.8,4.1,2.8,16.2,16.8,6,3.8,2.2,2.2,16.4,19.1,2,2.3,11.3,14.1,0,0.1,2,2.9,,,,,,,99.6,91.9,50.6,38.9,,,,,,,
