Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
12.01.2024 15:00,Marsella,Estrasburgo,1.8,0.8,1.8,0.8,50.4,40.9,13.4,7.6,4.8,2.9,5.5,2.9,3.1,1.9,13.6,14.8,5,2.9,1.9,1.1,17.4,19,2.1,1.6,8.9,13.2,0.1,0,0.9,0.9,479,381,406.4,309.8,19,18,103.8,83.5,51.6,40.5,14.7,23,3.3,2,,,
13.01.2024 11:00,Mónaco,Reims,1.9,1.3,1.3,0.9,56.8,51.8,15.6,11,6.5,3.8,5.4,4.4,3.8,2.8,13.9,11,5.8,4.9,2,3,17.8,18.3,2.4,2.3,15.6,14.6,0,0,2.1,2,535.8,441.7,447.9,353.2,20.6,20,127.2,100.6,51.4,44.8,12.5,15.3,5,5.3,,,
13.01.2024 15:00,Stade Rennais,Niza,2,1,1.6,1.2,51.8,55.2,15.7,13.5,5.6,6,6.6,4.4,3.6,3.1,17.2,13,4.6,5.2,1.4,1,18.4,14.5,2.9,2.1,9.3,13.2,0.1,0.1,1.8,2,485.9,570.6,412.6,502.9,15.9,13.2,103.8,112.1,50.2,43.4,15.5,9.5,5,8,,,
14.01.2024 07:00,Lille,Lorient,1.4,0.9,1.7,0.6,55.8,45.1,13.1,8.2,5.1,3.2,4,3.1,4,1.9,18.4,13.5,5.8,2.8,1.4,0.9,18.5,15,2.8,3.9,10.6,10.5,0.1,0,1.2,1.8,499.9,455.4,419.8,384.6,17.4,12.9,107,87,50.6,37.5,17.5,18,3.5,2,,,
14.01.2024 09:00,Brest,Montpellier,1.9,1.2,1.8,1.2,53.8,42.4,15.8,9.9,5.6,4.9,6.1,2.9,4,2.1,16,15.8,5.8,3.2,0.5,1.8,18.1,20.1,2.9,4.5,13,12.6,0,0.1,2,1.9,473.2,397,385,317.1,16.1,21.2,117,81.2,55.9,38.2,13,31,5.3,1,,,
14.01.2024 09:00,Metz,Toulouse,0.9,0.6,0.6,0.8,40,49,11,10.7,3.4,3.2,3.6,3.7,4,3.8,14.2,14.2,4,2.9,1.9,1.9,20.9,17.6,1.6,3.3,12.4,15.6,0.1,0,1.5,3.1,352.1,459.7,273,373.4,16.4,17.1,101.5,101.2,39.2,40.9,24.5,13.5,5.5,5.5,,,
14.01.2024 09:00,Nantes,Clermont,1.4,0.9,1.3,0.6,46.2,51,12.9,9.9,4.2,2.8,5.2,3.8,3.4,3.4,14.3,16,5.2,4.1,1.2,1.5,17.8,15.6,4.8,4.2,10.9,12.8,0.1,0.2,1.4,2.6,455.3,482.2,378.7,396.4,15.9,17.6,98.8,106.4,47.1,41.8,12.7,25,6,2,,,
14.01.2024 11:05,Le Havre,Lyon,1.1,0.6,1.5,0.9,43,49.9,12.9,10.1,4.8,4,4.8,3.4,3.4,2.8,11.9,13.6,4.1,4.1,1.8,1.2,19.9,16,4,3.4,13.9,13.8,0.1,0,1.4,1.8,409.1,462.5,330.6,384.2,15.4,15.1,92.4,99.8,44.6,46,17.5,21,5,2.7,,,
14.01.2024 14:45,Lens,PSG,1.8,2.1,1.7,1.6,53.6,60.8,16.1,15.8,5.6,6.4,6,4.6,4.5,4.8,12.9,11.9,6.5,5.2,1.8,1.5,20.5,12.8,2.4,4,13.5,11.4,0.1,0.1,1.5,1.8,492.8,608,415.4,541.5,11.6,18.9,122.1,115.5,65.9,51.8,21.5,21,5,3,,,
26.01.2024 15:00,Lyon,Stade Rennais,1.2,0.6,1.4,0.9,52,56.5,14.8,13.9,6,4.9,5,4.8,3.8,4.2,12,10.4,5.3,5.4,1.7,0.9,15.4,17.6,3.2,3,15.1,12.9,0.2,0.2,2.1,1.9,496.9,516.5,417.3,434.1,17.9,14.2,107.8,114.4,52.4,56,16.7,15,4.3,8.3,,,
27.01.2024 11:00,Niza,Metz,1.2,1,1.1,0.7,50.8,29.6,13.2,8,3.6,3.6,6.6,3,3.1,1.4,11.2,11.7,5,4,2.7,1.1,17.3,17.1,2.1,5.9,10.9,11.2,0.1,0,1.7,1.2,470.7,277.8,416.8,208.4,16.3,16.9,96.3,75.3,43.8,30.2,18,16.3,3.7,5,,,
27.01.2024 15:00,Marsella,Mónaco,1.8,2,1.8,1.7,50.4,53.7,13.4,15.1,4.8,6.1,5.5,5.4,3.1,3.6,13.6,12.4,5,6.1,1.9,2.8,17.4,15.8,2.1,3.4,8.9,14.8,0.1,0.2,0.9,2.9,479,495.4,406.4,410,19,18.4,103.8,118.3,51.6,50.3,14.7,23.7,3.3,4.3,,,
28.01.2024 07:00,Montpellier,Lille,1,1.1,1.6,1,45.3,58.3,17,12.2,4.9,4.6,6.9,3.3,5.2,4.3,14.8,17.8,5,5.2,1.8,0.9,19.6,16.3,3.3,2.6,13.6,10.6,0.1,0,2,2.6,383.3,564.4,287.7,484.5,15.2,19.9,95.9,106.2,47.9,44.7,18.8,15.3,7,2.3,,,
28.01.2024 09:00,Clermont,Estrasburgo,0.4,0.8,0.8,0.8,50,40.9,14,7.6,4.6,2.9,5.9,2.9,3.6,1.9,13,14.8,4.9,2.9,1.4,1.1,16.3,19,5.2,1.6,12.6,13.2,0.2,0,1.3,0.9,464.2,381,382.8,309.8,17.8,18,107.6,83.5,39.9,40.5,15.3,23,5,2,,,
28.01.2024 09:00,Lorient,Le Havre,1.6,0.8,0.9,0.7,45.6,44,9.7,9.4,3.9,2.2,3.1,4.9,2.7,2.3,13.9,12.8,4.8,3.3,1.6,1.6,13.9,17.6,5.3,4,12.4,12.4,0,0.4,2,1.9,427.3,412.9,357.4,328.7,18.6,17.8,93.3,95.3,44,35.1,13,24.3,3.7,3.7,,,
28.01.2024 09:00,Reims,Nantes,1.2,0.8,1.6,1.1,51.6,48.8,13.2,11.5,5,3.4,4.6,4,3.6,4.1,10.4,13,5.5,4.9,3,1.9,19.8,17.4,2.9,3.4,11.1,14,0,0.1,1,2.2,475,442.1,391.6,365.6,18.5,15.8,118,93.6,64.1,41.4,17.5,19,4,4,,,
28.01.2024 11:05,Toulouse,Lens,1.2,0.8,1,0.8,48,53.3,13.2,11.9,5.5,4.6,4.1,4.3,3.6,3,13.8,15.3,3.6,4.3,1.1,2.7,15.4,17.3,3,3.6,14.2,13.6,0,0.2,1.9,3.1,445.2,499.3,364.4,419,16.8,18.1,101.1,108.4,47.9,43.8,21.3,17,6,3,,,
28.01.2024 14:45,PSG,Brest,2.8,1.1,1.6,1,70.2,51.9,15.3,12.4,6.1,4.3,4.8,4.9,4.4,3.2,13.4,13.7,5.3,4.4,1.9,1.3,15.6,21.6,2.1,3.9,8.9,12.2,0,0.1,0.7,2.7,772.1,446.2,703.8,355.1,15.9,23.9,143.2,118.1,75.3,50.6,15,26.3,2.3,4,,,
04.02.2024 11:00,Brest,Niza,1.9,1,1.8,1.2,53.8,55.2,15.8,13.5,5.6,6,6.1,4.4,4,3.1,16,13,5.8,5.2,0.5,1,18.1,14.5,2.9,2.1,13,13.2,0,0.1,2,2,473.2,570.6,385,502.9,16.1,13.2,117,112.1,55.9,43.4,13,9.5,5.3,8,,,
04.02.2024 11:00,Estrasburgo,PSG,1.3,2.1,1.2,1.6,40.4,60.8,11.8,15.8,3.8,6.4,4.9,4.6,3.1,4.8,15.1,11.9,3.6,5.2,1.1,1.5,15,12.8,2.4,4,14.4,11.4,0.1,0.1,2.2,1.8,365.4,608,293.8,541.5,21.2,18.9,89.9,115.5,40.8,51.8,18.7,21,4.7,3,,,
04.02.2024 11:00,Lille,Clermont,1.4,0.9,1.7,0.6,55.8,51,13.1,9.9,5.1,2.8,4,3.8,4,3.4,18.4,16,5.8,4.1,1.4,1.5,18.5,15.6,2.8,4.2,10.6,12.8,0.1,0.2,1.2,2.6,499.9,482.2,419.8,396.4,17.4,17.6,107,106.4,50.6,41.8,17.5,25,3.5,2,,,
04.02.2024 11:00,Metz,Lorient,0.9,0.9,0.6,0.6,40,45.1,11,8.2,3.4,3.2,3.6,3.1,4,1.9,14.2,13.5,4,2.8,1.9,0.9,20.9,15,1.6,3.9,12.4,10.5,0.1,0,1.5,1.8,352.1,455.4,273,384.6,16.4,12.9,101.5,87,39.2,37.5,24.5,18,5.5,2,,,
04.02.2024 11:00,Mónaco,Le Havre,1.9,0.8,1.3,0.7,56.8,44,15.6,9.4,6.5,2.2,5.4,4.9,3.8,2.3,13.9,12.8,5.8,3.3,2,1.6,17.8,17.6,2.4,4,15.6,12.4,0,0.4,2.1,1.9,535.8,412.9,447.9,328.7,20.6,17.8,127.2,95.3,51.4,35.1,12.5,24.3,5,3.7,,,
04.02.2024 11:00,Nantes,Lens,1.4,0.8,1.3,0.8,46.2,53.3,12.9,11.9,4.2,4.6,5.2,4.3,3.4,3,14.3,15.3,5.2,4.3,1.2,2.7,17.8,17.3,4.8,3.6,10.9,13.6,0.1,0.2,1.4,3.1,455.3,499.3,378.7,419,15.9,18.1,98.8,108.4,47.1,43.8,12.7,17,6,3,,,
04.02.2024 11:00,Reims,Toulouse,1.2,0.6,1.6,0.8,51.6,49,13.2,10.7,5,3.2,4.6,3.7,3.6,3.8,10.4,14.2,5.5,2.9,3,1.9,19.8,17.6,2.9,3.3,11.1,15.6,0,0,1,3.1,475,459.7,391.6,373.4,18.5,17.1,118,101.2,64.1,40.9,17.5,13.5,4,5.5,,,
04.02.2024 11:00,Stade Rennais,Montpellier,2,1.2,1.6,1.2,51.8,42.4,15.7,9.9,5.6,4.9,6.6,2.9,3.6,2.1,17.2,15.8,4.6,3.2,1.4,1.8,18.4,20.1,2.9,4.5,9.3,12.6,0.1,0.1,1.8,1.9,485.9,397,412.6,317.1,15.9,21.2,103.8,81.2,50.2,38.2,15.5,31,5,1,,,
04.02.2024 14:45,Lyon,Marsella,1.2,1.2,1.4,1.5,52,53.1,14.8,14.4,6,4,5,7,3.8,3.4,12,15.1,5.3,6.6,1.7,1.9,15.4,16.7,3.2,3.3,15.1,13.1,0.2,0.2,2.1,2.4,496.9,472.3,417.3,395.6,17.9,15.4,107.8,99.7,52.4,52.4,16.7,19.3,4.3,7.3,,,
11.02.2024 11:00,Clermont,Brest,0.4,1.1,0.8,1,50,51.9,14,12.4,4.6,4.3,5.9,4.9,3.6,3.2,13,13.7,4.9,4.4,1.4,1.3,16.3,21.6,5.2,3.9,12.6,12.2,0.2,0.1,1.3,2.7,464.2,446.2,382.8,355.1,17.8,23.9,107.6,118.1,39.9,50.6,15.3,26.3,5,4,,,
11.02.2024 11:00,Le Havre,Stade Rennais,1.1,0.6,1.5,0.9,43,56.5,12.9,13.9,4.8,4.9,4.8,4.8,3.4,4.2,11.9,10.4,4.1,5.4,1.8,0.9,19.9,17.6,4,3,13.9,12.9,0.1,0.2,1.4,1.9,409.1,516.5,330.6,434.1,15.4,14.2,92.4,114.4,44.6,56,17.5,15,5,8.3,,,
11.02.2024 11:00,Lens,Estrasburgo,1.8,0.8,1.7,0.8,53.6,40.9,16.1,7.6,5.6,2.9,6,2.9,4.5,1.9,12.9,14.8,6.5,2.9,1.8,1.1,20.5,19,2.4,1.6,13.5,13.2,0.1,0,1.5,0.9,492.8,381,415.4,309.8,11.6,18,122.1,83.5,65.9,40.5,21.5,23,5,2,,,
