Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
27.12.2023 15:15,Everton,Manchester City,1.1,2,1.8,2.3,40.8,63,17.1,17.7,5.7,7.7,11.4,10,,,11.8,12.6,5.2,6.2,1.8,1,20,16.1,2,2.2,12.3,8.8,,0,1.9,2.1,354.7,613.3,,,20.4,16.2,96.4,119.1,52.6,67.1,17.7,19,,,,,
28.12.2023 14:30,Brighton,Tottenham,2,2.2,1.9,1.5,64.2,60.7,19,13.3,7.3,5,11.7,8.3,,,13.6,18.3,7.7,4.3,1.8,1.6,14.4,17.7,2.1,2.3,11,12.2,1,1,1.9,3.2,632.3,576.9,,,15.1,19.6,116.9,105.8,67.6,52.6,10.3,28.7,,,,,
28.12.2023 15:15,Arsenal,West Ham,2.4,1.6,2,1.5,59.6,38.9,16.7,11.7,6.7,4,10,7.7,,,10.7,10.7,8.6,4.8,2.2,2.3,15.3,16.9,1.6,3.8,9.3,11.9,0.5,,1.2,2.4,579,372.7,,,15.9,18.4,122.1,83.9,81.1,39.6,8.7,15,,,,,
30.12.2023 07:30,Luton,Chelsea,1.2,1.6,1.1,1.7,38.2,61,12,13.3,3.2,4.8,8.8,8.6,,,12.6,13.7,5.8,5.1,1.3,2.1,19.1,13.6,3.4,3.4,12.6,13.7,0,0.3,2.2,3.9,320,573.2,,,18.3,18.2,96.1,99.9,54.1,54.7,27.5,17.2,,,,,
30.12.2023 10:00,Aston Villa,Burnley,2.9,0.9,2,0.7,56.4,45,15,8.6,6,2.9,9,5.7,,,17.9,12,5.1,4.6,0.9,1.9,15.9,17.7,2.3,4.8,11.4,11.6,,0.7,2.9,2.8,498.8,412,,,16.8,15.3,97.4,86.9,50.1,40.4,12,27.8,,,,,
30.12.2023 10:00,Crystal Palace,Brentford,0.9,1,1.1,1.5,44.4,44.4,11.8,12.2,3.9,4,7.9,8.2,,,15.4,11.9,4.8,4.9,1.1,1.5,15.8,20,2.4,3.2,12.2,11.4,0.5,0,2.4,2.6,423.8,401.9,,,20.7,19.5,93.8,86.1,49.4,47,21,21.7,,,,,
30.12.2023 10:00,Manchester City,Sheffield Utd,2.8,0.6,1.6,0.5,61.8,35.6,14,7,5.6,2.1,8.4,4.9,,,13.8,11.1,6.5,3.1,1.4,1.9,14.2,14.4,1.5,4.1,10.1,12.6,1,0.7,2,3.4,665.8,328.9,,,12.1,21.6,128.2,78.7,66.9,31.3,13,29.2,,,,,
30.12.2023 10:00,Wolves,Everton,1.4,1.4,1.2,1.2,43.6,38.4,10.8,11.8,3.9,4.4,6.9,7.3,,,11.6,10.3,5.4,4.7,2.7,1.9,18,19.4,3.2,2.9,13.7,12.8,1,1,2.9,2.3,408.4,352.6,,,18.4,18.4,89.7,100.7,42,48.3,17.5,28,,,,,
30.12.2023 12:30,Nottingham Forest,Manchester Utd,1.3,0.9,1.1,1.1,43.7,48.1,13,11.4,3.7,3.4,9.3,8,,,10.9,10.8,4.2,3.8,2.7,2.2,17.3,17.1,2.8,4.2,10.9,10.8,0.4,1,2,2.4,393.4,445,,,19.9,16.9,89.4,81.3,50,40.2,24.2,32.5,,,,,
31.12.2023 09:00,Fulham,Arsenal,1.9,1.6,1.6,1.6,60.8,60.4,14.4,14.7,4.6,4.3,9.9,10.3,,,13.4,13.1,6.7,7.4,1.2,2.2,20.4,15.4,2.7,1.8,9,10.2,1,1,2.1,2,614.1,526.4,,,16.8,17,121.8,110,59.1,65.3,13.5,16.2,,,,,
31.12.2023 09:00,Tottenham,Bournemouth,1.9,1.8,1.9,1.6,60,43.7,18.8,12.8,7.4,5,11.3,7.8,,,18,9.9,6.4,4.7,2.6,1.1,19,18.1,3.9,3.3,10.3,12.4,0.7,0,2.4,2.1,581.1,383.6,,,21.2,17.6,116.2,89.1,72.6,44.1,13.8,21.5,,,,,
01.01.2024 15:00,Liverpool,Newcastle,2.4,1.6,2.3,1.6,64.8,54,22.4,11.8,7.6,4.3,14.9,7.4,,,10.9,13.4,7.7,4.1,2.7,1.8,21.8,16.6,2.1,3.9,11.2,10.9,0.3,,1.1,2.4,620.7,510.6,,,17.1,17.8,129.1,93.3,68,45.6,13.2,21.2,,,,,
02.01.2024 14:30,West Ham,Brighton,1.9,1.8,1.2,1.2,43.9,59.7,11.7,11.3,4.6,5,7.1,6.3,,,13.2,14.1,4.8,2.9,1.6,2.7,18.1,12.6,3.4,3.4,10.4,10.7,1,0.2,2.7,3.4,425.9,623.1,,,15.9,16.6,93.6,100,45.8,47,24,18.2,,,,,
13.01.2024 07:30,Chelsea,Fulham,1.7,0.9,2,0.8,58.7,41.6,14.2,8.5,5,3.9,9,4.6,2,,13.1,12.2,5.4,3.4,2.6,2.1,18,15.3,3,4.9,10.6,10.6,1,1,2.8,2.8,582.8,413,,,15.6,19,109.8,86.1,62,35.8,19.7,23.7,,,,,
13.01.2024 12:30,Newcastle,Manchester City,2.3,2,2.4,2.3,56.8,63,17,17.7,6.6,7.7,10.4,10,,,13.9,12.6,5.6,6.2,0.7,1,16.8,16.1,2.6,2.2,10,8.8,0,0,2.4,2.1,519.3,613.3,,,15.4,16.2,113.2,119.1,62.4,67.1,6.7,19,,,,,
14.01.2024 09:00,Everton,Aston Villa,1.1,1.4,1.8,1.4,40.8,52.3,17.1,13.8,5.7,4.6,11.4,9.2,,,11.8,18.3,5.2,7.2,1.8,1,20,16.8,2,3.5,12.3,10.5,,0.3,1.9,2.5,354.7,457.3,,,20.4,14.9,96.4,95.2,52.6,51.6,17.7,16.8,,,,,
14.01.2024 11:30,Manchester Utd,Tottenham,1.3,2.2,1.7,1.5,56.7,60.7,17,13.3,5.4,5,11.6,8.3,,,11.3,18.3,8.7,4.3,3.2,1.6,19.2,17.7,3.2,2.3,10.3,12.2,0,1,2.3,3.2,531.4,576.9,,,17.5,19.6,119.9,105.8,71.1,52.6,11.8,28.7,,,,,
15.01.2024 14:45,Burnley,Luton,1,1.1,0.9,0.7,51.2,34.5,12.3,8.8,3.3,2.3,9,6.5,,,11.3,10.4,6.7,3.8,2,1.8,15.9,14.8,3.5,4,10.1,10.4,0.5,,1.6,1.5,495.4,281.2,,,17.1,16.1,101.2,74.7,45.1,33.6,17.7,30.3,,,,,
20.01.2024 07:30,Arsenal,Crystal Palace,2.4,1.1,2,1.1,59.6,40.9,16.7,11.6,6.7,4,10,7.6,,,10.7,13.7,8.6,3.9,2.2,0.8,15.3,19.1,1.6,2.8,9.3,10.6,0.5,,1.2,1.9,579,378.7,,,15.9,19.8,122.1,91.2,81.1,34.6,8.7,22.7,,,,,
20.01.2024 12:30,Brentford,Nottingham Forest,1.8,1,1.6,1.2,50.7,34.8,15,9.4,4.7,3.2,10.3,6.2,,,11.6,10.8,4.6,3.2,2.2,1.9,17,14.6,2.3,3.5,11.1,11.8,0.5,0.5,2.2,2.8,452.6,338,,,17.7,18.8,100.2,78.8,49.6,34.5,24,22.7,,,,,
21.01.2024 09:00,Sheffield Utd,West Ham,1,1.6,1,1.5,37.6,38.9,10.5,11.7,3.3,4,7.2,7.7,,,11.2,10.7,3.9,4.8,1.7,2.3,19.3,16.9,5,3.8,12.2,11.9,,,3.3,2.4,321.4,372.7,,,18.6,18.4,93.2,83.9,38.4,39.6,29.3,15,,,,,
21.01.2024 11:30,Bournemouth,Liverpool,1.2,1.7,1,1.8,44.9,56.5,12.9,14.4,4.8,4.8,8.1,9.1,,5,11.7,11.9,6.1,5.7,1.5,2.6,19.2,20.7,3.2,3,12,12.3,1,1,1.4,2.7,370.5,538.3,,,18.6,15.7,101.5,113,49.2,51.1,13,18.7,,,,,
22.01.2024 14:45,Brighton,Wolves,2,1.1,1.9,1.1,64.2,52.3,19,12.2,7.3,4.1,11.7,8.1,,,13.6,13.3,7.7,3.7,1.8,1.6,14.4,17,2.1,3.4,11,12.3,1,0.5,1.9,2.9,632.3,482.1,,,15.1,19.2,116.9,92.9,67.6,40.6,10.3,20.3,,,,,
30.01.2024 14:30,Nottingham Forest,Arsenal,1.3,1.6,1.1,1.6,43.7,60.4,13,14.7,3.7,4.3,9.3,10.3,,,10.9,13.1,4.2,7.4,2.7,2.2,17.3,15.4,2.8,1.8,10.9,10.2,0.4,1,2,2,393.4,526.4,,,19.9,17,89.4,110,50,65.3,24.2,16.2,,,,,
30.01.2024 14:45,Fulham,Everton,1.9,1.4,1.6,1.2,60.8,38.4,14.4,11.8,4.6,4.4,9.9,7.3,,,13.4,10.3,6.7,4.7,1.2,1.9,20.4,19.4,2.7,2.9,9,12.8,1,1,2.1,2.3,614.1,352.6,,,16.8,18.4,121.8,100.7,59.1,48.3,13.5,28,,,,,
30.01.2024 14:45,Luton,Brighton,1.2,1.8,1.1,1.2,38.2,59.7,12,11.3,3.2,5,8.8,6.3,,,12.6,14.1,5.8,2.9,1.3,2.7,19.1,12.6,3.4,3.4,12.6,10.7,0,0.2,2.2,3.4,320,623.1,,,18.3,16.6,96.1,100,54.1,47,27.5,18.2,,,,,
30.01.2024 15:00,Crystal Palace,Sheffield Utd,0.9,0.6,1.1,0.5,44.4,35.6,11.8,7,3.9,2.1,7.9,4.9,,,15.4,11.1,4.8,3.1,1.1,1.9,15.8,14.4,2.4,4.1,12.2,12.6,0.5,0.7,2.4,3.4,423.8,328.9,,,20.7,21.6,93.8,78.7,49.4,31.3,21,29.2,,,,,
30.01.2024 15:15,Aston Villa,Newcastle,2.9,1.6,2,1.6,56.4,54,15,11.8,6,4.3,9,7.4,,,17.9,13.4,5.1,4.1,0.9,1.8,15.9,16.6,2.3,3.9,11.4,10.9,,,2.9,2.4,498.8,510.6,,,16.8,17.8,97.4,93.3,50.1,45.6,12,21.2,,,,,
31.01.2024 14:30,Manchester City,Burnley,2.8,0.9,1.6,0.7,61.8,45,14,8.6,5.6,2.9,8.4,5.7,,,13.8,12,6.5,4.6,1.4,1.9,14.2,17.7,1.5,4.8,10.1,11.6,1,0.7,2,2.8,665.8,412,,,12.1,15.3,128.2,86.9,66.9,40.4,13,27.8,,,,,
31.01.2024 14:30,Tottenham,Brentford,1.9,1,1.9,1.5,60,44.4,18.8,12.2,7.4,4,11.3,8.2,,,18,11.9,6.4,4.9,2.6,1.5,19,20,3.9,3.2,10.3,11.4,0.7,0,2.4,2.6,581.1,401.9,,,21.2,19.5,116.2,86.1,72.6,47,13.8,21.7,,,,,
