Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
29.12.2023 12:30,Fiorentina,Torino,1.8,0.8,1.2,0.8,59.8,48.9,15.1,10.4,5.1,2.5,4.8,5.1,5.2,2.8,16.9,14.2,4.5,2.4,1.4,1.4,21.8,15.2,2.5,3.4,12.5,14.4,0,0,1.4,3,486.2,434.8,408.4,354.8,,,129.5,107.5,68.8,42,,,3.5,3,106.5,108.5,
29.12.2023 12:30,Nápoles,Monza,1.5,0.8,1.9,0.9,60.6,54.8,19.6,13.1,5.4,3.8,8.5,5.9,5.8,3.5,12.5,11.4,7.2,5,2.4,1.5,20,13.9,1.5,3.9,8.5,10.6,0.1,0.1,1.9,2,559.6,520.8,489.6,454.8,,,112.4,97.9,66.1,43.4,,,8,4,108.5,109,
29.12.2023 14:45,Genoa,Inter,1.4,2.2,0.9,1.8,41.9,56.5,10.4,13.9,3,4.4,4.9,6,2.5,3.5,16,11.6,4.2,4,1.2,1.2,17.8,17,1.6,2.5,11.8,11.1,0.1,0,2.6,1.5,340,549.5,259.2,475.5,,,85.5,101.6,39.1,40.8,,,8.5,4.3,106.5,112.7,
29.12.2023 14:45,Lazio,Frosinone,1,0.9,1.3,1.1,52.5,52.1,10.4,11.1,3.1,3.4,4.6,5.1,2.6,2.6,13.4,11.2,5,5.1,2.1,1.4,18.5,19.1,2.4,3.5,11.1,11.1,0.1,0.1,1.9,2.2,532.5,448.5,457.1,368,,,114.2,96.5,48.5,43.9,,,3,2,119.5,111.5,
30.12.2023 06:30,Atalanta,Lecce,2,1,1.4,0.8,49.8,44.1,15.6,9.8,6.4,3.1,4.6,3.9,4.6,2.8,11.5,15.1,6.8,2.6,2.2,1.1,18.8,17.4,2.2,4.9,11.9,14.1,0.1,0.4,1.8,3.2,481.2,346.1,400.9,273.6,,,109.6,95.9,57,32.4,,,7,3.3,116.7,104,
30.12.2023 09:00,Cagliari,Empoli,1.4,0.6,1.5,0.8,44.2,41.2,15.6,9.9,4.1,2.9,7.1,4.1,4.4,2.9,12.2,14.6,5.1,4,1.8,2.1,21.6,18.5,2,3.8,12,12,0.1,0,1.9,2.1,362.1,363.4,285.9,284,,,96,87.5,47.5,40.1,,,10,3,107.5,108.5,
30.12.2023 09:00,Udinese,Bolonia,1.1,1,1.5,1.3,44.1,54.2,13.4,9.5,5.5,4.2,4.1,3.1,3.8,2.1,12.9,15.2,5,3.4,1.6,1.4,21.4,15.6,1.5,2.5,13,12.9,0.2,0.1,1.9,2.4,335.2,512.2,257.1,438.1,,,98.5,96.5,40.8,34.6,,,2.5,1.5,107,113,
30.12.2023 12:00,AC Milan,Sassuolo,1.8,1.6,1.5,1.3,52.8,47.2,12.1,12.8,5.2,4.6,3.9,4.4,3,3.8,12.2,13.6,5.1,5.4,1.2,1,18.1,19.4,2.5,4,11.6,10.5,0.1,0.2,1.8,2.2,450.6,378.6,382.9,300,,,99.2,90.8,40.1,44.8,,,2.3,6,110.3,104,
30.12.2023 12:00,Verona,Salernitana,1.1,0.6,0.8,0.7,42.6,46.4,11.6,9.1,4.6,2.6,5.1,3.6,1.9,2.9,15,14.1,3.9,3,1.1,2.2,17.8,21.6,3.9,4.6,12.9,13.6,0.2,0,2.1,2.1,358.8,389.9,263.4,301.1,,,102,96.6,33,31.4,,,6,3,110,113.5,
30.12.2023 14:45,Juventus,Roma,1.5,1.1,1.6,1.1,46.1,55.1,15.6,11.5,4.2,3.8,7.8,4.8,3.6,3,11.6,12.2,5.8,4.9,1.5,1.8,17.9,19.6,1.8,1.2,12.6,11.4,0,0,2.5,3,411.6,497.8,339.6,421.4,,,97.8,95,46,42.4,,,2.5,3,112.5,111.5,
05.01.2024 14:45,Bolonia,Genoa,1.4,0.8,1.3,0.8,55.8,44.8,11.8,10.4,4,2.8,5.1,5.9,2.7,1.8,13.9,13.3,2.9,2.2,1.4,0.9,21.6,20.7,2.8,2.3,12.2,11.2,0,0.1,2.4,2.4,534,388.6,457.1,302.8,,,101.1,92.3,38.4,34.2,,,0,4.7,114,110,
06.01.2024 06:30,Inter,Verona,2.6,0.7,2.4,0.8,56.1,48.3,17.9,10.9,6,3.1,7.3,5.4,4.6,2.3,11.9,12.9,7.6,3.3,1.1,2,18.3,20.4,2.2,3.1,10.7,12.7,0,0,1.1,2.7,553,371.2,464.7,278,,,108.7,99.6,57.7,35.8,,,6.5,3,109.5,108.5,
06.01.2024 09:00,Frosinone,Monza,1.7,0.8,1,0.9,52.9,54.8,11.3,13.1,3.9,3.8,4.4,5.9,3,3.5,14.6,11.4,5.1,5,1.7,1.5,20.4,13.9,3.3,3.9,8.9,10.6,0,0.1,2.2,2,462.9,520.8,377,454.8,,,97.1,97.9,44.8,43.4,,,2.3,4,112,109,
06.01.2024 12:00,Lecce,Cagliari,1.2,0.6,1.1,0.8,45.8,41.2,15.6,9.6,5,2.7,6.4,5.2,4.1,1.7,13.7,12.8,4.4,4,1.6,1.4,20.6,20,2.4,2.6,12.2,11.9,0,0.2,2.6,2.2,379.7,348.4,303.9,265.9,,,100.2,81.4,52.3,38.2,,,5.5,3.7,112.5,108.7,
06.01.2024 14:45,Sassuolo,Fiorentina,1.3,1.3,1.3,1.1,46.1,55.2,15.4,12.1,5.1,4.4,6.2,4.2,4.1,3.4,14.1,11.8,6.2,5.2,0.7,1.3,19.1,20.2,2.9,3.4,9.8,13.1,0.1,0.1,1.7,2.7,419.6,502.4,343.8,421.1,,,98.7,120.9,42.1,52.6,,,2.5,6.7,107.5,109.7,
07.01.2024 06:30,Empoli,AC Milan,0.6,1.9,0.9,1.5,48.6,57.9,12.7,13.6,4.2,5.1,5.1,4.4,3.3,4,15.9,13.4,5.3,3.7,2.4,1.3,26.4,14.6,3.4,3.2,13.9,11,0,0.4,2.6,3.2,384.7,524.1,298.4,459.7,,,93.7,101.9,43.6,42.9,,,5.3,5,107.3,110,
07.01.2024 09:00,Torino,Nápoles,1,1.8,1.2,1.4,53.9,58.3,11.4,14.7,3.9,5.2,5.2,4.9,2.3,4.6,10,14.8,6.4,5.1,2.1,2.4,21.6,20,2.1,2.8,10,11.1,0,0.2,1.6,2.8,441.8,522.6,358.9,450.1,,,111,110.7,50.9,51.6,,,5.7,4,108.7,108.3,
07.01.2024 09:00,Udinese,Lazio,1.1,1.1,1.5,1.3,44.1,53.7,13.4,12.8,5.5,4,4.1,4.7,3.8,4.1,12.9,12.7,5,5.8,1.6,1.7,21.4,17.8,1.5,3.4,13,11.2,0.2,0,1.9,2.9,335.2,502.8,257.1,430,,,98.5,99,40.8,40.9,,,2.5,3,107,110.7,
07.01.2024 12:00,Salernitana,Juventus,1,1.6,0.9,1.5,43.7,46.3,13.1,11.9,4.1,3.9,5.4,4.7,3.6,3.3,15.1,13.1,5.6,4.3,1.9,2.7,16.7,17.3,3.3,2.1,13.4,11.9,0.1,0,3.2,2.7,361.2,413.6,281.9,342.3,,,92.7,88.2,38.9,41.9,,,5.7,4.3,111.3,111.7,
07.01.2024 14:45,Roma,Atalanta,2.3,1.3,1.3,1.1,50.8,52,13.3,12.6,4.2,4,5.4,5.9,3.7,2.7,11.2,11,5.1,4.9,1.8,1.7,17.2,21.6,2.3,2.3,13.7,14,0.2,0,2.6,1.9,449.9,477.7,374.4,387.7,,,92.4,98.6,45.8,46.4,,,2.7,3,105.7,114,
13.01.2024 09:00,Genoa,Torino,1.4,0.8,0.9,0.8,41.9,48.9,10.4,10.4,3,2.5,4.9,5.1,2.5,2.8,16,14.2,4.2,2.4,1.2,1.4,17.8,15.2,1.6,3.4,11.8,14.4,0.1,0,2.6,3,340,434.8,259.2,354.8,,,85.5,107.5,39.1,42,,,8.5,3,106.5,108.5,
13.01.2024 12:00,Verona,Empoli,1.1,0.6,0.8,0.8,42.6,41.2,11.6,9.9,4.6,2.9,5.1,4.1,1.9,2.9,15,14.6,3.9,4,1.1,2.1,17.8,18.5,3.9,3.8,12.9,12,0.2,0,2.1,2.1,358.8,363.4,263.4,284,,,102,87.5,33,40.1,,,6,3,110,108.5,
13.01.2024 14:45,Monza,Inter,1.1,2.2,1.3,1.8,55,56.5,13.8,13.9,4,4.4,5.2,6,4.6,3.5,12.1,11.6,5.9,4,1,1.2,19,17,3.8,2.5,12.1,11.1,0.1,0,2.4,1.5,502,549.5,430.9,475.5,,,102.8,101.6,49.4,40.8,,,2.7,4.3,113.3,112.7,
14.01.2024 06:30,Lazio,Lecce,1,1,1.3,0.8,52.5,44.1,10.4,9.8,3.1,3.1,4.6,3.9,2.6,2.8,13.4,15.1,5,2.6,2.1,1.1,18.5,17.4,2.4,4.9,11.1,14.1,0.1,0.4,1.9,3.2,532.5,346.1,457.1,273.6,,,114.2,95.9,48.5,32.4,,,3,3.3,119.5,104,
14.01.2024 09:00,Cagliari,Bolonia,1.4,1,1.5,1.3,44.2,54.2,15.6,9.5,4.1,4.2,7.1,3.1,4.4,2.1,12.2,15.2,5.1,3.4,1.8,1.4,21.6,15.6,2,2.5,12,12.9,0.1,0.1,1.9,2.4,362.1,512.2,285.9,438.1,,,96,96.5,47.5,34.6,,,10,1.5,107.5,113,
14.01.2024 09:00,Nápoles,Salernitana,1.5,0.6,1.9,0.7,60.6,46.4,19.6,9.1,5.4,2.6,8.5,3.6,5.8,2.9,12.5,14.1,7.2,3,2.4,2.2,20,21.6,1.5,4.6,8.5,13.6,0.1,0,1.9,2.1,559.6,389.9,489.6,301.1,,,112.4,96.6,66.1,31.4,,,8,3,108.5,113.5,
14.01.2024 12:00,Fiorentina,Udinese,1.8,0.7,1.2,0.9,59.8,38.1,15.1,10.9,5.1,2.6,4.8,5.4,5.2,2.9,16.9,13.6,4.5,3.8,1.4,1,21.8,12.8,2.5,3.3,12.5,12.4,0,0,1.4,1.9,486.2,316.6,408.4,251.6,,,129.5,76.4,68.8,35.4,,,3.5,2.3,106.5,106,
14.01.2024 14:45,AC Milan,Roma,1.8,1.1,1.5,1.1,52.8,55.1,12.1,11.5,5.2,3.8,3.9,4.8,3,3,12.2,12.2,5.1,4.9,1.2,1.8,18.1,19.6,2.5,1.2,11.6,11.4,0.1,0,1.8,3,450.6,497.8,382.9,421.4,,,99.2,95,40.1,42.4,,,2.3,3,110.3,111.5,
15.01.2024 14:45,Atalanta,Frosinone,2,0.9,1.4,1.1,49.8,52.1,15.6,11.1,6.4,3.4,4.6,5.1,4.6,2.6,11.5,11.2,6.8,5.1,2.2,1.4,18.8,19.1,2.2,3.5,11.9,11.1,0.1,0.1,1.8,2.2,481.2,448.5,400.9,368,,,109.6,96.5,57,43.9,,,7,2,116.7,111.5,
16.01.2024 14:45,Juventus,Sassuolo,1.5,1.6,1.6,1.3,46.1,47.2,15.6,12.8,4.2,4.6,7.8,4.4,3.6,3.8,11.6,13.6,5.8,5.4,1.5,1,17.9,19.4,1.8,4,12.6,10.5,0,0.2,2.5,2.2,411.6,378.6,339.6,300,,,97.8,90.8,46,44.8,,,2.5,6,112.5,104,
