Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
12.01.2024 14:00,Waalwijk,Heracles,1.1,1.2,1,1.4,44.8,47.6,10.9,11,3.9,4,4,4.2,3,2.8,8.2,11.2,3.5,4.5,0.9,1.5,17.8,22,4,5.1,7.2,11,0.1,0,1.1,2.6,398.3,406.6,309.6,318.3,20.3,17.1,88.5,87.5,39.1,36.9,14,22.5,,,,,
13.01.2024 10:30,Sittard,Sparta Rotterdam,1.6,1.5,1.4,1,45.6,46.6,14.4,11.9,6.2,4.8,6,3.6,2.1,3.5,11,7,6.8,5,1.2,0.9,23.4,20.8,2.8,4.2,11.5,9.2,0.1,0,1.6,1.2,367.6,423.3,281,331,18.3,14.8,90.8,104.8,47.2,41.1,23,22.5,,,,,
13.01.2024 12:45,Twente,AZ Alkmaar,2.1,1.7,1.9,1.1,58.4,51,20.1,13.7,5.2,5.3,7.1,5.1,7.8,3.3,13.4,11.6,6.8,5.9,0.9,1.7,19.6,19.7,3,2.9,9.1,11,0.1,0,2,1.3,510.7,468.5,416.3,390,15.4,15.3,123,102,65,48.4,9.5,12,,,,,
13.01.2024 14:00,Zwolle,Heerenveen,0.9,1.1,1.2,0.8,51.4,44,14.4,11.1,4.9,3.1,5.6,4.6,3.9,3.4,10.5,8.4,4.1,4.2,0.9,1.2,18.4,15.1,2.5,3.6,10.2,8.9,0,0.1,1.8,0.9,455.8,401.9,369.8,325.1,19.5,16.6,105.8,88,47.6,39.1,29,19,,,,,
13.01.2024 15:00,PSV,Excelsior,3.2,1.9,3.1,0.9,65.1,43.5,25.9,9.1,9.5,4.5,9.9,2.4,6.5,2.2,8.6,7,8.2,3.4,1.6,0.9,21.4,17.5,1.4,4.8,9,8.6,0,0.2,0.9,1.9,580.4,362.6,494.6,273.3,15.6,19,147.9,93.1,81.1,38.8,15,29.5,,,,,
14.01.2024 06:15,FC Volendam,Almere City,1.1,1,1.6,1.2,47.3,44.8,12.6,12.1,4.7,3.5,5.9,5.2,2.3,3.4,11,9,4.6,5,2,1.1,22,24,3.4,4.6,11,14.6,0.1,0,1.7,2.4,366.4,355.2,290.6,237.2,14.3,19.3,99.1,110.4,54.3,54.2,18,17,,,,,
14.01.2024 08:30,G.A. Eagles,Ajax,2.5,1.9,1.5,1.7,47.6,59.5,18.2,15.5,8.9,7,5.4,4.8,4,3.8,11.8,12.1,5.8,7.2,0.8,1.1,18.4,20.1,3.2,2.8,7.6,8.5,0.1,0,0.6,1.2,425.6,518,338.9,431,14,15.7,105.8,114.6,63.9,52,13.5,26,,,,,
14.01.2024 08:30,Vitesse,Utrecht,0.7,0.9,1.2,0.8,47.7,43.6,14.9,10.4,4.6,2.9,6.9,5,3.4,2.5,7.7,12.4,6.9,3.5,0.6,1,18.4,19.6,4.1,3.9,10.1,9.8,0.3,0.1,1.4,1.9,415.8,374.7,330.8,286,16.8,19.2,97.3,85.2,41.3,36.8,24,44.5,,,,,
14.01.2024 10:45,Feyenoord,Nijmegen,3,1.6,2,0.8,62.4,41.7,22.5,11,8.5,4.6,8.6,3.9,5.4,2.6,11.1,8.9,8.2,3.4,2.1,1.3,23,18.1,1.9,4.6,7.6,9.3,0.1,0,0.8,1.9,590.3,355.7,513.8,270.2,17.2,22.5,142.1,88.4,69.5,34.6,8,22,,,,,
19.01.2024 14:00,Excelsior,Heerenveen,1.5,1.1,1.4,0.8,45.9,44,13.4,11.1,4.2,3.1,5.5,4.6,3.6,3.4,12.4,8.4,2.2,4.2,0.4,1.2,22.3,15.1,3.8,3.6,7.8,8.9,0,0.1,1.2,0.9,437.3,401.9,334.3,325.1,15.7,16.6,98.9,88,44.9,39.1,15,19,,,,,
20.01.2024 10:30,Nijmegen,Twente,2.2,2.1,1.4,1.7,49.6,57,11.3,16.6,5.8,5,2.7,6.2,2.9,5.4,11.3,12,4.3,6.9,1.7,1.2,19.1,23.8,3,3.5,8,12.4,0.3,0.1,1.6,1.9,440.9,473.1,351.3,381.6,19.9,13.4,105.8,109.2,49.7,60.1,21.7,21,,,,,
20.01.2024 12:45,Heracles,FC Volendam,1.2,1.1,1,0.8,46.9,39,11.6,8.1,3.2,2.9,4.8,3.3,3.6,1.9,10.4,8.9,4.4,4,1.9,1.1,20.1,16.1,4,6.2,10.4,7.8,0.1,0.1,1.8,1.4,399.3,306.2,316,220.5,16.3,18.6,91.6,83.2,46.1,37.6,20.5,47.7,,,,,
20.01.2024 14:00,AZ Alkmaar,Zwolle,2.6,2,2,1.2,56.8,44.8,14.9,10.6,5.7,4.9,5.4,4,3.8,1.8,9.6,8.8,6.9,2.5,1.1,2.5,21.2,17.1,2.3,3.8,8.4,9.5,0,0.1,1,2.5,539.9,406.3,460.2,319.7,15.9,16.3,110.7,94.1,63.4,35.5,16.3,17.5,,,,,
20.01.2024 15:00,Almere City,Sittard,1.2,0.5,1.1,0.7,44.1,43.5,12.8,10.9,3.9,3,5.2,5.6,3.6,2.2,12.6,8.1,5,4.2,1.6,1.2,23,16.1,4.5,3.9,12.6,10,0.1,0.1,1.9,2.6,351.6,371,232.4,279.3,15.7,19.5,113.9,98.5,58.4,45,20.5,15,,,,,
21.01.2024 06:15,Utrecht,PSV,1.2,3.8,1.2,2.6,50.1,61.4,12.8,22.4,4.9,8.6,4.8,9.2,3.1,4.5,13.4,8.6,7.4,6.5,1.1,1.5,17.4,20.5,3.9,1.6,11.2,9.5,0.1,0,1.2,1,415.3,531.1,327.3,449,17.4,17,107.8,123.6,50.6,62.4,18.5,16.3,,,,,
21.01.2024 08:30,Sparta Rotterdam,G.A. Eagles,1.2,0.8,1.6,0.7,47.2,42.4,15,9.5,5.4,3.1,5.6,3.6,4,2.8,10.9,11.6,5.6,3.6,1.4,1.8,18.1,19.5,3.8,4.9,8.5,8.4,0.2,0.1,1.4,2,418.9,371.9,331.1,276.3,13.4,13,104.4,94,49.9,42.2,24.5,19,,,,,
21.01.2024 08:30,Vitesse,Feyenoord,0.7,3,1.2,3,47.7,61.1,14.9,19.5,4.6,8.8,6.9,7,3.4,3.8,7.7,11.9,6.9,6.8,0.6,2.2,18.4,17.1,4.1,1.2,10.1,9.2,0.3,0,1.4,0.8,415.8,549.7,330.8,468.7,16.8,16.9,97.3,137.1,41.3,72.4,24,12,,,,,
21.01.2024 10:45,Ajax,Waalwijk,2.5,0.8,2,1.1,61.8,50.9,18.5,12.9,7.1,4,6.1,5.6,5.2,3.2,9,10.9,7,4.6,1.4,0.8,18.1,19.6,2.2,4.2,8.1,9.2,0,0,1.2,2.2,598.3,388.3,519.9,296.8,16,15.7,114.9,107.9,68,50.6,13.3,28.3,,,,,
26.01.2024 14:00,Zwolle,Vitesse,0.9,0.8,1.2,0.6,51.4,49.2,14.4,8.9,4.9,3.7,5.6,3.9,3.9,1.5,10.5,11.4,4.1,3.8,0.9,1.6,18.4,27.4,2.5,5,10.2,13.1,0,0.1,1.8,2.4,455.8,366.8,369.8,279.2,19.5,15.6,105.8,91.2,47.6,36.1,29,20.7,,,,,
27.01.2024 12:45,PSV,Almere City,3.2,1,3.1,1.2,65.1,44.8,25.9,12.1,9.5,3.5,9.9,5.2,6.5,3.4,8.6,9,8.2,5,1.6,1.1,21.4,24,1.4,4.6,9,14.6,0,0,0.9,2.4,580.4,355.2,494.6,237.2,15.6,19.3,147.9,110.4,81.1,54.2,15,17,,,,,
27.01.2024 12:45,Waalwijk,Sparta Rotterdam,1.1,1.5,1,1,44.8,46.6,10.9,11.9,3.9,4.8,4,3.6,3,3.5,8.2,7,3.5,5,0.9,0.9,17.8,20.8,4,4.2,7.2,9.2,0.1,0,1.1,1.2,398.3,423.3,309.6,331,20.3,14.8,88.5,104.8,39.1,41.1,14,22.5,,,,,
27.01.2024 15:00,Excelsior,Utrecht,1.5,0.9,1.4,0.8,45.9,43.6,13.4,10.4,4.2,2.9,5.5,5,3.6,2.5,12.4,12.4,2.2,3.5,0.4,1,22.3,19.6,3.8,3.9,7.8,9.8,0,0.1,1.2,1.9,437.3,374.7,334.3,286,15.7,19.2,98.9,85.2,44.9,36.8,15,44.5,,,,,
27.01.2024 15:00,Heracles,Ajax,1.2,1.9,1,1.7,46.9,59.5,11.6,15.5,3.2,7,4.8,4.8,3.6,3.8,10.4,12.1,4.4,7.2,1.9,1.1,20.1,20.1,4,2.8,10.4,8.5,0.1,0,1.8,1.2,399.3,518,316,431,16.3,15.7,91.6,114.6,46.1,52,20.5,26,,,,,
28.01.2024 06:15,Heerenveen,AZ Alkmaar,1.9,1.7,1.9,1.1,55,51,16.8,13.7,6.6,5.3,6.4,5.1,3.8,3.3,8.8,11.6,7.8,5.9,1.5,1.7,22.9,19.7,2.5,2.9,7.1,11,0.1,0,1.2,1.3,504.5,468.5,414.8,390,15.3,15.3,121.6,102,57.2,48.4,19.7,12,,,,,
28.01.2024 08:30,Feyenoord,Twente,3,2.1,2,1.7,62.4,57,22.5,16.6,8.5,5,8.6,6.2,5.4,5.4,11.1,12,8.2,6.9,2.1,1.2,23,23.8,1.9,3.5,7.6,12.4,0.1,0.1,0.8,1.9,590.3,473.1,513.8,381.6,17.2,13.4,142.1,109.2,69.5,60.1,8,21,,,,,
