Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HClC,AClC,HCrC,ACrC,HDC,ADC,Resultado
28.12.2023 15:15,Estrela,Arouca,1.1,1.3,1,1.3,53.3,45.8,9.9,11.8,3.1,4.3,4.1,4,2.6,3.5,15.3,16.2,5.1,3.7,2.7,1.5,26.4,22.7,2.9,2.8,14.3,14.8,0.1,0.7,2.6,3.7,,,,,,,106,87.5,48.4,38.7,,,,,,,
29.12.2023 13:45,Benfica,Famalicao,1.8,0.9,2.2,0.7,65.7,44.9,20.3,10.9,7.5,3.3,8.2,5,4.7,2.6,13.5,17.4,10,3.7,2.3,1.9,21.2,19,2,2.9,11.2,16.6,0,0.4,2.3,2.9,,,,,,,138,87.4,96.3,40.7,,,,,,,
29.12.2023 15:45,Oporto,Chaves,1.5,0.6,2.1,0.9,65,47.1,17.8,12.1,5.8,5.1,8.5,4.6,3.5,2.4,14.2,16.7,8.5,5.6,2.8,1.6,26.2,23,1.7,4,12.5,13,0.2,0.3,3,3,,,,,,,143.7,93.3,80.3,37.1,,,,,,,
30.12.2023 10:30,Estoril,Farense,2.2,1.5,1.4,0.8,48.5,43,14.2,9.8,5.7,3.8,5.7,4.7,2.8,1.3,14.2,12.5,5,3.5,1.3,0.7,18.2,17.7,3.8,4.2,16.2,12.3,0,0.2,3,2.5,,,,,,,91.7,85.7,41.3,31.5,,,,,,,
30.12.2023 10:30,Gil Vicente,Boavista,2.7,1.5,1.2,1,51.7,47.7,10.9,9.7,5.4,4.2,3.4,3.7,2,1.8,17.9,17.2,3.7,2.8,1.4,2.2,18.9,24.3,3.1,3,12.9,12.5,0,0.2,2.6,2.2,,,,,,,100.4,87.7,41.3,31,,,,,,,
30.12.2023 13:00,Casa Pia,SC Braga,0.5,2.7,0.6,1.5,53,54.4,10.5,15.3,3,6.1,4.7,5.7,2.8,3.4,13.7,15.7,6.3,6.1,1.7,0.7,24.5,23,3.2,3.6,16.3,12.9,0,0.1,2.5,2.7,,,,,,,86.7,117.4,36.8,61.4,,,,,,,
30.12.2023 15:30,Portimonense,Sporting CP,1.2,1.8,1.2,1.5,45.3,51.5,11.3,13,5,5,5.3,5.7,1,2.3,13.8,15.3,4.7,5.5,2.5,1.5,19.8,26.2,4,1.8,14.3,10.7,0.2,0.2,3.5,3.5,,,,,,,92.7,108,36.8,57.2,,,,,,,
05.01.2024 13:45,Sporting CP,Estoril,2.4,1.5,1.7,1,59.1,46.1,15,11.4,6.8,4.4,6.2,4.5,2,2.5,13,14.5,6.2,5.4,2.8,1.9,24,20.4,1.9,2.9,13.5,13.5,0.1,0.1,3,2.5,,,,,,,126.6,88.4,64.2,41.1,,,,,,,
05.01.2024 15:45,Boavista,Oporto,1.5,1.5,1.2,0.7,52.4,56.1,10,9.1,3.6,4.1,3.6,3,2.8,2,14.4,20.8,5.9,5.2,1.6,1.6,21,22.9,4.4,1.8,17,17,0.4,0.4,3.9,4.5,,,,,,,97.5,96.6,39.5,44.1,,,,,,,
06.01.2024 10:30,Estrela,Vizela,1.1,1,1,0.6,53.3,48.1,9.9,11,3.1,4.4,4.1,4,2.6,2.6,15.3,15.3,5.1,3.6,2.7,2.4,26.4,21.3,2.9,3.4,14.3,14,0.1,0.1,2.6,2.1,,,,,,,106,98.4,48.4,43.4,,,,,,,
