HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Zulte Waregem,Club Brujas,1,2,54%,46%,11,12,3,6,4,8,3,2,450,384,5,11,351 (78%),274 (71%),3 (12%),4 (30%),44 (54%),38 (46%),13,16,18,17,10,17,0,3,-1
Cercle Brugge (Brujas),Gent,3,2,39%,61%,10,1,2,4,2,0,4,1,333,540,8,7,195 (58%),384 (71%),3 (15%),3 (37%),27 (39%),50 (41%),19,13,13,20,14,16,3,2,1
Anderlecht (Bryuscel),Royal Antwerp,0,0,54%,46%,12,4,4,6,2,0,2,2,518,444,6,7,432 (83%),366 (82%),2 (12%),2 (16%),34 (45%),34 (46%),17,18,6,11,20,24,4,1,0
FC Charleroi,St. Gilloise,0,1,56%,44%,0,3,2,8,3,1,3,3,514,418,5,7,413 (80%),330 (78%),3 (17%),3 (30%),41 (56%),34 (50%),27,27,12,11,17,14,2,1,-1
Oud-Heverlee Leuven,Sint-Truidense,1,1,67%,33%,14,2,2,1,0,6,3,2,598,296,8,7,499 (83%),206 (69%),4 (16%),5 (33%),35 (50%),22 (26%),13,16,2,16,10,22,3,3,0
FC Kortrijk,KV Oostende,2,2,58%,42%,15,22,11,1,8,2,5,5,423,318,13,16,259 (61%),164 (51%),2 (11%),8 (44%),46 (29%),26 (30%),19,21,7,12,24,30,4,1,0
FC Westerlo,FC Malinas,2,0,54%,46%,26,10,2,11,5,2,0,1,519,429,20,6,456 (87%),374 (87%),8 (47%),2 (16%),41 (66%),32 (57%),20,17,6,16,13,20,2,5,2
Estándar (Lieja),FC Eypen,3,1,55%,45%,14,5,3,8,2,2,2,1,483,394,11,5,394 (81%),309 (78%),4 (18%),1 (11%),29 (46%),30 (40%),16,23,7,11,14,30,2,4,2
Sint-Truidense,Gent,0,3,26%,74%,13,1,3,1,5,1,3,2,294,867,2,9,190 (64%),756 (87%),1 (12%),6 (40%),21 (28%),91 (70%),8,16,16,17,10,4,1,1,-3
Club Brujas,FC Charleroi,2,2,55%,45%,12,1,1,1,0,2,3,1,489,422,8,7,401 (82%),335 (79%),3 (18%),3 (18%),48 (60%),41 (56%),15,29,18,10,12,14,2,4,0
RFC Seraing,Anderlecht (Bryuscel),0,1,36%,64%,10,14,4,6,4,6,6,2,337,473,8,11,225 (66%),360 (76%),1 (10%),6 (31%),37 (35%),54 (52%),20,9,17,11,27,10,3,4,-1
Royal Antwerp,Estándar (Lieja),4,1,62%,38%,10,0,3,2,2,4,2,3,505,303,5,8,431 (85%),234 (77%),0 (0%),2 (14%),41 (57%),15 (34%),27,10,6,13,15,7,2,3,3
St. Gilloise,Oud-Heverlee Leuven,1,0,48%,52%,19,12,5,3,12,5,7,2,391,433,12,9,317 (81%),349 (80%),4 (19%),5 (33%),32 (61%),32 (39%),17,23,9,11,13,27,5,6,1
KV Oostende,Cercle Brugge (Brujas),1,2,53%,47%,11,3,3,1,0,4,6,8,332,300,5,6,166 (50%),135 (45%),2 (11%),2 (22%),42 (31%),19 (21%),12,20,15,20,22,30,4,3,-1
FC Malinas,FC Kortrijk,3,2,49%,51%,14,2,2,9,0,3,1,2,397,418,11,5,289 (72%),319 (76%),3 (15%),2 (15%),29 (37%),54 (44%),26,21,8,9,18,23,1,4,1
FC Zulte Waregem,FC Westerlo,1,1,60%,40%,12,13,2,1,5,5,0,1,593,403,7,10,509 (85%),320 (79%),8 (25%),3 (14%),30 (56%),37 (46%),15,19,8,13,14,29,3,2,0
Gent,FC Charleroi,0,0,50%,50%,11,4,2,9,5,1,2,2,482,490,5,7,378 (78%),380 (77%),3 (13%),2 (13%),25 (43%),35 (50%),18,14,16,9,12,30,3,6,0
FC Kortrijk,RFC Seraing,3,2,61%,39%,21,12,13,1,2,0,1,6,479,294,16,6,372 (77%),186 (63%),4 (33%),5 (26%),46 (50%),41 (40%),24,18,8,19,15,17,4,4,1
Anderlecht (Bryuscel),FC Zulte Waregem,2,3,58%,42%,19,11,4,2,5,2,3,5,469,409,15,7,380 (81%),319 (78%),4 (30%),2 (22%),38 (52%),42 (44%),14,31,6,11,7,18,2,6,-1
