HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Real Madrid,Real Sociedad,0,0,61%,39%,20,5,2,10,3,4,2,1,661,426,13,4,594 (89%),360 (84%),3 (13%),0 (0%),21 (58%),20 (39%),17,24,6,13,9,33,3,7,0
Celta de Vigo,Athletic Bilbao,1,0,49%,51%,3,1,2,5,4,2,2,2,411,424,5,2,316 (76%),325 (76%),2 (20%),1 (6%),38 (52%),48 (54%),16,16,9,9,24,17,0,2,1
CA Osasuna,Atlético Madrid,0,1,52%,48%,14,13,2,2,5,4,3,3,500,479,12,9,417 (83%),381 (79%),5 (20%),4 (33%),50 (64%),26 (38%),11,15,7,3,12,18,4,4,-1
Real Valladolid,València CF,1,0,53%,47%,13,15,1,6,4,7,1,0,402,348,6,13,324 (80%),269 (77%),5 (25%),6 (27%),36 (48%),23 (35%),21,17,6,8,18,16,2,5,1
Getafe CF,Real Betis Balompié,0,1,38%,62%,13,2,2,0,1,6,1,0,347,589,3,7,252 (72%),484 (82%),6 (25%),3 (42%),24 (31%),34 (53%),15,10,10,11,12,22,1,1,-1
Sevilla FC,Elche,3,0,81%,19%,22,10,4,4,5,2,3,0,799,185,17,3,734 (91%),117 (63%),8 (32%),3 (42%),51 (67%),27 (39%),23,19,5,6,6,25,1,5,3
Girona FC,FC Barcelona,0,1,40%,60%,2,3,4,2,6,1,2,3,383,583,9,6,317 (82%),509 (87%),8 (40%),3 (16%),20 (55%),46 (58%),12,19,9,5,17,16,2,2,-1
Cádiz CF,RCD Mallorca,2,0,42%,58%,11,3,1,1,0,6,2,0,345,475,6,8,243 (70%),369 (77%),2 (9%),4 (23%),36 (34%),35 (41%),16,12,6,2,25,28,2,2,2
UD Almería,Royal Espanyol,3,1,53%,47%,19,4,2,2,2,0,6,3,421,315,12,6,320 (76%),214 (67%),4 (33%),2 (18%),39 (38%),24 (30%),13,17,5,5,9,11,2,4,2
Athletic Bilbao,Real Madrid,0,2,50%,50%,18,10,10,5,2,12,2,3,437,467,14,8,361 (82%),401 (85%),12 (30%),1 (14%),15 (38%),33 (50%),20,14,7,10,6,25,2,3,-2
