HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
S. S. C. Napoli,A. S. Roma,2,1,57%,43%,11,11,1,4,3,8,1,2,600,445,9,10,509 (84%),347 (77%),5 (45%),7 (35%),26 (45%),32 (38%),19,19,2,15,20,11,2,4,1
S.S. Lazio,ACF Fiorentina,1,1,45%,55%,13,17,10,2,5,3,4,1,475,593,7,12,381 (80%),496 (83%),4 (33%),3 (23%),27 (44%),27 (35%),20,11,13,11,16,13,5,0,0
Juventus de Turín,Monza,0,2,46%,54%,22,7,0,12,1,3,2,0,416,535,14,3,347 (83%),449 (83%),11 (29%),1 (20%),38 (64%),26 (37%),13,22,7,9,9,29,1,8,-2
AC Milan,US Sassuolo Calcio,2,5,60%,40%,0,2,0,1,2,3,5,3,415,270,8,7,320 (77%),199 (73%),7 (30%),2 (20%),31 (41%),27 (42%),21,18,6,10,7,24,2,3,-3
Atalanta B. C.,U. C. Sampdoria,2,0,62%,38%,21,15,10,6,3,7,4,1,638,382,19,9,558 (87%),284 (74%),9 (52%),5 (29%),31 (59%),25 (37%),15,23,9,4,20,14,5,3,2
Cremonese,Inter de Milán,1,2,35%,65%,12,30,12,10,2,8,2,14,327,594,10,24,251 (76%),520 (87%),7 (53%),19 (51%),21 (37%),35 (59%),8,16,12,9,36,11,8,2,-1
Empoli F. C.,Torino F. C.,2,2,47%,53%,11,16,4,4,5,5,1,1,382,447,6,13,302 (79%),349 (78%),5 (33%),4 (28%),29 (41%),30 (36%),16,17,9,9,19,17,2,2,0
U.S. Lecce,Salernitana,1,2,60%,40%,15,10,2,1,4,4,2,2,532,362,13,5,432 (81%),248 (68%),7 (23%),3 (23%),29 (43%),21 (28%),22,21,8,12,18,15,4,3,-1
Bologna FC 1909,Spezia Calcio,2,0,59%,41%,18,5,2,5,5,4,2,2,555,402,16,2,450 (81%),293 (72%),4 (30%),4 (28%),35 (50%),30 (43%),20,18,18,7,13,21,5,4,2
Inter de Milán,Empoli F. C.,0,1,49%,51%,16,13,7,2,2,3,2,3,472,517,10,9,385 (81%),439 (84%),8 (26%),4 (36%),39 (56%),25 (37%),23,11,11,4,10,36,7,1,-1
