HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Ascoli,FC Palermo,1,2,63%,37%,24,17,8,1,12,2,2,3,472,278,15,13,384 (81%),182 (65%),7 (23%),8 (80%),41 (48%),27 (29%),14,15,7,11,0,24,6,6,-1
Génova (Genova),FC Pisa,0,0,66%,34%,17,9,1,9,0,3,1,2,616,319,12,3,513 (83%),205 (64%),6 (19%),2 (16%),53 (51%),32 (32%),19,14,18,15,10,26,2,3,0
FC Cosenza,FC Parma,1,0,35%,65%,15,4,2,5,7,3,2,3,299,556,6,11,198 (66%),464 (83%),3 (23%),7 (23%),38 (35%),23 (46%),28,13,15,6,32,11,7,0,1
FC Bari,FC Perugia,0,2,55%,45%,11,17,3,5,3,7,0,2,417,334,9,14,293 (70%),221 (66%),5 (35%),5 (21%),36 (36%),18 (21%),20,17,15,15,13,14,4,2,-2
Sudtirol,Regina (Reggio Calabria),2,1,43%,57%,12,5,2,6,3,0,1,2,371,493,5,8,267 (71%),409 (82%),1 (6%),5 (23%),43 (42%),29 (41%),17,12,7,7,20,25,1,0,1
FC Brescia,FC Como.,0,1,43%,57%,10,24,4,8,7,6,1,2,334,457,7,14,220 (65%),363 (79%),1 (4%),7 (28%),24 (26%),40 (45%),8,10,10,6,15,27,6,2,-1
Unione Venezia,FC Cittadella,1,1,55%,45%,13,3,2,1,1,6,4,3,377,301,10,3,275 (72%),210 (69%),7 (31%),8 (32%),40 (35%),27 (39%),14,23,10,6,23,30,2,2,0
FC Ternana,Modena FC,2,1,46%,54%,19,1,4,0,1,5,2,1,339,401,5,16,250 (73%),286 (71%),4 (15%),6 (22%),34 (43%),27 (34%),14,12,14,13,27,20,6,3,1
FC Cagliari,SPAL (Ferrara),2,1,52%,48%,12,4,4,5,4,1,2,3,353,504,9,7,274 (77%),418 (82%),3 (11%),3 (30%),29 (42%),38 (48%),18,9,10,7,14,19,2,1,1
FC Cittadella,FC Cagliari,0,0,37%,63%,12,4,4,0,4,1,6,4,283,480,5,9,167 (59%),364 (75%),1 (12%),9 (29%),26 (23%),28 (28%),8,13,14,11,29,13,4,1,0
Unione Venezia,Sudtirol,0,1,68%,32%,3,3,2,2,1,2,636,297,636,297,5,3,545 (85%),205 (69%),0 (0%),2 (15%),43 (65%),42 (44%),15,21,7,17,20,41,1,0,-1
FC Parma,FC Perugia,2,0,46%,54%,12,1,5,6,7,0,5,3,325,361,4,7,211 (64%),240 (66%),3 (20%),8 (26%),24 (24%),28 (31%),17,24,17,8,27,19,1,2,2
Modena FC,FC Cosenza,2,0,58%,42%,17,7,1,7,5,1,1,2,470,341,12,6,392 (83%),266 (78%),12 (32%),5 (29%),40 (57%),44 (56%),26,25,7,10,18,35,2,2,2
FC Benevento,Génova (Genova),1,2,48%,52%,12,14,5,3,3,5,1,2,467,516,6,13,381 (81%),441 (85%),1 (5%),5 (29%),31 (55%),37 (56%),12,18,13,20,18,30,1,0,-1
Regina (Reggio Calabria),FC Ternana,2,1,48%,52%,17,10,3,2,8,10,2,5,335,357,11,5,234 (69%),273 (76%),6 (26%),4 (16%),30 (49%),41 (57%),10,7,8,15,22,20,3,4,1
SPAL (Ferrara),Ascoli,1,1,64%,36%,15,10,3,3,6,7,1,1,545,299,12,7,478 (87%),207 (69%),8 (21%),3 (14%),21 (36%),31 (41%),20,14,9,13,27,27,1,7,0
FC Como.,FC Pisa,2,2,50%,50%,20,13,11,2,2,4,5,4,382,376,16,9,282 (73%),269 (71%),11 (47%),3 (12%),26 (36%),32 (39%),21,11,11,8,29,13,2,5,0
FC Palermo,FC Bari,1,0,53%,47%,10,14,4,2,11,2,1,0,439,395,5,12,343 (78%),320 (81%),7 (26%),2 (16%),25 (39%),37 (42%),22,12,7,12,14,20,5,2,1
FC Ternana,Ascoli,1,0,43%,57%,12,21,3,9,1,10,4,0,291,377,9,13,212 (72%),276 (73%),1 (9%),9 (32%),25 (39%),32 (39%),15,12,12,6,41,12,3,1,1
FC Cosenza,FC Benevento,1,1,49%,51%,12,1,3,0,1,7,8,3,383,395,4,7,312 (81%),316 (80%),3 (15%),3 (13%),35 (52%),20 (31%),15,20,14,4,25,24,4,2,0
Sudtirol,FC Brescia,1,0,32%,68%,14,2,4,0,1,3,0,2,289,641,5,12,185 (64%),543 (84%),1 (7%),4 (22%),34 (31%),34 (50%),10,15,11,8,21,25,2,1,1
Frosinone,Modena FC,2,1,48%,52%,12,12,4,3,7,8,2,1,425,453,10,4,336 (79%),363 (80%),4 (21%),4 (16%),34 (43%),17 (26%),18,11,8,11,29,14,3,3,1
FC Bari,FC Parma,4,0,47%,53%,13,6,2,2,0,4,10,5,283,517,8,7,194 (68%),426 (82%),1 (12%),4 (16%),29 (38%),22 (37%),16,20,12,6,16,11,3,2,4
FC Cagliari,FC Como.,2,0,44%,56%,13,2,3,2,7,0,4,2,345,443,3,12,236 (68%),333 (75%),1 (4%),3 (16%),32 (36%),29 (39%),18,14,10,6,27,15,4,0,2
Regina (Reggio Calabria),SPAL (Ferrara),0,1,49%,51%,25,10,10,7,3,8,2,3,359,398,17,5,289 (80%),318 (79%),14 (37%),1 (7%),32 (58%),37 (45%),18,17,9,10,11,33,2,8,-1
FC Perugia,FC Palermo,3,3,36%,64%,15,11,1,0,4,3,3,1,263,454,9,5,142 (53%),337 (74%),4 (36%),6 (24%),21 (25%),30 (29%),17,13,11,5,19,25,1,8,0
FC Pisa,FC Cittadella,1,2,59%,41%,19,16,3,3,9,5,2,5,379,274,15,11,274 (72%),170 (62%),9 (29%),5 (26%),39 (50%),24 (25%),20,23,5,9,19,21,5,7,-1
Frosinone,FC Ternana,3,0,53%,47%,15,13,4,5,5,2,2,6,473,430,14,10,390 (82%),345 (80%),5 (27%),2 (20%),44 (43%),34 (45%),17,14,12,9,14,12,2,4,3
Unione Venezia,FC Parma,2,2,53%,47%,12,16,4,5,0,1,2,8,479,435,11,11,393 (82%),349 (80%),3 (23%),4 (30%),35 (50%),36 (42%),18,18,8,8,13,12,4,2,0
FC Benevento,FC Perugia,0,2,61%,39%,19,21,10,7,5,10,7,0,453,279,16,17,356 (78%),179 (64%),3 (14%),9 (42%),51 (48%),32 (36%),8,20,7,15,13,25,4,3,-2
Ascoli,Regina (Reggio Calabria),0,1,53%,47%,10,4,2,3,4,3,2,4,410,361,8,4,303 (73%),258 (71%),4 (19%),3 (16%),48 (39%),29 (35%),23,17,10,8,18,17,0,1,-1
FC Cagliari,FC Cosenza,2,0,56%,44%,25,14,14,5,9,4,2,1,490,398,17,8,407 (83%),304 (76%),11 (29%),6 (21%),39 (51%),42 (38%),8,14,15,8,16,25,5,5,2
SPAL (Ferrara),FC Pisa,0,1,58%,42%,13,17,3,4,5,3,3,2,422,295,10,11,349 (82%),226 (76%),7 (41%),4 (23%),34 (56%),28 (51%),14,18,15,10,13,14,3,1,-1
FC Como.,FC Cittadella,2,0,43%,57%,10,18,13,1,4,4,8,1,318,402,7,16,190 (59%),292 (72%),6 (46%),10 (30%),42 (30%),40 (38%),16,23,7,6,28,17,1,4,2
Sudtirol,Modena FC,0,2,48%,52%,15,12,4,1,3,4,1,0,425,482,10,11,347 (81%),409 (84%),7 (21%),4 (23%),56 (60%),58 (58%),28,19,11,17,10,28,1,4,-2
FC Brescia,FC Palermo,1,1,54%,46%,13,1,3,2,7,0,2,2,549,463,5,11,457 (83%),373 (80%),3 (27%),6 (31%),28 (50%),28 (43%),16,15,3,5,20,12,1,2,0
Génova (Genova),Frosinone,1,0,51%,49%,15,14,4,6,6,4,2,2,447,478,13,9,335 (74%),380 (79%),6 (31%),4 (28%),29 (36%),32 (44%),25,19,11,9,10,21,1,3,1
