HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Volendam,FC Groningen,3,2,42%,58%,12,13,3,4,5,3,3,1,384,531,5,11,276 (71%),416 (78%),5 (25%),6 (60%),31 (32%),36 (40%),18,19,7,8,21,19,1,1,1
Excelsior,Ajax,1,4,20%,80%,12,19,4,3,0,1,6,7,214,879,10,14,137 (64%),789 (89%),2 (13%),5 (38%),23 (29%),31 (59%),17,16,15,7,13,11,5,3,-3
Twente (Enschede),Feyenoord,1,1,56%,44%,14,17,5,6,2,6,1,1,481,364,11,11,372 (77%),277 (76%),2 (10%),5 (23%),44 (42%),34 (46%),22,18,6,6,14,20,5,5,0
AZ Alkmaar,FC Utrecht,5,5,52%,48%,15,24,10,1,5,3,7,2,460,412,9,15,351 (76%),323 (78%),1 (12%),5 (20%),32 (48%),27 (36%),19,10,7,9,18,13,4,4,0
NEC (NEC),Sparta (Rotterdam),1,1,67%,33%,26,13,9,1,11,3,1,0,585,305,16,7,513 (87%),220 (72%),10 (22%),5 (50%),31 (63%),26 (32%),8,15,8,11,8,44,3,4,0
FC Heerenveen,Vitesse (Arnhem),1,3,56%,44%,10,22,12,5,2,6,6,1,500,383,7,16,401 (80%),293 (76%),2 (10%),6 (42%),38 (46%),35 (46%),19,10,23,21,10,31,5,1,-2
FC Waalwijk,FC Emmen,2,0,34%,66%,17,1,8,3,6,1,1,5,299,589,4,11,203 (67%),506 (85%),4 (36%),6 (20%),27 (31%),22 (51%),12,18,7,6,28,14,3,2,2
PSV (Eindhoven),Go Eagles FC Ehead,2,0,51%,49%,19,11,5,3,9,2,2,1,482,464,15,5,401 (83%),382 (82%),9 (34%),1 (7%),37 (60%),25 (37%),14,13,9,9,19,21,1,1,2
FC Groningen,Cambuur (Leeuwarden),0,1,60%,40%,15,10,5,0,9,1,1,0,480,317,10,7,370 (77%),206 (64%),8 (34%),2 (15%),31 (38%),40 (34%),13,13,6,3,22,32,3,2,-1
Feyenoord,NEC (NEC),2,0,65%,35%,22,6,2,1,0,12,4,1,707,377,14,6,632 (89%),291 (77%),3 (12%),6 (50%),26 (53%),23 (33%),15,20,3,8,8,21,5,7,2
FC Utrecht,Excelsior,1,0,60%,40%,17,3,1,7,3,1,2,549,549,352,11,2,452 (82%),241 (68%),9 (45%),3 (20%),41 (40%),32 (37%),11,23,14,10,15,23,0,8,1
Fortuna (Sittard),FC Heerenveen,2,0,42%,58%,16,15,3,2,1,0,7,8,370,521,10,11,293 (79%),440 (84%),7 (26%),7 (21%),39 (43%),30 (44%),19,12,8,11,32,18,4,4,2
Go Eagles FC Ehead,AZ Alkmaar,1,4,45%,55%,13,16,7,4,1,0,6,7,376,456,7,10,294 (78%),362 (79%),2 (9%),7 (33%),42 (53%),22 (34%),14,20,8,4,21,24,5,0,-3
Vitesse (Arnhem),Twente (Enschede),2,2,35%,65%,17,10,2,2,0,1,6,8,287,523,11,6,194 (67%),426 (81%),5 (41%),6 (21%),22 (34%),52 (49%),18,26,8,12,25,10,2,4,0
Sparta (Rotterdam),FC Waalwijk,0,0,62%,38%,12,1,5,3,3,1,1,637,637,378,7,10,550 (86%),295 (78%),2 (9%),3 (25%),65 (70%),26 (33%),16,20,5,11,15,27,3,4,0
FC Emmen,PSV (Eindhoven),1,0,52%,48%,11,12,4,0,5,6,0,3,525,497,6,10,441 (84%),409 (82%),5 (29%),5 (23%),33 (49%),36 (56%),22,16,7,9,22,20,4,1,1
AZ Alkmaar,Fortuna (Sittard),3,1,50%,50%,16,5,2,0,1,6,2,0,482,484,14,4,411 (85%),409 (84%),7 (30%),2 (16%),30 (50%),43 (61%),18,11,9,8,15,28,1,3,2
Feyenoord,Ajax,1,1,43%,57%,11,11,2,1,7,6,4,2,327,436,9,9,224 (68%),331 (75%),3 (13%),4 (26%),25 (32%),21 (31%),23,25,14,5,21,21,2,4,0
Twente (Enschede),FC Utrecht,2,0,58%,42%,15,5,4,4,4,0,1,1,596,422,15,5,501 (84%),317 (75%),3 (13%),4 (22%),44 (57%),28 (37%),23,15,11,14,16,26,1,4,2
FC Heerenveen,FC Groningen,3,1,55%,45%,18,10,2,2,7,5,4,2,455,378,14,6,367 (80%),280 (74%),9 (42%),0 (0%),31 (49%),26 (36%),19,27,12,9,17,19,2,6,2
PSV (Eindhoven),Vitesse (Arnhem),1,0,56%,44%,15,12,5,6,3,4,2,0,526,409,11,8,431 (81%),303 (74%),0 (0%),6 (33%),39 (41%),19 (19%),30,17,7,8,14,20,4,4,1
Cambuur (Leeuwarden),Sparta (Rotterdam),0,3,50%,50%,14,12,6,3,0,1,6,2,454,474,9,8,356 (78%),386 (81%),3 (11%),4 (26%),36 (41%),45 (48%),10,13,2,13,20,32,3,3,-3
NEC (NEC),FC Emmen,3,1,46%,54%,20,10,7,4,1,0,9,5,349,420,12,5,278 (79%),340 (80%),2 (9%),2 (8%),24 (43%),19 (38%),23,20,9,9,24,22,3,2,2
Excelsior,FC Volendam,2,0,48%,52%,17,4,1,7,4,3,2,1,413,452,13,7,305 (73%),331 (73%),8 (40%),5 (20%),49 (51%),36 (36%),20,19,12,8,36,16,0,3,2
FC Emmen,Cambuur (Leeuwarden),0,0,65%,35%,15,3,2,6,7,0,3,0,572,299,11,8,506 (88%),220 (73%),5 (15%),7 (28%),35 (53%),36 (40%),10,15,7,6,22,27,2,7,0
Fortuna (Sittard),PSV (Eindhoven),2,2,33%,67%,32,12,12,2,8,1,0,1,279,565,3,28,166 (59%),474 (83%),1 (9%),14 (42%),29 (29%),35 (47%),26,13,8,3,37,14,10,1,0
Go Eagles FC Ehead,FC Utrecht,2,2,48%,52%,13,11,4,2,5,7,3,2,460,507,9,8,383 (83%),429 (84%),8 (27%),3 (13%),36 (54%),30 (46%),11,14,11,15,23,29,5,2,0
Vitesse (Arnhem),NEC (NEC),0,0,59%,41%,24,9,2,11,4,1,0,1,404,299,23,3,333 (82%),212 (70%),9 (21%),1 (5%),20 (37%),25 (40%),15,18,7,2,17,31,3,7,0
Sparta (Rotterdam),Excelsior,1,0,57%,43%,14,11,2,3,6,3,1,0,481,377,12,7,378 (78%),270 (71%),9 (29%),3 (15%),40 (55%),33 (28%),16,24,9,11,16,31,4,3,1
Ajax,Twente (Enschede),0,0,40%,60%,24,0,10,3,5,3,2,1,383,568,6,19,310 (80%),500 (88%),4 (25%),6 (24%),35 (50%),26 (57%),19,17,10,8,23,8,7,5,0
FC Heerenveen,AZ Alkmaar,0,2,53%,47%,21,13,10,9,2,3,1,2,427,383,14,11,340 (79%),288 (75%),7 (30%),3 (25%),36 (50%),25 (32%),10,7,5,9,14,25,4,2,-2
FC Volendam,FC Waalwijk,2,1,46%,54%,15,3,2,9,4,0,1,1,365,445,13,3,263 (72%),330 (74%),5 (26%),5 (35%),27 (38%),29 (38%),21,24,4,9,17,13,3,2,1
NEC (NEC),Ajax,1,1,31%,69%,21,3,7,1,9,0,2,1,277,550,5,19,201 (72%),470 (85%),1 (12%),10 (45%),20 (30%),27 (50%),22,21,2,7,32,7,6,0,0
Cambuur (Leeuwarden),FC Volendam,0,3,63%,37%,4,2,7,4,3,0,3,1,585,288,4,8,462 (78%),175 (60%),4 (18%),1 (9%),62 (47%),32 (31%),20,15,6,11,13,28,2,4,-3
FC Utrecht,Feyenoord,1,1,41%,59%,10,1,1,5,2,2,2,2,379,581,6,9,254 (67%),464 (79%),2 (11%),2 (11%),39 (34%),32 (44%),20,19,12,10,25,16,3,3,0
PSV (Eindhoven),Sparta (Rotterdam),0,0,61%,39%,17,12,10,3,5,5,4,1,534,355,14,8,452 (84%),252 (70%),5 (20%),2 (15%),38 (55%),28 (33%),8,23,13,8,12,23,4,4,0
Fortuna (Sittard),Go Eagles FC Ehead,0,2,53%,47%,20,4,5,4,10,5,1,4,407,361,7,19,310 (76%),273 (75%),3 (15%),5 (31%),35 (36%),27 (36%),17,23,7,7,19,23,3,2,-2
AZ Alkmaar,Vitesse (Arnhem),1,1,62%,38%,15,13,2,2,7,4,1,0,571,345,11,12,476 (83%),256 (74%),3 (13%),7 (33%),34 (56%),34 (41%),19,19,6,8,16,23,2,4,0
FC Waalwijk,FC Heerenveen,0,0,40%,60%,18,1,4,3,7,1,1,368,368,558,6,14,289 (78%),476 (85%),4 (33%),7 (29%),35 (46%),43 (53%),17,18,15,6,18,15,9,2,0
Twente (Enschede),FC Emmen,2,0,63%,37%,20,11,6,0,11,3,1,1,548,344,16,3,452 (82%),237 (68%),5 (12%),0 (0%),26 (49%),16 (22%),17,18,15,7,9,30,1,1,2
Feyenoord,Excelsior,5,1,56%,44%,22,12,4,1,5,2,0,4,490,382,14,3,418 (85%),287 (75%),2 (18%),5 (50%),36 (58%),42 (42%),16,18,10,10,10,20,2,7,4
FC Heerenveen,Cambuur (Leeuwarden),2,1,59%,41%,15,4,1,7,2,2,1,3,520,362,11,5,416 (80%),259 (71%),8 (26%),1 (5%),27 (40%),36 (45%),13,27,9,12,14,36,1,2,1
FC Groningen,Fortuna (Sittard),2,3,55%,45%,12,15,4,3,4,5,0,6,402,325,11,14,328 (81%),256 (78%),5 (20%),11 (55%),24 (38%),25 (51%),23,17,6,8,14,27,3,1,-1
NEC (NEC),FC Waalwijk,6,1,66%,34%,27,10,12,5,1,1,1,7,582,299,20,3,527 (90%),228 (76%),7 (22%),1 (20%),20 (66%),19 (29%),17,16,8,4,4,20,2,6,5
PSV (Eindhoven),AZ Alkmaar,0,1,58%,42%,10,10,2,3,4,2,3,0,572,423,10,8,457 (79%),302 (71%),7 (25%),1 (12%),35 (43%),31 (28%),21,22,6,11,8,33,2,1,-1
