HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Famalicao,FC Estoril,1,0,53%,47%,16,16,4,6,5,7,1,1,404,354,10,12,322 (79%),284 (80%),4 (20%),4 (22%),39 (48%),22 (36%),22,14,6,10,21,12,6,5,1
Boavista Porto,Portimonense (Portimão),4,2,45%,55%,18,10,1,2,7,6,0,2,347,427,13,5,267 (76%),341 (79%),3 (13%),4 (22%),26 (42%),25 (39%),23,12,8,6,13,32,2,5,2
Vizela,Rio Ave (Vila do Conde),3,1,52%,48%,12,13,5,5,0,1,3,8,472,412,8,8,383 (81%),336 (81%),3 (30%),2 (9%),27 (45%),30 (40%),20,7,11,8,28,15,1,4,2
Casa Pia,Santa Clara,2,1,52%,48%,19,10,1,1,0,1,8,3,349,334,10,3,249 (71%),243 (72%),9 (30%),5 (33%),16 (22%),26 (35%),14,21,2,9,15,31,2,6,1
Famalicao,Rio Ave (Vila do Conde),0,0,46%,54%,19,14,10,7,2,4,3,1,439,468,10,13,365 (83%),394 (84%),5 (25%),6 (30%),36 (50%),21 (36%),17,22,5,5,11,18,2,5,0
Casa Pia,Vivido Vicente (Barcelos),1,3,48%,52%,14,12,1,1,6,4,3,1,422,544,10,7,336 (79%),454 (83%),11 (30%),5 (29%),26 (50%),24 (32%),17,18,8,9,12,23,4,4,-2
Maritimo (Funchal),FC Estoril,1,0,39%,61%,11,11,3,3,4,5,6,2,290,419,8,7,216 (74%),361 (86%),4 (33%),1 (4%),27 (34%),39 (72%),24,26,14,5,22,7,2,1,1
Vitoria Guimaraes,Oporto,0,1,43%,57%,14,3,4,3,6,1,3,6,288,555,5,12,187 (64%),459 (82%),3 (23%),4 (21%),32 (35%),25 (43%),10,9,14,14,24,22,1,0,-1
Santa Clara,Benfica,0,3,37%,63%,14,2,2,8,9,0,2,1,302,608,5,14,221 (73%),532 (87%),1 (7%),6 (26%),36 (52%),34 (53%),14,20,2,19,24,28,2,0,-3
FC Pacos Ferreira,FC Braga,1,2,38%,62%,11,16,10,3,4,4,10,0,344,544,6,14,270 (78%),462 (84%),4 (17%),5 (18%),23 (33%),46 (56%),19,11,12,6,25,15,7,4,-1
Sporting CP,Vizela,2,1,63%,37%,21,4,3,1,0,8,1,1,612,369,17,8,542 (88%),289 (78%),9 (25%),2 (25%),38 (63%),15 (25%),12,16,11,11,5,25,2,6,1
Arouca,Portimonense (Portimão),4,0,55%,45%,17,12,1,0,3,7,0,2,472,377,11,1,384 (81%),289 (76%),2 (20%),2 (11%),20 (30%),15 (25%),11,13,6,5,21,10,0,8,4
FC Estoril,Casa Pia,2,0,56%,44%,11,4,2,1,0,4,4,1,509,416,8,3,440 (86%),335 (80%),1 (8%),0 (0%),44 (62%),19 (32%),21,16,8,8,24,10,0,1,2
Oporto,Famalicao,4,1,47%,53%,17,10,2,3,2,6,0,2,510,431,15,5,437 (85%),360 (83%),2 (18%),5 (22%),32 (60%),38 (56%),19,7,9,11,21,20,2,5,3
Benfica,Sporting CP,2,2,58%,42%,14,4,3,0,1,5,2,1,500,367,8,3,424 (84%),296 (80%),4 (20%),1 (10%),32 (57%),32 (47%),30,23,9,8,10,20,1,6,0
Chaves,Arouca,1,1,44%,56%,15,18,8,7,1,1,5,10,380,382,10,16,313 (82%),312 (81%),6 (46%),9 (27%),39 (63%),26 (40%),18,20,7,9,32,9,5,4,0
FC Braga,Boavista Porto,1,0,48%,52%,10,2,3,1,7,0,1,2,461,479,6,10,370 (80%),397 (82%),1 (9%),5 (18%),42 (48%),34 (48%),13,17,15,12,26,10,0,3,1
Rio Ave (Vila do Conde),FC Pacos Ferreira,0,1,69%,31%,16,6,1,6,2,3,2,5,553,257,12,4,476 (86%),189 (73%),11 (33%),1 (9%),24 (45%),27 (37%),11,21,5,9,9,37,1,5,-1
Vizela,Maritimo (Funchal),3,0,48%,52%,18,2,4,7,4,3,1,1,408,425,14,3,325 (79%),346 (81%),5 (55%),1 (3%),17 (32%),23 (50%),18,9,15,13,34,8,0,6,3
Portimonense (Portimão),Santa Clara,0,0,65%,35%,24,10,11,9,2,6,1,2,585,190,19,8,485 (82%),108 (56%),11 (28%),5 (33%),43 (58%),17 (24%),18,14,7,7,15,45,2,4,0
Maritimo (Funchal),Sporting CP,1,0,37%,63%,10,3,4,1,0,3,8,2,241,444,5,8,154 (63%),354 (79%),1 (10%),7 (24%),18 (26%),31 (37%),22,21,8,4,25,6,1,1,1
FC Pacos Ferreira,Chaves,1,1,56%,44%,18,12,8,5,9,6,2,1,437,327,12,11,355 (81%),249 (76%),6 (19%),4 (26%),31 (41%),35 (50%),13,17,9,8,10,28,1,3,0
Casa Pia,Oporto,0,0,26%,74%,25,11,0,5,5,6,3,3,235,666,2,21,142 (60%),583 (87%),2 (18%),12 (37%),23 (27%),42 (71%),26,23,11,7,41,11,9,0,0
Vitoria Guimaraes,Rio Ave (Vila do Conde),0,0,64%,36%,3,4,5,2,1,4,3,2,469,348,5,8,387 (82%),278 (79%),3 (11%),4 (50%),45 (61%),23 (41%),17,27,10,14,4,33,0,2,0
Arouca,FC Estoril,2,0,50%,50%,17,14,4,5,2,5,2,1,334,328,10,6,210 (62%),217 (66%),3 (23%),3 (15%),35 (33%),26 (30%),21,19,13,8,19,22,3,5,2
Famalicao,Vizela,2,1,49%,51%,4,0,6,4,1,1,3,6,472,483,6,5,392 (83%),385 (79%),4 (21%),1 (8%),41 (50%),23 (31%),12,23,11,11,28,11,3,1,1
Benfica,Portimonense (Portimão),1,0,75%,25%,27,10,12,5,0,1,0,12,655,267,24,2,572 (87%),184 (68%),14 (50%),3 (33%),31 (53%),30 (46%),13,11,3,22,5,23,0,11,1
Santa Clara,FC Braga,0,4,34%,66%,26,13,0,6,1,6,2,2,321,633,1,17,252 (78%),552 (87%),1 (6%),5 (31%),27 (44%),35 (47%),13,13,9,3,22,13,9,0,-4
FC Braga,Benfica,3,0,37%,63%,15,10,2,3,4,8,0,2,379,632,11,6,290 (76%),538 (85%),2 (16%),6 (20%),35 (33%),27 (50%),17,16,13,12,18,10,3,3,3
Vizela,Vitoria Guimaraes,3,0,37%,63%,16,11,0,2,1,0,1,5,335,535,7,11,240 (71%),464 (86%),3 (75%),7 (21%),18 (26%),60 (76%),9,6,14,12,22,11,2,2,3
Chaves,Famalicao,0,2,51%,49%,19,16,10,6,4,5,3,2,413,422,11,11,348 (84%),351 (83%),6 (22%),6 (50%),20 (41%),36 (52%),10,13,12,17,13,24,3,3,-2
Sporting CP,FC Pacos Ferreira,3,0,54%,46%,15,3,1,4,3,4,4,1,553,399,14,5,478 (86%),337 (84%),6 (33%),3 (20%),30 (61%),22 (40%),17,13,5,12,7,16,1,2,3
Vivido Vicente (Barcelos),Santa Clara,1,0,53%,47%,14,4,3,4,9,0,5,3,442,261,8,4,349 (78%),190 (72%),4 (20%),4 (12%),27 (39%),40 (42%),16,21,5,9,34,21,1,3,1
Oporto,Arouca,5,1,60%,40%,16,11,1,3,5,3,5,1,539,378,13,9,466 (86%),307 (81%),5 (50%),2 (25%),43 (67%),36 (47%),14,17,14,10,5,16,1,6,4
Portimonense (Portimão),Casa Pia,1,2,47%,53%,19,1,6,1,0,1,11,1,417,376,4,14,311 (74%),282 (75%),2 (25%),5 (20%),39 (42%),13 (27%),19,10,7,14,18,7,5,1,-1
