HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Alaniyaspor,Sivasspor (Sivas),0,3,65%,35%,10,2,1,4,4,2,5,2,566,301,4,6,475 (83%),206 (68%),5 (17%),5 (25%),29 (41%),39 (42%),17,19,4,6,18,24,3,2,-3
Fenerbahce (Estambul),Kasimpasa (Estambul),5,1,64%,36%,22,11,4,1,1,0,6,1,561,321,15,3,472 (84%),232 (72%),6 (35%),1 (7%),40 (47%),25 (37%),25,23,12,10,18,8,0,6,4
İstanbulspor,Kayserispor (Kayseri),2,4,47%,53%,15,1,5,1,7,0,4,0,437,487,8,11,332 (75%),394 (80%),2 (15%),3 (14%),22 (31%),56 (61%),18,20,17,13,20,18,3,1,-2
Antalyaspor (Antalya),Umraniyespor,3,2,56%,44%,25,10,6,0,8,2,0,3,455,361,19,7,333 (73%),258 (71%),7 (36%),7 (36%),51 (42%),36 (46%),10,11,10,13,15,17,2,6,1
Giresunspor (Giresun),Galatasaray (Estambul),0,4,43%,57%,12,16,4,2,9,3,5,0,331,449,10,11,226 (68%),344 (76%),5 (25%),5 (22%),26 (35%),26 (38%),15,24,9,22,30,19,5,1,-4
Ankaragucu (Ankara),Gazisehir Gaziantep,0,2,59%,41%,17,16,4,3,5,11,2,3,506,340,13,12,415 (82%),257 (75%),5 (27%),4 (21%),31 (50%),30 (44%),21,19,14,11,18,28,5,5,-2
Hatayspor,Trabzonspor (Trabzon),2,1,36%,64%,10,16,1,4,4,9,1,2,311,561,10,14,222 (71%),467 (83%),3 (17%),9 (31%),37 (39%),38 (49%),16,14,8,13,23,12,4,1,1
Sivasspor (Sivas),Adana Demirspor,1,2,43%,57%,19,11,6,4,7,6,0,1,448,616,14,6,354 (79%),518 (84%),8 (27%),4 (23%),42 (44%),30 (50%),15,18,15,10,23,19,1,6,-1
Besiktas (Estambul),FC Alaniyaspor,3,0,59%,41%,21,4,1,1,0,3,3,3,610,477,15,5,520 (85%),377 (79%),6 (35%),1 (11%),33 (44%),12 (29%),21,18,12,11,16,18,3,4,3
Umraniyespor,Fenerbahce (Estambul),1,2,32%,68%,22,2,8,1,6,1,2,1,298,632,7,15,198 (66%),529 (83%),2 (20%),6 (33%),29 (31%),32 (54%),19,16,16,12,24,14,6,1,-1
Trabzonspor (Trabzon),İstanbulspor,4,0,66%,34%,20,10,10,7,2,6,2,4,668,343,15,7,592 (88%),263 (76%),5 (31%),0 (0%),30 (58%),23 (46%),15,22,10,11,4,21,4,6,4
FC Alaniyaspor,Fatih Karagumruk,2,2,54%,46%,15,3,2,7,2,1,3,1,570,505,13,5,501 (87%),424 (83%),10 (43%),3 (20%),42 (56%),61 (56%),7,10,3,8,15,16,3,3,0
Kayserispor (Kayseri),Besiktas (Estambul),0,2,63%,37%,15,3,1,5,3,4,2,1,548,329,12,5,445 (81%),213 (64%),6 (35%),3 (27%),37 (53%),32 (26%),20,22,5,15,11,23,1,3,-2
Gazisehir Gaziantep,Sivasspor (Sivas),1,2,68%,32%,11,13,5,1,7,4,1,3,616,282,7,13,542 (87%),205 (72%),3 (10%),3 (18%),26 (46%),30 (41%),15,20,2,16,14,21,5,2,-1
Galatasaray (Estambul),Antalyaspor (Antalya),2,1,59%,41%,20,8,2,16,1,0,1,2,482,350,13,5,377 (78%),228 (65%),8 (20%),2 (50%),59 (64%),25 (31%),14,24,15,16,10,26,2,5,1
Kasimpasa (Estambul),Estambul BFK,1,3,44%,56%,11,19,11,2,5,0,1,4,379,492,9,13,298 (78%),415 (84%),4 (17%),3 (16%),30 (41%),26 (40%),23,13,9,5,25,17,8,3,-2
